source,target,prediction
Gagan L. Choudhury,Stefan Conrad 0001,P
Franz Lehner,Stefan Conrad 0001,N
Arif Ghafoor,Stefan Conrad 0001,P
Jeff Tian,Stefan Conrad 0001,N
Dragan Marusic,Stefan Conrad 0001,P
Donia Scott,Chris Mellish,P
John B. Anderson,Chris Mellish,P
Gert-Jan de Vreede,Chris Mellish,P
Donia Scott,Elise Bassecoulard,N
Traci A. Carte,Elise Bassecoulard,N
Donia Scott,Hamish Cunningham,P
Donia Scott,Keith W. Ross,P
Rakesh Kumar,Keith W. Ross,N
Dan Rubenstein,Keith W. Ross,P
Xiaolan Xie,Keith W. Ross,N
Micah Adler,Keith W. Ross,P
Paola Bonizzoni,Keith W. Ross,N
Janusz A. Brzozowski,Keith W. Ross,N
Donia Scott,Mathieu Raffinot,N
Sylvie Corteel,Mathieu Raffinot,N
Marie-Pierre Béal,Mathieu Raffinot,P
Bang Ye Wu,Mathieu Raffinot,P
Chung-Min Chen,Mathieu Raffinot,N
Donia Scott,Oscar Castillo 0001,N
Patricia Melin,Oscar Castillo 0001,P
Alexander Felfernig,Oscar Castillo 0001,N
Francis Heylighen,Oscar Castillo 0001,N
Antonio Vicino,Oscar Castillo 0001,N
Heinrich Niemann,Oscar Castillo 0001,N
Lenore Cowen,Oscar Castillo 0001,N
Donia Scott,Piotr Berman,P
Mark Gerstein,Piotr Berman,P
S. Muthukrishnan,Piotr Berman,P
Ming-Yang Kao,Piotr Berman,P
Alex D. Scott,Piotr Berman,P
Peter Buneman,Piotr Berman,P
Donia Scott,Richard Power,P
Wojciech Cellary,Richard Power,P
Ren-Cang Li,Richard Power,N
Theodore S. Rappaport,Richard Power,N
W. Bastiaan Kleijn,Richard Power,P
Kees van Deemter,Richard Power,P
Donia Scott,Shih-Yu Huang,N
Khalil S. Hindi,Shih-Yu Huang,N
Donia Scott,Tzung-Pei Hong,P
Terry Caelli,Tzung-Pei Hong,P
John W. Barrett 0001,Tzung-Pei Hong,N
Marc J. van Kreveld,Tzung-Pei Hong,P
M. Randall Holmes,Tzung-Pei Hong,N
Miguel Angel Fiol,Tzung-Pei Hong,P
Ronald C. Arkin,Tzung-Pei Hong,P
Charles H. C. Little,Tzung-Pei Hong,N
Donia Scott,Werner Vogels,P
Antonio De Maio,Werner Vogels,N
Cláudio T. Silva,Werner Vogels,P
Kenneth P. Birman,Werner Vogels,P
Wei Wang 0010,A. Chockalingam,N
Eldon Y. Li,A. Chockalingam,N
Kaushal Chari,A. Chockalingam,N
Wei Wang 0010,David C. Yen,N
Roger H. L. Chiang,David C. Yen,N
Chien-Yuan Chen,David C. Yen,N
Albert H. Huang,David C. Yen,N
Hing-Cheung So,David C. Yen,N
Pradip Bose,David C. Yen,N
Antoni Soto-Riera,David C. Yen,N
Jochen Alber,David C. Yen,N
Wei Wang 0010,Li Chen,P
Jian Pei,Li Chen,N
Tamás Terlaky,Li Chen,N
Byung Suk Lee,Li Chen,N
Jiong Yang,Li Chen,P
Guoliang Xue,Li Chen,N
G. David Forney Jr.,Li Chen,P
Yi Zhao,Li Chen,P
Wei Wang 0010,Robert M. Hinden,P
Gabriel Montenegro,Robert M. Hinden,P
Wei Wang 0010,Sandra Slaughter,N
Jan Pries-Heje,Sandra Slaughter,N
Peter R. Wurman,Sandra Slaughter,N
Tosiyasu L. Kunii,Sandra Slaughter,P
Juyang Weng,Sandra Slaughter,N
Wei Wang 0010,Stephanie M. Doane,N
Stephen M. Robinson,Stephanie M. Doane,N
Lixin Shen,Stephanie M. Doane,N
P. M. Melliar-Smith,Stephanie M. Doane,N
Wei Wang 0010,Ulrich Rüde,N
Philippe Flajolet,Ulrich Rüde,P
Vitaly I. Voloshin,Ulrich Rüde,N
Anath Fischer,Ulrich Rüde,N
Eldon Y. Li,Daryle Gardner-Bonneau,N
Changeon Kang,Daryle Gardner-Bonneau,N
Mohan S. Kankanhalli,Daryle Gardner-Bonneau,N
Eldon Y. Li,Gary Klein 0001,N
Frank Stephan 0001,Gary Klein 0001,P
Shin-Yuan Hung,Gary Klein 0001,N
Michael Schroeder 0001,Gary Klein 0001,N
Farshad Fotouhi,Gary Klein 0001,N
Silvio Valentini,Gary Klein 0001,N
Eldon Y. Li,Giorgio Ventre,N
Adrian Johnstone,Giorgio Ventre,N
Kazushi Ikeda,Giorgio Ventre,N
Silvia Giordano,Giorgio Ventre,N
Eldon Y. Li,James J. Jiang,N
Hideaki Takeda 0001,James J. Jiang,N
William A. Arbaugh,James J. Jiang,N
Hyuck M. Kwon,James J. Jiang,N
Shin-Yuan Hung,James J. Jiang,N
Ruisheng Zhang,James J. Jiang,N
Arnaldo Spalvieri,James J. Jiang,N
Eldon Y. Li,Waiman Cheung,N
Marie-Pierre Béal,Waiman Cheung,N
In-Cheol Park,Waiman Cheung,N
Edmond Bianco,Waiman Cheung,N
Kaushal Chari,Alfonso Carlosena,N
Antonio J. López-Martín,Alfonso Carlosena,P
Francesco Delli Priscoli,Alfonso Carlosena,N
Po-Whei Huang,Alfonso Carlosena,N
Paul N. Gorman,Alfonso Carlosena,N
Kaushal Chari,Christoph von der Malsburg,N
Mitchell D. Trott,Christoph von der Malsburg,N
Sooyong Kang,Christoph von der Malsburg,N
Jun He 0004,Christoph von der Malsburg,N
Kaushal Chari,Finn Verner Jensen,N
Young-Hoon Kim,Finn Verner Jensen,N
Kaushal Chari,Iain A. Stewart,N
Tomás Feder,Iain A. Stewart,P
Kaushal Chari,Jie Wu 0001,N
Sherali Zeadally,Jie Wu 0001,N
John Sum,Jie Wu 0001,P
Jian Shen,Jie Wu 0001,P
Stephan Olariu,Jie Wu 0001,P
Jiannong Cao,Jie Wu 0001,P
Hong Shen,Jie Wu 0001,P
Weijia Jia,Jie Wu 0001,P
Chi-Sing Leung,Jie Wu 0001,P
Ivan Stojmenovic,Jie Wu 0001,P
Gilbert H. Young,Jie Wu 0001,P
Evangelos Triantaphyllou,Jie Wu 0001,N
Mark Minas,Jie Wu 0001,N
Koji Nakano,Jie Wu 0001,P
Xiaola Lin,Jie Wu 0001,P
James A. Landay,Jie Wu 0001,P
Andrew Chi-Sing Leung,Jie Wu 0001,P
Kaushal Chari,Kemal Altinkemer,N
Sandra Slaughter,Kemal Altinkemer,P
Indranil Bose,Kemal Altinkemer,P
Kaushal Chari,Nicolaos B. Karayiannis,N
Byeong Gi Lee,Nicolaos B. Karayiannis,N
C. J. van Rijsbergen,Nicolaos B. Karayiannis,N
Kenneth L. Kraemer,Nicolaos B. Karayiannis,N
Kaushal Chari,Savitha Srinivasan,N
Arnon Amir,Savitha Srinivasan,P
Bidyut Baran Chaudhuri,Savitha Srinivasan,P
Giridharan Iyengar,Savitha Srinivasan,P
Ching-Yung Lin,Savitha Srinivasan,P
Belle L. Tseng,Savitha Srinivasan,N
Martin Leucker,Savitha Srinivasan,N
Ken Peffers,Savitha Srinivasan,N
Gunther Heidemann,Savitha Srinivasan,N
Xizhao Wang,Savitha Srinivasan,N
Kaushal Chari,Vijay Kumar 0002,N
Gerald Warnecke,Vijay Kumar 0002,N
Harald Hempel,Vijay Kumar 0002,N
Ganesh Gopalakrishnan,Vijay Kumar 0002,P
Arkady B. Zaslavsky,Vijay Kumar 0002,P
Henry L. W. Nuttle,Vijay Kumar 0002,N
Paul L. Rosin,A. David Marshall,N
Zhili Sun,A. David Marshall,N
Paul L. Rosin,Andreas Nürnberger,P
Paul L. Rosin,Andrzej Tarlecki,N
Ioannis N. Psaromiligkos,Andrzej Tarlecki,N
Paul L. Rosin,Harold C. Relyea,N
Terry A. McKee,Harold C. Relyea,N
Nicholas C. Wormald,Harold C. Relyea,N
Jyhjong Lin,Harold C. Relyea,N
Luigi Cinque,Harold C. Relyea,N
Anamitra Makur,Harold C. Relyea,N
Jean-Louis Goffin,Harold C. Relyea,N
Paul L. Rosin,Ian H. Sloan,N
Ian D. Walker,Ian H. Sloan,N
Paul L. Rosin,Ralph R. Martin,P
Wenping Wang,Ralph R. Martin,P
George Havas,Ralph R. Martin,P
Zhili Sun,Ajay Divakaran,N
Alain Denise,Ajay Divakaran,N
Zhili Sun,Antonio Díaz Estrella,N
William H. Tranter,Antonio Díaz Estrella,N
Dragan Gamberger,Antonio Díaz Estrella,N
Weiyin Ma,Antonio Díaz Estrella,N
Zhili Sun,Cristina Urdiales,N
Judith Bayard Cushing,Cristina Urdiales,N
Bara Kim,Cristina Urdiales,N
Michael G. Paulin,Cristina Urdiales,N
Christophe Reutenauer,Cristina Urdiales,N
Zhili Sun,Gideon Langholz,N
Eric L. Miller,Gideon Langholz,N
Charles E. Downing,Gideon Langholz,N
Mahbub Hassan,A. Donald Keedwell,N
Peter Mihók,A. Donald Keedwell,N
Klaus Obermayer,A. Donald Keedwell,N
Jia-Guang Sun,A. Donald Keedwell,N
Mahbub Hassan,George Tambouratzis,N
George Carayannis,George Tambouratzis,P
Mahbub Hassan,J. Karl Hedrick,N
Abhijit S. Pandya,J. Karl Hedrick,N
Aslihan Celik,J. Karl Hedrick,N
Denis Borenstein,J. Karl Hedrick,N
Mahbub Hassan,John S. Thompson,N
David Eppstein,John S. Thompson,P
Paul J. Hart,John S. Thompson,N
Joseph Naor,John S. Thompson,N
Mahbub Hassan,Steven Dubowsky,N
Shahram Payandeh,Steven Dubowsky,P
Paul S. Schenker,Steven Dubowsky,P
Terrance L. Huntsberger,Steven Dubowsky,P
Rajeev Rastogi,Steven Dubowsky,P
Klaus Sutner,Steven Dubowsky,N
Peter Mihók,Ernest J. Cockayne,P
Marc J. van Kreveld,Ernest J. Cockayne,P
Richard Szeliski,Ernest J. Cockayne,P
Danny Krizanc,Ernest J. Cockayne,P
Sebastiaan Terwijn,Ernest J. Cockayne,N
Frank van Harmelen,Ernest J. Cockayne,P
Peter Mihók,Kai-Hau Yeung,N
Per-Åke Larson,Kai-Hau Yeung,N
Gianpaolo Ghiani,Kai-Hau Yeung,N
Einar J. Aas,Kai-Hau Yeung,N
Zhi-Li Zhang,Kai-Hau Yeung,N
York Sure,Kai-Hau Yeung,N
Peter Mihók,Matthew J. Realff,N
Lawrence Chung,Matthew J. Realff,N
Eun Kyo Park,Matthew J. Realff,N
Jay H. Lee,Matthew J. Realff,N
Scott C. Douglas,Matthew J. Realff,N
Peter Mihók,Stefano Chessa,N
Ingo Schiermeyer,Stefano Chessa,N
Sirkka L. Jarvenpaa,Stefano Chessa,N
Ernest A. Edmonds,Stefano Chessa,N
Eduardo Mario Nebot,Stefano Chessa,N
Peter Mihók,Stephen G. Simpson,N
Rick S. Blum,Stephen G. Simpson,N
Sean P. Meyn,Stephen G. Simpson,N
Klaus Obermayer,Luc Giraud,P
Purificación Cariñena,Luc Giraud,N
Hui Hu,Luc Giraud,N
Chi-Kwong Li,Luc Giraud,N
Klaus Obermayer,Paul D. Amer,P
Louxin Zhang,Paul D. Amer,P
Klaus Obermayer,Pierre Moulin,P
Ali N. Akansu,Pierre Moulin,P
Pierre Duhamel,Pierre Moulin,P
Klaus Obermayer,Ronald C. Arkin,P
Masahiro Fujita,Ronald C. Arkin,P
Manish Parashar,Ronald C. Arkin,P
Klaus Obermayer,Vincent Bouchitté,P
Haiko Müller,Vincent Bouchitté,P
Stein W. Wallace,Vincent Bouchitté,N
Dieter Kratsch,Vincent Bouchitté,P
Satish Rao,Vincent Bouchitté,P
Jia-Guang Sun,William I. Gasarch,N
Konstantinos I. Diamantaras,William I. Gasarch,P
Aravind Srinivasan,William I. Gasarch,P
Ricardo Jardim-Gonçalves,William I. Gasarch,N
Itsuo Kumazawa,William I. Gasarch,N
Robert Kozma 0001,Ali A. Minai,N
Walter J. Freeman,Ali A. Minai,N
Robert Kozma 0001,Jos F. Sturm,N
Herman Lam,Jos F. Sturm,N
Robert Kozma 0001,Pierre McKenzie,N
Robert Kozma 0001,Péter Érdi,N
Walter J. Freeman,Péter Érdi,N
Karl Rihaczek,Péter Érdi,N
José L. Verdegay,Péter Érdi,N
Yong-Yan Cao,Péter Érdi,N
Kwok-Wo Wong,Péter Érdi,N
Renate A. Schmidt,Péter Érdi,N
Yanghee Choi,Péter Érdi,N
Nageswara S. V. Rao,Glenn R. Luecke,N
Nageswara S. V. Rao,Kai R. T. Larsen,N
Nageswara S. V. Rao,Vijay K. Vaishnavi,N
Yunfeng Zhang,Vijay K. Vaishnavi,N
Krishnendu Chakrabarty,Vijay K. Vaishnavi,N
Christof Fetzer,Vijay K. Vaishnavi,N
S. Sitharama Iyengar,Vijay K. Vaishnavi,N
Dennis F. Galletta,A. Graham Peace,P
James Y. L. Thong,A. Graham Peace,P
M. P. Bekakos,A. Graham Peace,N
Paul W. H. Chung,A. Graham Peace,N
H. Jeff Smith,A. Graham Peace,P
James R. McDonald,A. Graham Peace,N
Willem Visser,A. Graham Peace,N
Dennis F. Galletta,Charles E. Downing,N
John Gallaugher,Charles E. Downing,N
Joseph H. Nadeau,Charles E. Downing,N
Dennis F. Galletta,Christoph M. Hoffmann,P
Art B. Owen,Christoph M. Hoffmann,N
Marc Teboulle,Christoph M. Hoffmann,N
Odile Favaron,Christoph M. Hoffmann,P
Craig W. Kirkwood,Christoph M. Hoffmann,N
Dennis F. Galletta,Endre Boros,P
Robert E. Jamison,Endre Boros,P
Mutsunori Yagiura,Endre Boros,P
Takashi Horiyama,Endre Boros,P
Henry Martyn Mulder,Endre Boros,P
Renu C. Laskar,Endre Boros,P
Marco Lops,Endre Boros,P
Dennis F. Galletta,James Y. L. Thong,P
Yee Leung,James Y. L. Thong,N
Kar Yan Tam,James Y. L. Thong,N
John N. Carter,James Y. L. Thong,N
Yasuo Kuniyoshi,James Y. L. Thong,N
Fernando A. C. Gomide,James Y. L. Thong,N
Sergio Bampi,James Y. L. Thong,N
Dennis F. Galletta,Kathleen M. Carley,P
Yoshihisa Shinagawa,Kathleen M. Carley,N
Visvanathan Ramesh,Kathleen M. Carley,P
Wolfgang Banzhaf,Kathleen M. Carley,P
Dennis F. Galletta,Leonid Reyzin,N
Stefano Ceri,Leonid Reyzin,N
Karl Reiner Lang,Leonid Reyzin,N
Charles P. Friedman,Leonid Reyzin,N
Gene Itkis,Leonid Reyzin,P
James Y. L. Thong,Alan M. MacEachren,N
James Y. L. Thong,Behnaam Aazhang,N
Maneesh Agrawala,Behnaam Aazhang,P
Aria Nosratinia,Behnaam Aazhang,P
Ashutosh Sabharwal,Behnaam Aazhang,P
Imants D. Svalbe,Behnaam Aazhang,N
Moo Young Sohn,Behnaam Aazhang,N
Boris Aronov,Behnaam Aazhang,P
James Y. L. Thong,Béchir el Ayeb,N
Daming Shi 0001,Béchir el Ayeb,N
James Y. L. Thong,Chin-Tsai Lin,N
Francisco Larrión,Chin-Tsai Lin,N
James Y. L. Thong,Daniele Marioli,N
Hal A. Kierstead,Daniele Marioli,N
Ron Meir,Daniele Marioli,N
Maciej Drozdowski,Daniele Marioli,N
Peter Triantafillou,Daniele Marioli,N
James Y. L. Thong,Jian Pei,P
Levente Buttyán,Jian Pei,N
Larry S. Davis,Jian Pei,P
James Y. L. Thong,Markus Fischer,N
Joachim Weickert,Markus Fischer,P
William C. Chu,Markus Fischer,P
Assaf J. Zeevi,Markus Fischer,N
Rainer E. Burkard,Markus Fischer,P
Abdel-Illah Mouaddib,Markus Fischer,N
Christoph Schnörr,Markus Fischer,P
James Y. L. Thong,Samuel R. Buss,N
Hoang Pham,Samuel R. Buss,N
Sos S. Agaian,Samuel R. Buss,P
Rafael Bru,Samuel R. Buss,N
M. P. Bekakos,Anthony Vetro,N
Mario Marchese,Anthony Vetro,N
Ajay Divakaran,Anthony Vetro,P
Gerard L. G. Sleijpen,Anthony Vetro,N
M. P. Bekakos,Paul LaFollette,N
Mikhail V. Solodov,Paul LaFollette,N
Pierre Boulanger,Paul LaFollette,N
M. P. Bekakos,Victor V. Solovyev,N
Ileana Streinu,Victor V. Solovyev,P
Dov M. Gabbay,Victor V. Solovyev,P
Paul W. H. Chung,Ibrahim Matta,N
Sajal K. Das,Ibrahim Matta,P
Mariko Hagita,Ibrahim Matta,N
Marshall K. McKusick,Ibrahim Matta,N
John W. Byers,Ibrahim Matta,P
Mark Crovella,Ibrahim Matta,P
Masahiro Fujita,Ibrahim Matta,P
Paul W. H. Chung,Joël Goossens,N
Sanjoy K. Baruah,Joël Goossens,P
Paul W. H. Chung,Neil Robertson,N
Geoff Whittle,Neil Robertson,P
Andrzej Pelc,Neil Robertson,P
Heinz K. Klein,Neil Robertson,N
George Pavlou,Neil Robertson,P
A. M. H. Gerards,Neil Robertson,P
James F. Geelen,Neil Robertson,P
L. Miguel Encarnação,Neil Robertson,N
Paul W. H. Chung,Pascal Van Hentenryck,P
Eli Upfal,Pascal Van Hentenryck,P
Michel A. Reniers,Pascal Van Hentenryck,P
Leonidas Palios,Pascal Van Hentenryck,N
Jan Chomicki,Pascal Van Hentenryck,P
H. Jeff Smith,M. Randall Holmes,N
Joachim Weickert,M. Randall Holmes,N
Zhi-Li Zhang,M. Randall Holmes,N
Jean-Michel Knippel,M. Randall Holmes,N
Dilip Kumar Pratihar,M. Randall Holmes,N
H. Jeff Smith,Mark Keil,P
Amrit Tiwana,Mark Keil,P
Milam W. Aiken,Mark Keil,P
Sudhakar M. Reddy,Mark Keil,P
Christopher J. Cramer,Mark Keil,N
Olivier Carton,Mark Keil,N
H. Jeff Smith,Robert M. Davison,P
Detmar W. Straub,Robert M. Davison,P
Blake Hannaford,Robert M. Davison,P
Joey F. George,Robert M. Davison,P
Daniel Massey,Robert M. Davison,N
Matti A. Hiltunen,Robert M. Davison,N
Ned Kock,Robert M. Davison,P
H. Jeff Smith,Suzanne D. Pawlowski,N
Daniel Robey,Suzanne D. Pawlowski,P
Makoto Takizawa 0001,Suzanne D. Pawlowski,N
Mark Keil,Suzanne D. Pawlowski,P
William N. Robinson,Suzanne D. Pawlowski,P
James R. McDonald,Rocco De Nicola,N
Andrei Voronkov,Rocco De Nicola,P
Willem Visser,Harold Szu,N
Dickson K. W. Chiu,Harold Szu,N
Willem Visser,Michael Fisher 0001,P
Leon Sterling,Michael Fisher 0001,P
Enrico Franconi,Michael Fisher 0001,P
Willem Visser,Michael Wooldridge,P
Nico Karssemeijer,Michael Wooldridge,N
Layne T. Watson,Michael Wooldridge,P
Brijesh Verma,Michael Wooldridge,N
David G. Kirkpatrick,Michael Wooldridge,P
Jeffrey S. Rosenschein,Michael Wooldridge,P
Simon Parsons,Michael Wooldridge,P
Erik P. de Vink,Michael Wooldridge,P
Mohammed Zaki 0001,Michael Wooldridge,N
Willem Visser,Rafael H. Bordini,N
Sherali Zeadally,Rafael H. Bordini,N
Hideo Saito,Rafael H. Bordini,N
Robert Cooley,Rafael H. Bordini,N
Michael Fisher 0001,Rafael H. Bordini,P
Michael Wooldridge,Rafael H. Bordini,P
Giorgio Delzanno,Rafael H. Bordini,N
Willem Visser,Scott D. Stoller,N
James Miller,Scott D. Stoller,N
Joo-Hee Moon,Scott D. Stoller,N
Nael B. Abu-Ghazaleh,Scott D. Stoller,N
Andrzej Ruszczynski,A. Hamid Aghvami,N
Roger T. Alexander,A. Hamid Aghvami,N
Rekha R. Thomas,A. Hamid Aghvami,N
Andrzej Ruszczynski,Alex J. Grant,N
Ernst L. Leiss,Alex J. Grant,N
Andrzej Ruszczynski,Elmar Langetepe,N
Sven Schuierer,Elmar Langetepe,P
Jordi J. Mallorquí,Elmar Langetepe,N
Martin Margala,Elmar Langetepe,N
Andrzej Ruszczynski,Manuel García,N
Achour Mostéfaoui,Manuel García,N
Andrzej Ruszczynski,Rohit Parikh,N
Frank Eisenhaber,Rohit Parikh,N
Ralph McKenzie,Rohit Parikh,N
Andrzej Ruszczynski,Yizhou Yu,N
Baining Guo,Yizhou Yu,N
Heung-Yeung Shum,Yizhou Yu,P
Michael P. Wellman,Yizhou Yu,P
Yi Zhao,Yizhou Yu,P
Roger T. Alexander,A. Jefferson Offutt,P
Roger T. Alexander,Bradley James Erickson,N
Eliot L. Siegel,Bradley James Erickson,N
Bruce I. Reiner,Bradley James Erickson,N
Katherine P. Andriole,Bradley James Erickson,N
Ronald L. Arenson,Bradley James Erickson,N
Steven C. Horii,Bradley James Erickson,N
Ernst Hairer,Bradley James Erickson,N
Roger T. Alexander,Rik Van de Walle,N
Boudewijn R. Haverkort,Rik Van de Walle,N
Jan Bormans,Rik Van de Walle,N
Dimitris Gizopoulos,Rik Van de Walle,N
Roger T. Alexander,Robert B. France,P
Indrakshi Ray,Robert B. France,P
David O'Sullivan,Robert B. France,N
Na Li,Robert B. France,N
Mark E. Watkins,Robert B. France,N
Si Wu,Robert B. France,N
James M. Bieman,Robert B. France,P
Roger T. Alexander,Russell M. Mersereau,N
Hong Qiao,Russell M. Mersereau,N
Faramarz Fekri,Russell M. Mersereau,P
Partha Niyogi,Russell M. Mersereau,P
Johann Schumann,Russell M. Mersereau,P
Roger T. Alexander,Stefano Bistarelli,N
Francesca Rossi,Stefano Bistarelli,P
J. V. Tucker,Stefano Bistarelli,N
Giampaolo Bella,Stefano Bistarelli,N
Rekha R. Thomas,Dagobert Soergel,N
Michael Picheny,Dagobert Soergel,N
Christian Choffrut,Dagobert Soergel,N
Paul Wouters,Dagobert Soergel,N
Admela Jukan,Dagobert Soergel,N
Didier Henrion,Dagobert Soergel,N
Rekha R. Thomas,Kemal Oflazer,N
Charles H. C. Little,Kemal Oflazer,N
Rekha R. Thomas,Koji Tsuda,N
Shotaro Akaho,Koji Tsuda,P
Carlo Combi,Koji Tsuda,P
Wayne H. Wolf,Koji Tsuda,N
Subhasis Chaudhuri,Koji Tsuda,N
Miguel Nussbaum,Koji Tsuda,N
Fotini-Niovi Pavlidou,A. J. Han Vinck,N
Haniph A. Latchman,A. J. Han Vinck,N
Raymond W. Yeung,A. J. Han Vinck,P
Victor K. Wei,A. J. Han Vinck,P
Wende Chen,A. J. Han Vinck,P
Steven Furnell,A. J. Han Vinck,N
Felix W. Wehrli,A. J. Han Vinck,N
Kun-Shan Chen,A. J. Han Vinck,N
Fotini-Niovi Pavlidou,George D. Papadopoulos,N
Xilin Chen,George D. Papadopoulos,N
Haniph A. Latchman,Christian Roux,N
Bogomir Horvat,Christian Roux,P
Haniph A. Latchman,Eugeni Isern,N
Nicolas Sendrier,Eugeni Isern,N
Haniph A. Latchman,Fotini-Niovi Pavlidou,N
John T. Baldwin 0001,Fotini-Niovi Pavlidou,N
Hiroshi Yasuda,Fotini-Niovi Pavlidou,N
Evangelos Papapetrou,Fotini-Niovi Pavlidou,P
Haniph A. Latchman,Haruo Takemura,N
Alexandros Eleftheriadis,Haruo Takemura,P
Haniph A. Latchman,Jan Arne Telle,N
Kwang-Hyun Cho,Jan Arne Telle,N
Catherine Garbay,Jan Arne Telle,P
Hadas Shachnai,Jan Arne Telle,P
Dieter Kranzlmüller,Jan Arne Telle,P
Dragoslav D. Siljak,Jan Arne Telle,N
Haniph A. Latchman,Ray Hackney,N
Ashok Ranchhod,Ray Hackney,P
Janice M. Burn,Ray Hackney,P
Michiel H. M. Smid,Ray Hackney,P
Haniph A. Latchman,Tan F. Wong,P
Haniph A. Latchman,Yuguang Fang,N
Maria Grazia Scutellà,Yuguang Fang,N
Jari P. Kaipio,Yuguang Fang,N
Zygmunt J. Haas,Yuguang Fang,P
Graeme P. Penney,Yuguang Fang,N
Raymond W. Yeung,Chandra Chekuri,P
Karen O. Egiazarian,Chandra Chekuri,P
Tomás Feder,Chandra Chekuri,P
Philippe Michel,Chandra Chekuri,N
Maria Chiara Carrozza,Chandra Chekuri,P
Raymond W. Yeung,Kagan Tumer,N
Jianwen Su,Kagan Tumer,N
Xiaohua Xia,Kagan Tumer,N
