,source,target,prediction
99,Camil Demetrescu,A. J. van de Goor,N
100,Camil Demetrescu,A. J. van de Goor,N
101,Camil Demetrescu,A. J. van de Goor,N
102,Lou Caccetta,A. J. van de Goor,N
103,Lou Caccetta,A. J. van de Goor,N
104,Lou Caccetta,A. J. van de Goor,N
105,Otthein Herzog,A. J. van de Goor,N
106,Otthein Herzog,A. J. van de Goor,N
107,Otthein Herzog,A. J. van de Goor,N
108,Hannes Federrath,A. John Power,N
109,Hannes Federrath,A. John Power,N
110,Hannes Federrath,A. John Power,N
111,Norbert Fuhr,A. John Power,N
112,Norbert Fuhr,A. John Power,N
113,Norbert Fuhr,A. John Power,N
114,Haili Chui,A. John Power,N
115,Haili Chui,A. John Power,N
116,Haili Chui,A. John Power,N
117,Marcel Waldvogel,A. John Power,N
118,Marcel Waldvogel,A. John Power,N
119,Marcel Waldvogel,A. John Power,N
120,E. Vance Wilson,A. K. Ray,N
121,E. Vance Wilson,A. K. Ray,N
122,E. Vance Wilson,A. K. Ray,N
123,Robert I. Damper,A. L. Narasimha Reddy,N
124,Robert I. Damper,A. L. Narasimha Reddy,N
125,Robert I. Damper,A. L. Narasimha Reddy,N
126,Brian M. Sadler,A. Lee Swindlehurst,N
127,Brian M. Sadler,A. Lee Swindlehurst,N
128,Brian M. Sadler,A. Lee Swindlehurst,N
129,Robert F. H. Fischer,A. Lee Swindlehurst,N
130,Robert F. H. Fischer,A. Lee Swindlehurst,N
131,Robert F. H. Fischer,A. Lee Swindlehurst,N
132,Kotaro Hirasawa,A. Lee Swindlehurst,N
133,Kotaro Hirasawa,A. Lee Swindlehurst,N
134,Kotaro Hirasawa,A. Lee Swindlehurst,N
135,Jean-Michel Morel,A. Lee Swindlehurst,N
136,Jean-Michel Morel,A. Lee Swindlehurst,N
137,Jean-Michel Morel,A. Lee Swindlehurst,N
138,Peter Kabal,A. Lee Swindlehurst,N
139,Peter Kabal,A. Lee Swindlehurst,N
140,Peter Kabal,A. Lee Swindlehurst,N
141,Asuman Dogac,A. Lee Swindlehurst,N
142,Asuman Dogac,A. Lee Swindlehurst,N
143,Asuman Dogac,A. Lee Swindlehurst,N
144,Judee K. Burgoon,A. Lee Swindlehurst,N
145,Judee K. Burgoon,A. Lee Swindlehurst,N
146,Judee K. Burgoon,A. Lee Swindlehurst,N
147,Henry A. Kierstead,A. Lee Swindlehurst,N
148,Henry A. Kierstead,A. Lee Swindlehurst,N
149,Henry A. Kierstead,A. Lee Swindlehurst,N
150,Dieter W. Fellner,A. M. Day,N
151,Dieter W. Fellner,A. M. Day,N
152,Dieter W. Fellner,A. M. Day,N
153,Cüneyt Güzelis,A. M. Day,N
154,Cüneyt Güzelis,A. M. Day,N
155,Cüneyt Güzelis,A. M. Day,N
156,Alessandro De Gloria,A. M. Day,N
157,Alessandro De Gloria,A. M. Day,N
158,Alessandro De Gloria,A. M. Day,N
159,Jennifer Seberry,A. M. Day,N
160,Jennifer Seberry,A. M. Day,N
161,Jennifer Seberry,A. M. Day,N
162,John C. Hart,A. M. Day,N
163,John C. Hart,A. M. Day,N
164,John C. Hart,A. M. Day,N
165,Geoff Whittle,A. M. H. Gerards,N
166,Geoff Whittle,A. M. H. Gerards,N
167,Geoff Whittle,A. M. H. Gerards,N
168,Samuel Kaski,A. M. H. Gerards,N
169,Samuel Kaski,A. M. H. Gerards,N
170,Samuel Kaski,A. M. H. Gerards,N
171,Juan A. Carrasco,A. Murat Tekalp,N
172,Juan A. Carrasco,A. Murat Tekalp,N
173,Juan A. Carrasco,A. Murat Tekalp,N
174,Joseph Sarkis,A. Murat Tekalp,N
175,Joseph Sarkis,A. Murat Tekalp,N
176,Joseph Sarkis,A. Murat Tekalp,N
177,James F. Kurose,A. P. Wim Böhm,N
178,James F. Kurose,A. P. Wim Böhm,N
179,James F. Kurose,A. P. Wim Böhm,N
180,Lyn Bartram,A. P. Wim Böhm,N
181,Lyn Bartram,A. P. Wim Böhm,N
182,Lyn Bartram,A. P. Wim Böhm,N
183,Anastasios Stamoulis,A. Robert Calderbank,N
184,Anastasios Stamoulis,A. Robert Calderbank,N
185,Anastasios Stamoulis,A. Robert Calderbank,N
186,Ernst M. Gabidulin,A. Robin Forrest,N
187,Ernst M. Gabidulin,A. Robin Forrest,N
188,Ernst M. Gabidulin,A. Robin Forrest,N
189,Qing Zhao,A. Robin Forrest,N
190,Qing Zhao,A. Robin Forrest,N
191,Qing Zhao,A. Robin Forrest,N
192,Gabor T. Herman,A. Roger Hammons Jr.,N
193,Gabor T. Herman,A. Roger Hammons Jr.,N
194,Gabor T. Herman,A. Roger Hammons Jr.,N
195,Jaap van Pelt,A. Roger Hammons Jr.,N
196,Jaap van Pelt,A. Roger Hammons Jr.,N
197,Jaap van Pelt,A. Roger Hammons Jr.,N
198,Ting Chen,A. Senthil Kumar,N
199,Ting Chen,A. Senthil Kumar,N
200,Ting Chen,A. Senthil Kumar,N
201,Daniel Liberzon,A. Stephen Morse,N
202,Daniel Liberzon,A. Stephen Morse,N
203,Daniel Liberzon,A. Stephen Morse,N
204,Karim Nour,A. Stephen Morse,N
205,Karim Nour,A. Stephen Morse,N
206,Karim Nour,A. Stephen Morse,N
207,Alex H. B. Duffy,A. Stephen Morse,N
208,Alex H. B. Duffy,A. Stephen Morse,N
209,Alex H. B. Duffy,A. Stephen Morse,N
210,Patricia Flatley Brennan,A. W. Roscoe,N
211,Patricia Flatley Brennan,A. W. Roscoe,N
212,Patricia Flatley Brennan,A. W. Roscoe,N
213,Deborah Estrin,A. W. Roscoe,N
214,Deborah Estrin,A. W. Roscoe,N
215,Deborah Estrin,A. W. Roscoe,N
216,Vassilis G. Kaburlasos,A. W. Roscoe,N
217,Vassilis G. Kaburlasos,A. W. Roscoe,N
218,Vassilis G. Kaburlasos,A. W. Roscoe,N
219,Francesca Cuomo,Aapo Hyvärinen,N
220,Francesca Cuomo,Aapo Hyvärinen,N
221,Francesca Cuomo,Aapo Hyvärinen,N
222,S. S. Alam,Aapo Hyvärinen,N
223,S. S. Alam,Aapo Hyvärinen,N
224,S. S. Alam,Aapo Hyvärinen,N
225,Dieter Jungnickel,Aart Blokhuis,N
226,Dieter Jungnickel,Aart Blokhuis,N
227,Dieter Jungnickel,Aart Blokhuis,N
228,Vladimir Makarenkov,Aart Blokhuis,N
229,Vladimir Makarenkov,Aart Blokhuis,N
230,Vladimir Makarenkov,Aart Blokhuis,N
231,Eytan Ruppin,Aart Blokhuis,N
232,Eytan Ruppin,Aart Blokhuis,N
233,Eytan Ruppin,Aart Blokhuis,N
234,Michael J. Flynn,Aart Blokhuis,N
235,Michael J. Flynn,Aart Blokhuis,N
236,Michael J. Flynn,Aart Blokhuis,N
237,Enrico Formenti,Abba B. Gumel,N
238,Enrico Formenti,Abba B. Gumel,N
239,Enrico Formenti,Abba B. Gumel,N
240,Stephen A. Fenner,Abba B. Gumel,N
241,Stephen A. Fenner,Abba B. Gumel,N
242,Stephen A. Fenner,Abba B. Gumel,N
243,Jing Chen,Abbas Jamalipour,N
244,Jing Chen,Abbas Jamalipour,N
245,Jing Chen,Abbas Jamalipour,N
246,Jaswinder Pal Singh,Abbas Jamalipour,N
247,Jaswinder Pal Singh,Abbas Jamalipour,N
248,Jaswinder Pal Singh,Abbas Jamalipour,N
249,John E. McInroy,Abbas Jamalipour,N
250,John E. McInroy,Abbas Jamalipour,N
251,John E. McInroy,Abbas Jamalipour,N
252,Toni M. Somers,Abbas Jamalipour,N
253,Toni M. Somers,Abbas Jamalipour,N
254,Toni M. Somers,Abbas Jamalipour,N
255,Eyas El-Qawasmeh,Abdel Elah Al-Ayyoub,N
256,Eyas El-Qawasmeh,Abdel Elah Al-Ayyoub,N
257,Eyas El-Qawasmeh,Abdel Elah Al-Ayyoub,N
258,Madhu Sudan,Abdel Elah Al-Ayyoub,N
259,Madhu Sudan,Abdel Elah Al-Ayyoub,N
260,Madhu Sudan,Abdel Elah Al-Ayyoub,N
261,Jochen R. Moehr,Abdel Elah Al-Ayyoub,N
262,Jochen R. Moehr,Abdel Elah Al-Ayyoub,N
263,Jochen R. Moehr,Abdel Elah Al-Ayyoub,N
264,James Allan,Abdel-Illah Mouaddib,N
265,James Allan,Abdel-Illah Mouaddib,N
266,James Allan,Abdel-Illah Mouaddib,N
267,Michele Malgeri,Abdel-Illah Mouaddib,N
268,Michele Malgeri,Abdel-Illah Mouaddib,N
269,Michele Malgeri,Abdel-Illah Mouaddib,N
270,Adnan Darwiche,Abdel-Illah Mouaddib,N
271,Adnan Darwiche,Abdel-Illah Mouaddib,N
272,Adnan Darwiche,Abdel-Illah Mouaddib,N
273,Karim Abed-Meraim,Abdelhak M. Zoubir,N
274,Karim Abed-Meraim,Abdelhak M. Zoubir,N
275,Karim Abed-Meraim,Abdelhak M. Zoubir,N
276,Moeness G. Amin,Abdelhak M. Zoubir,N
277,Moeness G. Amin,Abdelhak M. Zoubir,N
278,Moeness G. Amin,Abdelhak M. Zoubir,N
279,Stephan Philippi,Abdelhak M. Zoubir,N
280,Stephan Philippi,Abdelhak M. Zoubir,N
281,Stephan Philippi,Abdelhak M. Zoubir,N
282,Lisimachos P. Kondi,Abdelhak M. Zoubir,N
283,Lisimachos P. Kondi,Abdelhak M. Zoubir,N
284,Lisimachos P. Kondi,Abdelhak M. Zoubir,N
285,Daoud Ait-Kadi,Abdelhakim Artiba,N
286,Daoud Ait-Kadi,Abdelhakim Artiba,N
287,Daoud Ait-Kadi,Abdelhakim Artiba,N
288,Sai Ho Kwok,Abdelhakim Artiba,N
289,Sai Ho Kwok,Abdelhakim Artiba,N
290,Sai Ho Kwok,Abdelhakim Artiba,N
291,Sorin Draghici,Abdelhakim Artiba,N
292,Sorin Draghici,Abdelhakim Artiba,N
293,Sorin Draghici,Abdelhakim Artiba,N
294,Christophe Ringeissen,Abdelmadjid Bouabdallah,N
295,Christophe Ringeissen,Abdelmadjid Bouabdallah,N
296,Christophe Ringeissen,Abdelmadjid Bouabdallah,N
297,Leszek Gasieniec,Abdelmadjid Bouabdallah,N
298,Leszek Gasieniec,Abdelmadjid Bouabdallah,N
299,Leszek Gasieniec,Abdelmadjid Bouabdallah,N
300,Mark de Berg,Abdelmadjid Bouabdallah,N
301,Mark de Berg,Abdelmadjid Bouabdallah,N
302,Mark de Berg,Abdelmadjid Bouabdallah,N
303,Horst Bischof,Abdelmadjid Bouabdallah,N
304,Horst Bischof,Abdelmadjid Bouabdallah,N
305,Horst Bischof,Abdelmadjid Bouabdallah,N
306,Stefan Hougardy,Abdelmadjid Bouabdallah,N
307,Stefan Hougardy,Abdelmadjid Bouabdallah,N
308,Stefan Hougardy,Abdelmadjid Bouabdallah,N
309,Tibor Cinkler,Abdelsalam Helal,N
310,Tibor Cinkler,Abdelsalam Helal,N
311,Tibor Cinkler,Abdelsalam Helal,N
312,Luca Benini,Abdelsalam Helal,N
313,Luca Benini,Abdelsalam Helal,N
314,Luca Benini,Abdelsalam Helal,N
315,Florida Estrella,Abdelsalam Helal,N
316,Florida Estrella,Abdelsalam Helal,N
317,Florida Estrella,Abdelsalam Helal,N
318,I-Ming Chen,Abdelsalam Helal,N
319,I-Ming Chen,Abdelsalam Helal,N
320,I-Ming Chen,Abdelsalam Helal,N
321,Wolfgang Müller 0004,Abdol-Reza Mansouri,N
322,Wolfgang Müller 0004,Abdol-Reza Mansouri,N
323,Wolfgang Müller 0004,Abdol-Reza Mansouri,N
324,Michael A. Jensen,Abdol-Reza Mansouri,N
325,Michael A. Jensen,Abdol-Reza Mansouri,N
326,Michael A. Jensen,Abdol-Reza Mansouri,N
327,Karim Nour,Abdol-Reza Mansouri,N
328,Karim Nour,Abdol-Reza Mansouri,N
329,Karim Nour,Abdol-Reza Mansouri,N
330,Chin-Mei Fu,Abdollah Khodkar,N
331,Chin-Mei Fu,Abdollah Khodkar,N
332,Chin-Mei Fu,Abdollah Khodkar,N
333,Nicholas J. Cavenagh,Abdollah Khodkar,N
334,Nicholas J. Cavenagh,Abdollah Khodkar,N
335,Nicholas J. Cavenagh,Abdollah Khodkar,N
336,Patrick C. F. Eggers,Abdollah Khodkar,N
337,Patrick C. F. Eggers,Abdollah Khodkar,N
338,Patrick C. F. Eggers,Abdollah Khodkar,N
339,Eiji Nakano,Abdollah Khodkar,N
340,Eiji Nakano,Abdollah Khodkar,N
341,Eiji Nakano,Abdollah Khodkar,N
342,James G. Nagy,Abdollah Khodkar,N
343,James G. Nagy,Abdollah Khodkar,N
344,James G. Nagy,Abdollah Khodkar,N
345,Yi-Min Wang,Abdollah Khodkar,N
346,Yi-Min Wang,Abdollah Khodkar,N
347,Yi-Min Wang,Abdollah Khodkar,N
348,Ya-Qin Zhang,Abdul Paliwala,N
349,Ya-Qin Zhang,Abdul Paliwala,N
350,Ya-Qin Zhang,Abdul Paliwala,N
351,Shengming Jiang,Abdul Paliwala,N
352,Shengming Jiang,Abdul Paliwala,N
353,Shengming Jiang,Abdul Paliwala,N
354,Tridas Mukhopadhyay,Abdul Paliwala,N
355,Tridas Mukhopadhyay,Abdul Paliwala,N
356,Tridas Mukhopadhyay,Abdul Paliwala,N
357,John Gallaugher,Abdul Paliwala,N
358,John Gallaugher,Abdul Paliwala,N
359,John Gallaugher,Abdul Paliwala,N
360,Peter J. Ashenden,Abdul Sattar 0001,N
361,Peter J. Ashenden,Abdul Sattar 0001,N
362,Peter J. Ashenden,Abdul Sattar 0001,N
363,Kannan Ramchandran,Abeer Alwan,N
364,Kannan Ramchandran,Abeer Alwan,N
365,Kannan Ramchandran,Abeer Alwan,N
366,Richard M. Murray,Abeer Alwan,N
367,Richard M. Murray,Abeer Alwan,N
368,Richard M. Murray,Abeer Alwan,N
369,Hideyuki Tsukagoshi,Abhijit Chaudhury,N
370,Hideyuki Tsukagoshi,Abhijit Chaudhury,N
371,Hideyuki Tsukagoshi,Abhijit Chaudhury,N
372,John M. Ward,Abhijit Chaudhury,N
373,John M. Ward,Abhijit Chaudhury,N
374,John M. Ward,Abhijit Chaudhury,N
375,John Mullins,Abhijit S. Pandya,N
376,John Mullins,Abhijit S. Pandya,N
377,John Mullins,Abhijit S. Pandya,N
378,Pierre McKenzie,Abilio Lucena,N
379,Pierre McKenzie,Abilio Lucena,N
380,Pierre McKenzie,Abilio Lucena,N
381,William F. Smyth,Abilio Lucena,N
382,William F. Smyth,Abilio Lucena,N
383,William F. Smyth,Abilio Lucena,N
384,Gene H. Golub,Abilio Lucena,N
385,Gene H. Golub,Abilio Lucena,N
386,Gene H. Golub,Abilio Lucena,N
387,Rajib Mall,Aboul Ella Hassanien,N
388,Rajib Mall,Aboul Ella Hassanien,N
389,Rajib Mall,Aboul Ella Hassanien,N
390,Wolfgang Günther 0001,Aboul Ella Hassanien,N
391,Wolfgang Günther 0001,Aboul Ella Hassanien,N
392,Wolfgang Günther 0001,Aboul Ella Hassanien,N
393,Holger Petersen 0001,Aboul Ella Hassanien,N
394,Holger Petersen 0001,Aboul Ella Hassanien,N
395,Holger Petersen 0001,Aboul Ella Hassanien,N
396,Radko Mesiar,Abraham Kandel,N
397,Radko Mesiar,Abraham Kandel,N
398,Radko Mesiar,Abraham Kandel,N
399,Michael K. Gilson,Abraham Kandel,N
400,Michael K. Gilson,Abraham Kandel,N
401,Michael K. Gilson,Abraham Kandel,N
402,Manuel Alfonseca,Abraham Kandel,N
403,Manuel Alfonseca,Abraham Kandel,N
404,Manuel Alfonseca,Abraham Kandel,N
405,Andreas S. Schulz,Abraham P. Punnen,N
406,Andreas S. Schulz,Abraham P. Punnen,N
407,Andreas S. Schulz,Abraham P. Punnen,N
408,Tommy Guess,Abraham P. Punnen,N
409,Tommy Guess,Abraham P. Punnen,N
410,Tommy Guess,Abraham P. Punnen,N
411,Angélica de Antonio,Abraham P. Punnen,N
412,Angélica de Antonio,Abraham P. Punnen,N
413,Angélica de Antonio,Abraham P. Punnen,N
414,Shotaro Akaho,Abraham P. Punnen,N
415,Shotaro Akaho,Abraham P. Punnen,N
416,Shotaro Akaho,Abraham P. Punnen,N
417,Leen Stougie,Abraham Seidmann,N
418,Leen Stougie,Abraham Seidmann,N
419,Leen Stougie,Abraham Seidmann,N
420,Judith Bayard Cushing,Abraham Silberschatz,N
421,Judith Bayard Cushing,Abraham Silberschatz,N
422,Judith Bayard Cushing,Abraham Silberschatz,N
423,Y. Zhang,Abraham Silberschatz,N
424,Y. Zhang,Abraham Silberschatz,N
425,Y. Zhang,Abraham Silberschatz,N
426,Peter Van den Besselaar,Achille Pattavina,N
427,Peter Van den Besselaar,Achille Pattavina,N
428,Peter Van den Besselaar,Achille Pattavina,N
429,Alessandro Agnetis,Achille Pattavina,N
430,Alessandro Agnetis,Achille Pattavina,N
431,Alessandro Agnetis,Achille Pattavina,N
432,Giulio Colavolpe,Achilleas Anastasopoulos,N
433,Giulio Colavolpe,Achilleas Anastasopoulos,N
434,Giulio Colavolpe,Achilleas Anastasopoulos,N
435,Detmar W. Straub,Achilleas Anastasopoulos,N
436,Detmar W. Straub,Achilleas Anastasopoulos,N
437,Detmar W. Straub,Achilleas Anastasopoulos,N
438,Christian Wieners,Achilleas Anastasopoulos,N
439,Christian Wieners,Achilleas Anastasopoulos,N
440,Christian Wieners,Achilleas Anastasopoulos,N
441,Michael D. Zoltowski,Achim Ilchmann,N
442,Michael D. Zoltowski,Achim Ilchmann,N
443,Michael D. Zoltowski,Achim Ilchmann,N
444,Lars Birkedal,Achim Jung,N
445,Lars Birkedal,Achim Jung,N
446,Lars Birkedal,Achim Jung,N
447,Blackford Middleton,Achim Jung,N
448,Blackford Middleton,Achim Jung,N
449,Blackford Middleton,Achim Jung,N
450,Mark N. Ellingham,Achim Jung,N
451,Mark N. Ellingham,Achim Jung,N
452,Mark N. Ellingham,Achim Jung,N
453,Antonio Fernández 0001,Achour Mostéfaoui,N
454,Antonio Fernández 0001,Achour Mostéfaoui,N
455,Antonio Fernández 0001,Achour Mostéfaoui,N
456,Sergio Rajsbaum,Achour Mostéfaoui,N
457,Sergio Rajsbaum,Achour Mostéfaoui,N
458,Sergio Rajsbaum,Achour Mostéfaoui,N
459,Alexander Zelikovsky,Achour Mostéfaoui,N
460,Alexander Zelikovsky,Achour Mostéfaoui,N
461,Alexander Zelikovsky,Achour Mostéfaoui,N
462,Jacob Buur,Achour Mostéfaoui,N
463,Jacob Buur,Achour Mostéfaoui,N
464,Jacob Buur,Achour Mostéfaoui,N
465,Lydia Plowman,Achour Mostéfaoui,N
466,Lydia Plowman,Achour Mostéfaoui,N
467,Lydia Plowman,Achour Mostéfaoui,N
468,Patrick Thiran,Ad Aertsen,N
469,Patrick Thiran,Ad Aertsen,N
470,Patrick Thiran,Ad Aertsen,N
471,Dhabaleswar K. Panda,Ad Aertsen,N
472,Dhabaleswar K. Panda,Ad Aertsen,N
473,Dhabaleswar K. Panda,Ad Aertsen,N
474,Aluizio F. R. Araújo,Ad M. G. Peeters,N
475,Aluizio F. R. Araújo,Ad M. G. Peeters,N
476,Aluizio F. R. Araújo,Ad M. G. Peeters,N
477,Lidia Fuentes,Ad M. G. Peeters,N
478,Lidia Fuentes,Ad M. G. Peeters,N
479,Lidia Fuentes,Ad M. G. Peeters,N
480,Toshihide Ibaraki,Ad M. G. Peeters,N
481,Toshihide Ibaraki,Ad M. G. Peeters,N
482,Toshihide Ibaraki,Ad M. G. Peeters,N
483,Peter Buchholz 0001,Ad M. G. Peeters,N
484,Peter Buchholz 0001,Ad M. G. Peeters,N
485,Peter Buchholz 0001,Ad M. G. Peeters,N
486,Jens Palsberg,Ad M. G. Peeters,N
487,Jens Palsberg,Ad M. G. Peeters,N
488,Jens Palsberg,Ad M. G. Peeters,N
489,Jaap Hage,Ada Wai-Chee Fu,N
490,Jaap Hage,Ada Wai-Chee Fu,N
491,Jaap Hage,Ada Wai-Chee Fu,N
492,Christoph Rücker,Adalbert Kerber,N
493,Christoph Rücker,Adalbert Kerber,N
494,Christoph Rücker,Adalbert Kerber,N
495,José Manuel Pardo,Adam A. Porter,N
496,José Manuel Pardo,Adam A. Porter,N
497,José Manuel Pardo,Adam A. Porter,N
498,Shuvra S. Bhattacharyya,Adam Finkelstein,N
499,Shuvra S. Bhattacharyya,Adam Finkelstein,N
500,Shuvra S. Bhattacharyya,Adam Finkelstein,N
501,Albert Nijenhuis,Adam Finkelstein,N
502,Albert Nijenhuis,Adam Finkelstein,N
503,Albert Nijenhuis,Adam Finkelstein,N
504,C. Mani Krishna,Adam Finkelstein,N
505,C. Mani Krishna,Adam Finkelstein,N
506,C. Mani Krishna,Adam Finkelstein,N
507,Jaime Simão Sichman,Adam Finkelstein,N
508,Jaime Simão Sichman,Adam Finkelstein,N
509,Jaime Simão Sichman,Adam Finkelstein,N
510,Dawei Hong,Adam Finkelstein,N
511,Dawei Hong,Adam Finkelstein,N
512,Dawei Hong,Adam Finkelstein,N
513,Qi Shi,Adam Finkelstein,N
514,Qi Shi,Adam Finkelstein,N
515,Qi Shi,Adam Finkelstein,N
516,Eric K. Clemons,Adam Finkelstein,N
517,Eric K. Clemons,Adam Finkelstein,N
518,Eric K. Clemons,Adam Finkelstein,N
519,David Bodoff,Adam Finkelstein,N
520,David Bodoff,Adam Finkelstein,N
521,David Bodoff,Adam Finkelstein,N
522,R. Sritharan,Adam Finkelstein,N
523,R. Sritharan,Adam Finkelstein,N
524,R. Sritharan,Adam Finkelstein,N
525,Rommert Dekker,Adam Godzik,N
526,Rommert Dekker,Adam Godzik,N
527,Rommert Dekker,Adam Godzik,N
528,Laurent Hardouin,Adam Godzik,N
529,Laurent Hardouin,Adam Godzik,N
530,Laurent Hardouin,Adam Godzik,N
531,Michael Mealling,Adam Kalai,N
532,Michael Mealling,Adam Kalai,N
533,Michael Mealling,Adam Kalai,N
534,Sarnath Ramnath,Adam Kalai,N
535,Sarnath Ramnath,Adam Kalai,N
536,Sarnath Ramnath,Adam Kalai,N
537,James F. Reed,Adam Kalai,N
538,James F. Reed,Adam Kalai,N
539,James F. Reed,Adam Kalai,N
540,Xian-He Sun,Adam Krzyzak,N
541,Xian-He Sun,Adam Krzyzak,N
542,Xian-He Sun,Adam Krzyzak,N
543,Qing Li 0001,Adam Krzyzak,N
544,Qing Li 0001,Adam Krzyzak,N
545,Qing Li 0001,Adam Krzyzak,N
546,Martin L. Griss,Adam Krzyzak,N
547,Martin L. Griss,Adam Krzyzak,N
548,Martin L. Griss,Adam Krzyzak,N
549,Suzanne D. Pawlowski,Adam L. Buchsbaum,N
550,Suzanne D. Pawlowski,Adam L. Buchsbaum,N
551,Suzanne D. Pawlowski,Adam L. Buchsbaum,N
552,Ivan Hal Sudborough,Adam L. Buchsbaum,N
553,Ivan Hal Sudborough,Adam L. Buchsbaum,N
554,Ivan Hal Sudborough,Adam L. Buchsbaum,N
555,Andrea Lodi 0001,Adam N. Letchford,N
556,Andrea Lodi 0001,Adam N. Letchford,N
557,Andrea Lodi 0001,Adam N. Letchford,N
