source,target,prediction
Christophe Ringeissen,Abdelmadjid Bouabdallah,N
Leszek Gasieniec,Abdelmadjid Bouabdallah,N
Mark de Berg,Abdelmadjid Bouabdallah,N
Ernesto Bribiesca,Abdelmadjid Bouabdallah,P
Horst Bischof,Abdelmadjid Bouabdallah,N
Stefan Hougardy,Abdelmadjid Bouabdallah,P
Athman Bouguettaya,Abdelmounaam Rezgui,N
Mourad Ouzzani,Abdelmounaam Rezgui,P
Hongya Ge,Abdelmounaam Rezgui,P
Rui T. Valadas,Abdelmounaam Rezgui,N
Feng Gao,Abdelmounaam Rezgui,P
Gordon B. Davis,Abdelmounaam Rezgui,P
Tibor Cinkler,Abdelsalam Helal,P
Luca Benini,Abdelsalam Helal,N
Florida Estrella,Abdelsalam Helal,P
I-Ming Chen,Abdelsalam Helal,P
Wolfgang Müller 0004,Abdol-Reza Mansouri,P
Michael A. Jensen,Abdol-Reza Mansouri,P
Karim Nour,Abdol-Reza Mansouri,P
Anne Penfold Street,Abdollah Khodkar,N
Chin-Mei Fu,Abdollah Khodkar,N
Nicholas J. Cavenagh,Abdollah Khodkar,P
Patrick C. F. Eggers,Abdollah Khodkar,P
Eiji Nakano,Abdollah Khodkar,N
James G. Nagy,Abdollah Khodkar,N
Vincent B. Robinson,Abdollah Khodkar,N
Keith A. Hardie,Abdollah Khodkar,N
Yi-Min Wang,Abdollah Khodkar,P
Efstratios N. Pistikopoulos,Abdollah Khodkar,P
Ya-Qin Zhang,Abdul Paliwala,N
Shengming Jiang,Abdul Paliwala,N
Tridas Mukhopadhyay,Abdul Paliwala,P
Andries Barnard,Abdul Paliwala,N
John Gallaugher,Abdul Paliwala,N
Michael J. Maher,Abdul Sattar 0001,N
Alexander Golbraikh,Abdul Sattar 0001,N
Peter J. Ashenden,Abdul Sattar 0001,P
Hiok Chai Quek,Abdul Wahab,N
Elena Lodi,Abdul Wahab,P
Frank Sottile,Abdul Wahab,N
Yangsheng Xu,Abdul Wahab,P
Kwang-Hyun Cho,Abdul Wahab,N
Stefan Dobrev,Abdul-Majid Wazwaz,P
Timothy A. Davis 0001,Abdul-Majid Wazwaz,P
Anastasia Kolodko,Abdul-Majid Wazwaz,N
Peng Shi 0001,Abdulla Ismail,N
Sorel Reisman,Abdulla Ismail,N
Luc Segoufin,Abdulla Ismail,P
Andrew C. Beall,Abdulla Ismail,N
Daniel Hernández-Hernández,Abdulla Ismail,P
Saad Haj Bakry,Abdulmohsen A. Alheraish,N
Jin-xuan Fang,Abdulmohsen A. Alheraish,P
Pedro M. Domingos,Abdulmohsen A. Alheraish,P
Sherali Zeadally,Abdulmohsen A. Alheraish,N
Peter Winkler 0001,Abdulmohsen A. Alheraish,N
Vimal Singh,Abeer Alwan,P
Kannan Ramchandran,Abeer Alwan,N
Richard M. Murray,Abeer Alwan,P
Hideyuki Tsukagoshi,Abhijit Chaudhury,N
John M. Ward,Abhijit Chaudhury,P
John Mullins,Abhijit S. Pandya,P
Michael Feig,Abhijit S. Pandya,N
Pierre McKenzie,Abilio Lucena,P
Burak Kazaz,Abilio Lucena,N
William F. Smyth,Abilio Lucena,N
Gene H. Golub,Abilio Lucena,N
Rajib Mall,Aboul Ella Hassanien,N
Wolfgang Günther 0001,Aboul Ella Hassanien,P
Holger Petersen 0001,Aboul Ella Hassanien,P
Mark Last,Abraham Kandel,P
Radko Mesiar,Abraham Kandel,P
Michael K. Gilson,Abraham Kandel,N
Luke E. K. Achenie,Abraham Kandel,N
Manuel Alfonseca,Abraham Kandel,N
Andreas S. Schulz,Abraham P. Punnen,P
Edward H. Freeman,Abraham P. Punnen,N
Tommy Guess,Abraham P. Punnen,N
Angélica de Antonio,Abraham P. Punnen,P
Shotaro Akaho,Abraham P. Punnen,N
Edieal J. Pinker,Abraham Seidmann,N
Ruggero Lanotte,Abraham Seidmann,P
Leen Stougie,Abraham Seidmann,N
David Maier 0001,Abraham Silberschatz,N
Judith Bayard Cushing,Abraham Silberschatz,N
Y. Zhang,Abraham Silberschatz,N
Zhisheng Niu,Achille Pattavina,P
R. Gilbert Jost,Achille Pattavina,P
Peter Van den Besselaar,Achille Pattavina,N
Alessandro Agnetis,Achille Pattavina,N
Giulio Colavolpe,Achilleas Anastasopoulos,N
Debashis Ghosh,Achilleas Anastasopoulos,N
Detmar W. Straub,Achilleas Anastasopoulos,N
Jon Nichol,Achilleas Anastasopoulos,N
Christian Wieners,Achilleas Anastasopoulos,N
Michael D. Zoltowski,Achim Ilchmann,P
Robertas Damasevicius,Achim Ilchmann,N
Lars Birkedal,Achim Jung,N
Blackford Middleton,Achim Jung,N
Greg S. Biging,Achim Jung,N
Mark N. Ellingham,Achim Jung,P
Farid Melgani,Achim Jung,P
Antonio Fernández 0001,Achour Mostéfaoui,N
Roy Friedman,Achour Mostéfaoui,N
Sergio Rajsbaum,Achour Mostéfaoui,P
Alexander Zelikovsky,Achour Mostéfaoui,P
Jacob Buur,Achour Mostéfaoui,N
Lydia Plowman,Achour Mostéfaoui,N
Friedrich T. Sommer,Ad Aertsen,N
Stefan Rotter,Ad Aertsen,N
Thomas Wennekers,Ad Aertsen,P
Patrick Thiran,Ad Aertsen,N
Dhabaleswar K. Panda,Ad Aertsen,N
Aluizio F. R. Araújo,Ad M. G. Peeters,N
Lidia Fuentes,Ad M. G. Peeters,N
Toshihide Ibaraki,Ad M. G. Peeters,N
Peter Buchholz 0001,Ad M. G. Peeters,P
Jens Palsberg,Ad M. G. Peeters,N
Jari Veijalainen,Ada Wai-Chee Fu,N
Jaap Hage,Ada Wai-Chee Fu,P
Russell Bent,Ada Wai-Chee Fu,N
Christoph Rücker,Adalbert Kerber,N
Aniruddha S. Gokhale,Adam A. Porter,N
Douglas C. Schmidt,Adam A. Porter,N
José Manuel Pardo,Adam A. Porter,P
Andrzej Swierniak,Adam Czornik,P
Bryan A. Baum,Adam Czornik,P
Jason L. Dedrick,Adam Czornik,N
Mary R. Thompson,Adam Czornik,N
Jenq-Neng Hwang,Adam D. Smith,N
Markus Werner,Adam D. Smith,N
Shuvra S. Bhattacharyya,Adam Finkelstein,P
Albert Nijenhuis,Adam Finkelstein,P
C. Mani Krishna,Adam Finkelstein,P
Jaime Simão Sichman,Adam Finkelstein,P
Dawei Hong,Adam Finkelstein,N
Qi Shi,Adam Finkelstein,P
Eric K. Clemons,Adam Finkelstein,P
David Bodoff,Adam Finkelstein,N
R. Sritharan,Adam Finkelstein,N
Rommert Dekker,Adam Godzik,P
Laurent Hardouin,Adam Godzik,P
Michael Mealling,Adam Kalai,N
Sarnath Ramnath,Adam Kalai,N
James F. Reed,Adam Kalai,N
Xian-He Sun,Adam Krzyzak,P
Qing Li 0001,Adam Krzyzak,P
Martin L. Griss,Adam Krzyzak,N
Claire Kenyon,Adam L. Buchsbaum,N
Howard J. Karloff,Adam L. Buchsbaum,N
Michael T. Goodrich,Adam L. Buchsbaum,P
Suzanne D. Pawlowski,Adam L. Buchsbaum,N
Ivan Hal Sudborough,Adam L. Buchsbaum,P
Andrea Lodi 0001,Adam N. Letchford,P
Mark S. Nixon,Adam Prügel-Bennett,P
Wu Jigang,Adam Prügel-Bennett,N
Colin Eden,Adam Prügel-Bennett,P
Antony Galton,Adam Prügel-Bennett,N
Ying Miao,Adam R. Klivans,N
Toshio Nakatani,Adam R. Klivans,N
José Muñoz-Pérez,Adam R. Klivans,P
Paul Dupuis,Adam Shwartz,N
Hui Zhang,Adam Shwartz,P
Igor Jurisica,Adam Shwartz,P
Bruno Tuffin,Adam Shwartz,N
Ian D. Walker,Adam W. Hoover,N
Euntai Kim,Adam W. Hoover,N
Xose Manuel Pardo,Adam W. Hoover,P
Arnaud Doucet,Adam W. Hoover,N
Stephen T. C. Wong,Adam W. Hoover,P
Martin Reisslein,Adam Wolisz,P
Henrik Schulze,Adam Wolisz,P
Gerhard Widmer,Adam Wolisz,N
Javier Aracil,Adam Wolisz,N
Ying Miao,Adam Wolisz,P
Yue Zhang,Adarshpal S. Sethi,P
Shriram Krishnamurthi,Adel M. Aladwani,N
William B. Rouse,Adel M. Aladwani,N
Andy Schürr,Adhemar Bultheel,P
Haesun Park,Adhemar Bultheel,N
James B. Orlin,Adhemar Bultheel,P
Pao-Long Chang,Adhemar Bultheel,N
Wolf Zimmermann,Adhemar Bultheel,P
Jianwei Zhang 0001,Adhemar Bultheel,P
Kirk Martinez,Adi Rosén,N
Oscar H. Ibarra,Adi Rosén,P
Yuanqing Li,Adi Rosén,P
Elisabeth André,Admela Jukan,N
Pamela C. Cosman,Admela Jukan,P
Jerzy W. Grzymala-Busse,Admela Jukan,P
Peter Kabal,Adnan Al-Smadi,P
Jim Blythe,Adnan Amin,P
Ruth C. King,Adnan Amin,P
Koeng-Mo Sung,Adnan Amin,N
Jun Yuan,Adnan Aziz,N
Hong Qiao,Adnan Aziz,P
Pierre Marquis,Adnan Darwiche,P
Ram Narasimhan,Adnan Yazici,P
Harry G. Perros,Adnan Yazici,N
Alex Samorodnitsky,Adnan Yazici,P
Martin Haardt,Adolfo Steiger-Garção,P
Fabrizio Petrini,Adolfy Hoisie,P
Nikos A. Vlassis,Adolfy Hoisie,P
Hideo Kitajima,Adolfy Hoisie,P
Nitin H. Vaidya,Adolfy Hoisie,N
Nicholas J. Higham,Adolfy Hoisie,P
Dong Ho Park,Adolfy Hoisie,P
Hendrik Jan Hoogeboom,Adriaan A. Van de Griend,N
Olivier Esser,Adrian Dale,P
Jian Zhang,Adrian David Cheok,P
Kuntal Sengupta,Adrian David Cheok,N
Mark Billinghurst,Adrian David Cheok,N
Morten Hertzum,Adrian David Cheok,P
Xin Chen,Adrian David Cheok,N
Bert R. Boyce,Adrian David Cheok,N
Ichiro Suzuki,Adrian Dumitrescu,P
Joseph S. B. Mitchell,Adrian Dumitrescu,P
Ting Chen,Adrian Dumitrescu,N
Bani K. Mallick,Adrian Dumitrescu,N
Raouf N. Gorgui-Naguib,Adrian Dumitrescu,P
Jason L. Speyer,Adrian Friday,P
Sanjeev R. Kulkarni,Adrian Friday,N
Tapio Elomaa,Adrian Friday,P
Elizabeth Scott,Adrian Johnstone,P
Antonis Economou,Adrian Johnstone,P
Toshiaki Murofushi,Adrian Miles,N
Megha Singh,Adrian Miles,P
Mark A. Girolami,Adrian Munteanu 0001,N
Massimo Cafaro,Adrian Munteanu 0001,P
Andrea Mantler,Adrian Munteanu 0001,N
Isaac Meilijson,Adrian Munteanu 0001,N
James V. Burke,Adrian S. Lewis,P
Michael L. Overton,Adrian S. Lewis,P
Yaakov Kogan,Adrian S. Lewis,P
Rod Downey,Adrian S. Lewis,P
Robert Weismantel,Adrian S. Lewis,P
Karl G. Kempf,Adrian Segall,N
Takuo Suganuma,Adrian Segall,N
Chung-Ju Chang,Adrian Segall,P
Elsa L. Gunter,Adriana B. Compagnoni,P
Miguel Pasadas,Adriana B. Compagnoni,P
Bard Ermentrout,Adriana B. Compagnoni,N
Rohini K. Srihari,Adriana B. Compagnoni,P
Enrique Herrera-Viedma,Adriana B. Compagnoni,N
Hans G. Kerkhoff,Adriana B. Compagnoni,N
David G. Long,Adriano Camps,N
Carlo Combi,Adriano Peron,P
Massimo Franceschet,Adriano Peron,P
Mimmo Parente,Adriano Peron,P
Drena Dobbs,Adriano Peron,P
Richard Ennals,Adriano Peron,N
Oscar Cordón,Adrienne Muir,N
William B. Rouse,Adrienne Muir,N
Hans Weigand,Adrienne Muir,P
Jin-yi Cai,Aduri Pavan,P
David K. Y. Yau,Aduri Pavan,N
Jens-Rainer Ohm,Aduri Pavan,P
Jan Gulliksen,Aduri Pavan,N
Jeffrey M. Voas,Aduri Pavan,N
Peter Willett 0001,Aduri Pavan,N
Staal A. Vinterbo,Afonso Ferreira,N
V. Kumar,Afonso Ferreira,P
Alexander Maedche,Afonso Ferreira,N
Turgay Korkmaz,Afzaal H. Seyal,N
Raffaele Pesenti,Afzaal H. Seyal,N
Eisa A. Al-Said,Afzaal H. Seyal,P
Sylvie Corteel,Afzaal H. Seyal,P
Heinz Mühlenbein,Afzaal H. Seyal,P
Paul Wernick,Afzal Ballim,N
Akram Aldroubi,Afzal Ballim,N
Marcus Brunner,Afzal Ballim,N
George A. Gravvanis,Agapios N. Platis,N
Jon Atli Benediktsson,Agapios N. Platis,N
Kathrin Klamroth,Agapios N. Platis,N
Illah R. Nourbakhsh,Agapios N. Platis,P
Carlo Muscas,Agapios N. Platis,N
Andrew Rosenbloom,Agapios N. Platis,N
Jianping Wu,Agapios N. Platis,P
Junshan Zhang,Agapios N. Platis,P
Uwe Helmke,Agapios N. Platis,P
Ebroul Izquierdo,Aggelos K. Katsaggelos,N
Lisimachos P. Kondi,Aggelos K. Katsaggelos,P
Martin Bouchard,Aggelos K. Katsaggelos,N
Igor M. Verner,Aggelos K. Katsaggelos,N
Michael F. Worboys,Agnès Voisard,N
William I. Gasarch,Agnès Voisard,P
Charles R. Kalmanek,Agnès Voisard,N
Xinwei Liu,Agnès Voisard,N
Esfandiar Eslami,Agnès Voisard,N
Riccardo Focardi,Agostino Cortesi,N
Faramarz Fekri,Agostino Cortesi,N
Dimitris Bertsimas,Agostino Cortesi,N
Michael Picheny,Agostino Cortesi,P
Herman Bruyninckx,Agostino Cortesi,N
Gualtiero Piccinini,Agostino Cortesi,P
Carla Piazza,Agostino Dovier,P
Davide Rocchesso,Agostino Dovier,N
Raman Venkataramani,Agostino Dovier,P
Edda Leopold,Agostino Dovier,P
Mostafa H. Ammar,Agostino Dovier,P
Tetsuya Matsumoto,Ah Chung Tsoi,P
Jason P. Jue,Ah Chung Tsoi,P
Laxmi Parida,Ah Chung Tsoi,P
Rui T. Valadas,Ah Chung Tsoi,P
Francesc Rosselló,Ah Chung Tsoi,N
Churn-Jung Liau,Ah-Hwee Tan,N
Gleb Naumovich,Ah-Hwee Tan,P
Brian Henderson-Sellers,Ah-Hwee Tan,N
Amparo Fúster-Sabater,Ah-Hwee Tan,N
Yonina C. Eldar,Aharon Ben-Tal,N
John Sum,Aharon Ben-Tal,P
Petros A. Ioannou,Aharon Ben-Tal,P
Henrik Hautop Lund,Ahmad A. Hiasat,N
Forouzan Golshani,Ahmad A. Hiasat,N
Katharina T. Huber,Ahmad B. Rad,P
Marc L. Resnick,Ahmad B. Rad,N
Rolf S. Rees,Ahmad B. Rad,N
Robert F. Easley,Ahmad B. Rad,P
Dmitrii Lozovanu,Ahmad B. Rad,N
Jianmin Zheng,Ahmad H. Nasri,P
Thomas W. Sederberg,Ahmad H. Nasri,N
Nathan Linial,Ahmad H. Nasri,P
François Baccelli,Ahmed A. Rafea,N
Sunghyun Choi,Ahmed A. Rafea,N
Peter H. N. de With,Ahmed A. Rafea,P
William Adams,Ahmed A. Rafea,N
Ji-Huan He,Ahmed Amine Jerraya,P
D. K. Subramanian,Ahmed Amine Jerraya,N
Lung-Wen Tsai,Ahmed Amine Jerraya,P
Parosh Aziz Abdulla,Ahmed Bouajjani,N
San-Yih Hwang,Ahmed Bouajjani,P
M. V. C. Rao,Ahmed Bufardi,P
Sheshayya A. Choudum,Ahmed Bufardi,N
Daniel Berleant,Ahmed E. Kamal,P
James F. Peters,Ahmed E. Kamal,P
Pravin Varaiya,Ahmed E. Kamal,N
Hung-Min Sun,Ahmed E. Kamal,P
Raphaël Visoz,Ahmed E. Kamal,N
Ali N. Akansu,Ahmed H. Tewfik,P
Mostafa Kaveh,Ahmed H. Tewfik,N
Pierre Moulin,Ahmed H. Tewfik,P
Thomas J. Richardson,Ahmed H. Tewfik,P
Rachid Guerraoui,Ahmed H. Tewfik,P
Achille Pattavina,Ahmed Helmy,N
Chungnan Lee,Ahmed Helmy,N
V. Daniel R. Guide Jr.,Ahmed Helmy,P
Pedro C. Marijuán,Ahmed Helmy,P
Wayne D. Gray,Ahmed Helmy,P
Isaac Levi,Ahmed Helmy,P
Ravi Kumar 0001,Ahmed K. Elhakeem,N
Anne H. H. Ngu,Ahmed K. Elmagarmid,P
Athena Vakali,Ahmed K. Elmagarmid,N
Athman Bouguettaya,Ahmed K. Elmagarmid,N
Boualem Benatallah,Ahmed K. Elmagarmid,P
Elena Ferrari,Ahmed K. Elmagarmid,N
Mohand-Said Hacid,Ahmed K. Elmagarmid,P
Tiziana Catarci,Ahmed K. Elmagarmid,P
Xindong Wu 0001,Ahmed K. Elmagarmid,P
Yücel Saygin,Ahmed K. Elmagarmid,N
Chunhua Feng,Ahmed K. Elmagarmid,N
Toshio Aoyagi,Ahmed K. Elmagarmid,P
Horst Oberquelle,Ahmed K. Elmagarmid,N
Ali K. Kamrani,Ahmed M. A. El-Sayed,N
Menahem Friedman,Ahmed M. A. El-Sayed,N
Shichao Zhang,Ahmed M. A. El-Sayed,N
David B. Lowe,Ahmed M. A. El-Sayed,P
Jianhong Wu,Ahmed M. M. Khodier,N
Toshimitsu Ushio,Ahmed M. M. Khodier,P
Yannis Manoussakis,Ahmed Patel,N
Weimin Zheng,Ahmed Patel,N
Harriet J. Nock,Ahmed Patel,N
Kamal Premaratne,Ahmed Patel,N
Letizia Leonardi,Ahmed Patel,N
Pertti Vainikainen,Ahmed Patel,N
Jan Pries-Heje,Ahmed S. Elwakil,P
Kai Reimers,Ahmed S. Elwakil,P
Shahram Ghandeharizadeh,Ahmed S. Elwakil,P
Bert Wijnen,Ahmed S. Elwakil,N
Christian Mira,Ahmed S. Elwakil,N
Jan M. Rabaey,Ahmed Seffah,P
Thomas A. Manteuffel,Ahmed Seffah,N
Frank L. Lewis,Ahmet Arslan,P
Edward J. Delp,Ahmet M. Eskicioglu,P
Stephan Brandt,Ahmet M. Eskicioglu,P
Mohamed F. Younis,Ahmet M. Eskicioglu,P
Iris Vessey,Ai-Chun Pang,P
Mark Schroeder,Ai-Chun Pang,N
Tomas Sauer,Ai-Chun Pang,N
Lewis M. Mackenzie,Ai-Chun Pang,P
Jian Pei,Aidong Zhang,N
Shirley Ann Becker,Aidong Zhang,N
Jim X. Chen,Aiichiro Nakano,P
Wei Zhao,Aiichiro Nakano,P
Leif Kobbelt,Aiichiro Nakano,P
Christopher D. Carothers,Aiichiro Nakano,N
Paola Mello,Ajay D. Kshemkalyani,P
Roberto Kawakami Harrop Galvão,Ajay D. Kshemkalyani,P
Zhili Sun,Ajay Divakaran,P
Alain Denise,Ajay Divakaran,P
Marco Viceconti,Ajay Divakaran,N
Gary J. Sullivan,Ajay Luthra,N
Thomas Wiegand,Ajay Luthra,P
Robert P. Colwell,Ajay Luthra,P
Christoph Lindemann,Ajay Luthra,N
Fangzhen Lin,Ajay Luthra,N
Paul L. Bowen,Ajay Luthra,N
Martin Karplus,Ajay S. Vinze,N
José A. Moreno-Pérez,Ajay S. Vinze,P
Sébastien Tixeuil,Ajoy Kumar Datta,N
Shotaro Akaho,Ajoy Kumar Datta,P
Amnon Meisels,Ajoy Kumar Datta,N
Frank Leymann,Ajoy Kumar Datta,N
Reinhard Klein,Ajoy Kumar Datta,P
Ke Liu,Akbar M. Sayeed,P
Robert W. Heath Jr.,Akbar M. Sayeed,P
V. Ramachandran,Akbar M. Sayeed,P
Pierre McKenzie,Akbar M. Sayeed,N
Simon Haykin,Akbar M. Sayeed,N
Mikhail H. Klin,Akbar Zaheer,P
Eli Upfal,Akbar Zaheer,N
David Hansel,Akbar Zaheer,N
Jacques Wainer,Akhil Kumar 0001,N
Henri Prade,Akhil Kumar 0001,N
Albrecht Schmidt 0001,Akhil Kumar 0001,P
Aruna Seneviratne,Akhil Kumar 0001,N
Sunder Kekre,Akhilesh Bajaj,P
Bogdan Gabrys,Akhilesh Bajaj,N
Mark Sanderson,Akhilesh Chandra,N
David G. Goodenough,Akifumi Makinouchi,P
Shahram Payandeh,Akihiro Kanamori,P
Marios C. Papaefthymiou,Akihiro Kanamori,N
Enrico Zanoni,Akihiro Kanamori,N
Jotun Hein,Akihiro Kanamori,P
Eiichi Bannai,Akihiro Munemasa,N
Matteo Baldoni,Akihiro Munemasa,P
Ryan Kastner,Akihiro Munemasa,P
Mario Rodríguez-Artalejo,Akihiro Munemasa,N
Stephen G. Simpson,Akihisa Tamura,N
Mauricio Osorio 0001,Akihisa Tamura,P
Hidefumi Kobatake,Akinobu Shimizu,N
Fan Wang,Akinobu Shimizu,N
Cong-hua Yan,Akinobu Shimizu,N
Baining Guo,Akinori Sarai,P
Bernard Boigelot,Akinori Sarai,N
Chein-Wei Jen,Akinori Sarai,N
Edward W. Knightly,Akinori Sarai,P
AnHai Doan,Akinori Sarai,P
Federico Fontana,Akinori Sarai,N
Giorgio Picci,Akinori Sarai,N
Arjan Durresi,Akio Koyama,P
Zixue Cheng,Akio Koyama,P
Sven Axsäter,Akio Koyama,N
Jibin Li 0001,Akira Hiraki,N
Rafik A. Goubran,Akira Hiraki,P
Takahiro Hara,Akira Hirose,P
Mark Christiaens,Akira Hirose,P
Laurent Wendling,Akira Hirose,N
