author,id_article,year
Robert P. W. Duin,journals/jmlr/TaxD01,2001
Don R. Hush,journals/jmlr/CannonEHS02,2002
Michael I. Jordan,journals/jmlr/LanckrietGBJ02,2002
Ran El-Yaniv,journals/jmlr/NevoE02,2002
Robert E. Mahony,journals/jmlr/MahonyW01,2001
Robert C. Williamson,journals/jmlr/MahonyW01,2001
Johannes Fürnkranz,journals/jmlr/Furnkranz02,2002
David Horn,journals/jmlr/Ben-HurHSV01,2001
Hava T. Siegelmann,journals/jmlr/Ben-HurHSV01,2001
Vladimir Vapnik,journals/jmlr/Ben-HurHSV01,2001
Alexander J. Smola,journals/jmlr/SmolaMSW01,2001
Bernhard Schölkopf,journals/jmlr/SmolaMSW01,2001
Robert C. Williamson,journals/jmlr/SmolaMSW01,2001
Nader H. Bshouty,journals/jmlr/BshoutyF02,2002
Diane J. Cook,journals/jmlr/JonyerCH01,2001
Lawrence B. Holder,journals/jmlr/JonyerCH01,2001
Jürgen Schmidhuber,journals/jmlr/GersSS02,2002
Klaus-Robert Müller,journals/jmlr/SugiyamaM02,2002
Tobias Scheffer,journals/jmlr/SchefferW02,2002
Stefan Wrobel,journals/jmlr/SchefferW02,2002
Olvi L. Mangasarian,journals/jmlr/MangasarianM01,2001
Miles Osborne,journals/jmlr/HammertonOAD02,2002
Walter Daelemans,journals/jmlr/HammertonOAD02,2002
John Shawe-Taylor,journals/jmlr/LodhiSSCW02,2002
Mario Marchand,journals/jmlr/MarchandS02,2002
John Shawe-Taylor,journals/jmlr/MarchandS02,2002
David Maxwell Chickering,journals/jmlr/Chickering02,2002
Michael E. Tipping,journals/jmlr/Tipping01,2001
Hendrik Blockeel,journals/jmlr/BlockeelS02,2002
Katya Scheinberg,journals/jmlr/FineS01,2001
Tamás Linder,journals/jmlr/AntosKLL02,2002
Gábor Lugosi,journals/jmlr/AntosKLL02,2002
Jacques Savoy,journals/debu/PicardS01,2001
Daniel S. Weld,journals/debu/IvesHW01,2001
David B. Lomet,journals/debu/Lomet01c,2001
Per-Åke Larson,journals/debu/LarsonKS01a,2001
Masaru Kitsuregawa,journals/debu/LarsonKS01a,2001
Betty Salzberg,journals/debu/LarsonKS01a,2001
Amit Singhal,journals/debu/Singhal01,2001
Christos Faloutsos,journals/debu/WuFSP01,2001
Katia P. Sycara,journals/debu/WuFSP01,2001
Fabio Casati,journals/debu/CasatiCDHSS02,2002
Umeshwar Dayal,journals/debu/CasatiCDHSS02,2002
Ming-Chien Shan,journals/debu/CasatiCDHSS02,2002
Divyakant Agrawal,journals/debu/ChonAA02,2002
Amr El Abbadi,journals/debu/ChonAA02,2002
David B. Lomet,journals/debu/Lomet02a,2002
Luis Gravano,journals/debu/GravanoIJKMPS01,2001
H. V. Jagadish,journals/debu/GravanoIJKMPS01,2001
S. Muthukrishnan,journals/debu/GravanoIJKMPS01,2001
Divesh Srivastava,journals/debu/GravanoIJKMPS01,2001
Asuman Dogac,journals/debu/DogacLKC02,2002
Ibrahim Cingil,journals/debu/DogacLKC02,2002
Diego Calvanese,journals/debu/CaliCGL02,2002
Giuseppe De Giacomo,journals/debu/CaliCGL02,2002
Maurizio Lenzerini,journals/debu/CaliCGL02,2002
Heiko Schuldt,journals/debu/LazcanoSAS01,2001
Gustavo Alonso,journals/debu/LazcanoSAS01,2001
Hans-Jörg Schek,journals/debu/LazcanoSAS01,2001
Alejandro P. Buchmann,journals/debu/CiliaB02,2002
David B. Lomet,journals/debu/Lomet02b,2002
Philip A. Bernstein,journals/debu/PottingerB02,2002
Luis Gravano,journals/debu/GravanoIS02,2002
Mehran Sahami,journals/debu/GravanoIS02,2002
Mike P. Papazoglou,journals/debu/PapazoglouAPY02,2002
Marco Pistore,journals/debu/PapazoglouAPY02,2002
Ronald Fagin,journals/debu/AndritsosFFHHHKMNPVVY02,2002
Laura M. Haas,journals/debu/AndritsosFFHHHKMNPVVY02,2002
Renée J. Miller,journals/debu/AndritsosFFHHHKMNPVVY02,2002
Fabio Casati,journals/debu/CasatiD02,2002
Umeshwar Dayal,journals/debu/CasatiD02,2002
Johannes Klein,journals/debu/MethaLMABKM01,2001
Peter Buneman,journals/debu/BunemanRSS02,2002
Pankaj K. Agarwal,journals/debu/AgarwalP02,2002
Fabio Casati,journals/debu/CasatiS01,2001
Ming-Chien Shan,journals/debu/CasatiS01,2001
Daniela Florescu,journals/debu/FlorescuK01,2001
Donald Kossmann,journals/debu/FlorescuK01,2001
Dimitris Papadias,journals/debu/PapadiasTZMSS02,2002
David B. Lomet,journals/debu/Lomet01b,2001
David B. Lomet,journals/debu/Lomet01a,2001
David B. Lomet,journals/debu/Lomet01,2001
Soumen Chakrabarti,journals/debu/ChakrabartiJ02,2002
Steffen Staab,journals/debu/MaedcheSSSV02,2002
Rudi Studer,journals/debu/MaedcheSSSV02,2002
Sunita Sarawagi,journals/debu/Sarawagi01,2001
Prabhakar Raghavan,journals/debu/Raghavan01,2001
Kothuri Venkata Ravi Kanth,journals/debu/KanthR02,2002
Michael J. Carey 0001,journals/debu/Carey01,2001
Achim Kraiss,journals/debu/KraissSWD01,2001
Gerhard Weikum,journals/debu/KraissSWD01,2001
Soumen Chakrabarti,journals/debu/HulgeriBNCS01,2001
S. Sudarshan 0001,journals/debu/HulgeriBNCS01,2001
David B. Lomet,journals/debu/Lomet02c,2002
Michael J. Carey 0001,journals/debu/CareyBT02,2002
Dimitrios Gunopulos,journals/debu/PapadopoulosKGT02,2002
Vassilis J. Tsotras,journals/debu/PapadopoulosKGT02,2002
Ian Horrocks,journals/debu/Horrocks02,2002
Gösta Grahne,journals/debu/Grahne02,2002
Gonzalo Navarro,journals/debu/NavarroBST01,2001
Ricardo A. Baeza-Yates,journals/debu/NavarroBST01,2001
Erkki Sutinen,journals/debu/NavarroBST01,2001
Jorma Tarhio,journals/debu/NavarroBST01,2001
Erich J. Neuhold,journals/debu/Neuhold02,2002
Paul W. P. J. Grefen,journals/debu/GrefenALH01,2001
Karl Aberer,journals/debu/GrefenALH01,2001
Mary F. Fernandez,journals/debu/FernandezMST01,2001
Dan Suciu,journals/debu/FernandezMST01,2001
Wang Chiew Tan,journals/debu/FernandezMST01,2001
Serge Abiteboul,journals/debu/AbiteboulPC02,2002
Rajiv Jain,journals/debu/NoriVJ01,2001
David Maier 0001,journals/debu/TufteM01,2001
Yannis Papakonstantinou,journals/debu/PapakonstantinouV02,2002
Alfons Kemper,journals/debu/BraumandlKKKSS01,2001
Donald Kossmann,journals/debu/BraumandlKKKSS01,2001
Norbert Fuhr,journals/debu/FuhrW02,2002
Gerhard Weikum,journals/debu/FuhrW02,2002
Boualem Benatallah,journals/debu/BenatallahDM02,2002
Zakaria Maamar,journals/debu/BenatallahDM02,2002
Renée J. Miller,journals/debu/Miller02,2002
Stefano Ceri,journals/debu/BrambillaCCFM02,2002
Piero Fraternali,journals/debu/BrambillaCCFM02,2002
Gerhard Weikum,journals/debu/Weikum01,2001
Sriram Raghavan,journals/debu/RaghavanG01,2001
Hector Garcia-Molina,journals/debu/RaghavanG01,2001
Per-Åke Larson,journals/debu/LarsonKS01,2001
Masaru Kitsuregawa,journals/debu/LarsonKS01,2001
Betty Salzberg,journals/debu/LarsonKS01,2001
Gerhard Weikum,journals/debu/Weikum02,2002
David B. Lomet,journals/debu/Lomet02,2002
Chiara Francalanci,journals/debu/ColomboFPPMAM02,2002
Barbara Pernici,journals/debu/ColomboFPPMAM02,2002
Valeria De Antonellis,journals/debu/ColomboFPPMAM02,2002
Luis Gravano,journals/debu/Gravano01,2001
Christian S. Jensen,journals/debu/Jensen02,2002
Jeffrey F. Naughton,journals/debu/NaughtonDMACGKKLPRSTTVWZJGC01,2001
David J. DeWitt,journals/debu/NaughtonDMACGKKLPRSTTVWZJGC01,2001
David Maier 0001,journals/debu/NaughtonDMACGKKLPRSTTVWZJGC01,2001
Naveen Prakash,journals/debu/NaughtonDMACGKKLPRSTTVWZJGC01,2001
Feng Tian,journals/debu/NaughtonDMACGKKLPRSTTVWZJGC01,2001
Yuan Wang,journals/debu/NaughtonDMACGKKLPRSTTVWZJGC01,2001
Markus Stolze,journals/debu/StolzeR01,2001
Gustavo Alonso,journals/debu/Alonso02,2002
Christian S. Jensen,journals/debu/JensenS02,2002
Gerhard Weikum,journals/debu/GraupmannW02,2002
Christoph Bussler,journals/debu/Bussler01,2001
Michael Ortega,journals/debu/ChakrabartiOPM01,2001
Sharad Mehrotra,journals/debu/ChakrabartiOPM01,2001
Leonard J. Seligman,journals/debu/SeligmanRLS02,2002
Arnon Rosenthal,journals/debu/SeligmanRLS02,2002
Paul E. Lehner,journals/debu/SeligmanRLS02,2002
Qiming Chen,journals/debu/BurdettCH02,2002
Meichun Hsu,journals/debu/BurdettCH02,2002
Vassilis Christophides,journals/debu/ChristophidesHKS01,2001
Richard Hull 0001,journals/debu/ChristophidesHKS01,2001
Akhil Kumar 0001,journals/debu/ChristophidesHKS01,2001
Jérôme Siméon,journals/debu/ChristophidesHKS01,2001
Edward A. Fox,journals/arist/FoxU02,2002
Paul Solomon,journals/arist/Solomon02,2002
Elisabeth Davenport,journals/arist/DavenportH02,2002
Hazel Hall,journals/arist/DavenportH02,2002
Steve Sawyer,journals/arist/SawyerE02,2002
Herbert W. Snyder,journals/arist/SnyderP02,2002
Christine L. Borgman,journals/arist/BorgmanF02,2002
Jonathan Furner,journals/arist/BorgmanF02,2002
Blaise Cronin,journals/arist/Cronin02,2002
Beate Bollig,journals/eccc/ECCC-TR02-033,2002
Detlef Sieling,journals/eccc/ECCC-TR02-054,2002
Wolfgang Maass 0001,journals/eccc/ECCC-TR02-022,2002
Vladimir V. V'yugin,journals/eccc/ECCC-TR01-052,2001
Ran Canetti,journals/eccc/ECCC-TR01-016,2001
Palash Sarkar 0001,journals/eccc/ECCC-TR01-081,2001
Matthias Krause 0001,journals/eccc/ECCC-TR01-078,2001
Moti Yung,journals/eccc/ECCC-TR02-017,2002
Maria Luisa Bonet,journals/eccc/ECCC-TR02-010,2002
Edward A. Hirsch,journals/eccc/ECCC-TR01-012,2001
Jin-yi Cai,journals/eccc/ECCC-TR01-030,2001
Piotr Berman,journals/eccc/ECCC-TR01-047,2001
Sridhar Hannenhalli,journals/eccc/ECCC-TR01-047,2001
Marek Karpinski,journals/eccc/ECCC-TR01-047,2001
Nader H. Bshouty,journals/eccc/ECCC-TR02-019,2002
Marek Karpinski,journals/eccc/ECCC-TR02-046,2002
Jörg Rothe,journals/eccc/ECCC-TR02-068,2002
Wenceslas Fernandez de la Vega,journals/eccc/ECCC-TR02-025,2002
Marek Karpinski,journals/eccc/ECCC-TR02-025,2002
Claire Kenyon,journals/eccc/ECCC-TR02-025,2002
Yuval Rabani,journals/eccc/ECCC-TR02-025,2002
Chandra Chekuri,journals/eccc/ECCC-TR01-065,2001
Sanjeev Khanna,journals/eccc/ECCC-TR01-065,2001
Marek Karpinski,journals/eccc/ECCC-TR02-029,2002
Bruno Durand,journals/eccc/ECCC-TR01-087,2001
Alexander Shen,journals/eccc/ECCC-TR01-087,2001
Nikolai K. Vereshchagin,journals/eccc/ECCC-TR01-087,2001
Valentine Kabanets,journals/eccc/ECCC-TR02-055,2002
Russell Impagliazzo,journals/eccc/ECCC-TR02-055,2002
Dima Grigoriev,journals/eccc/ECCC-TR01-011,2001
Edward A. Hirsch,journals/eccc/ECCC-TR01-011,2001
Oded Goldreich 0001,journals/eccc/ECCC-TR02-049,2002
Marius Zimand,journals/eccc/ECCC-TR01-027,2001
Miklós Ajtai,journals/eccc/ECCC-TR02-061,2002
Eric Allender,journals/eccc/ECCC-TR02-028,2002
Harry Buhrman,journals/eccc/ECCC-TR02-028,2002
Dieter van Melkebeek,journals/eccc/ECCC-TR02-028,2002
Michael E. Saks,journals/eccc/ECCC-TR02-002,2002
Boris Ryabko,journals/eccc/ECCC-TR02-011,2002
Mitsunori Ogihara,journals/eccc/ECCC-TR01-061,2001
Seinosuke Toda,journals/eccc/ECCC-TR01-061,2001
Günter Hotz,journals/eccc/ECCC-TR01-004,2001
Oded Goldreich 0001,journals/eccc/ECCC-TR01-091,2001
Lars Engebretsen,journals/eccc/ECCC-TR01-003,2001
Dima Grigoriev,journals/eccc/ECCC-TR01-103,2001
Edward A. Hirsch,journals/eccc/ECCC-TR01-103,2001
Dmitrii V. Pasechnik,journals/eccc/ECCC-TR01-103,2001
Irit Dinur,journals/eccc/ECCC-TR02-027,2002
Venkatesan Guruswami,journals/eccc/ECCC-TR02-027,2002
Michele Zito,journals/eccc/ECCC-TR01-079,2001
Toniann Pitassi,journals/eccc/ECCC-TR01-074,2001
Vikraman Arvind,journals/eccc/ECCC-TR02-037,2002
Luca Trevisan,journals/eccc/ECCC-TR02-064,2002
Vikraman Arvind,journals/eccc/ECCC-TR02-031,2002
Venkatesh Raman 0001,journals/eccc/ECCC-TR02-031,2002
Moni Naor,journals/eccc/ECCC-TR01-062,2001
Richard J. Lipton,journals/eccc/ECCC-TR02-057,2002
Rüdiger Reischuk,journals/eccc/ECCC-TR01-038,2001
Alexander A. Razborov,journals/eccc/ECCC-TR01-055,2001
C. E. Veni Madhavan,journals/eccc/ECCC-TR01-020,2001
Stasys Jukna,journals/eccc/ECCC-TR01-049,2001
Georg Schnitger,journals/eccc/ECCC-TR01-049,2001
Lars Engebretsen,journals/eccc/ECCC-TR02-053,2002
Venkatesan Guruswami,journals/eccc/ECCC-TR02-053,2002
Vladimir V. V'yugin,journals/eccc/ECCC-TR01-043,2001
Nikolai K. Vereshchagin,journals/eccc/ECCC-TR01-086,2001
Oded Goldreich 0001,journals/eccc/ECCC-TR01-093,2001
Mitsunori Ogihara,journals/eccc/ECCC-TR02-016,2002
Piotr Berman,journals/eccc/ECCC-TR01-026,2001
Marek Karpinski,journals/eccc/ECCC-TR01-026,2001
Paul Beame,journals/eccc/ECCC-TR02-023,2002
Toniann Pitassi,journals/eccc/ECCC-TR02-023,2002
Ran Raz,journals/eccc/ECCC-TR02-023,2002
Wenceslas Fernandez de la Vega,journals/eccc/ECCC-TR02-041,2002
Marek Karpinski,journals/eccc/ECCC-TR02-041,2002
Claire Kenyon,journals/eccc/ECCC-TR02-041,2002
Marco Cadoli,journals/eccc/ECCC-TR02-067,2002
Francesco M. Donini,journals/eccc/ECCC-TR02-067,2002
Paolo Liberatore,journals/eccc/ECCC-TR02-067,2002
Marco Schaerf,journals/eccc/ECCC-TR02-067,2002
Peter Jeavons,journals/eccc/ECCC-TR01-077,2001
Peter Jonsson,journals/eccc/ECCC-TR01-077,2001
Oded Goldreich 0001,journals/eccc/ECCC-TR02-047,2002
Marcos A. Kiwi,journals/eccc/ECCC-TR01-014,2001
Miklos Santha,journals/eccc/ECCC-TR01-014,2001
Amos Beimel,journals/eccc/ECCC-TR01-015,2001
Yuval Ishai,journals/eccc/ECCC-TR01-015,2001
Oded Goldreich 0001,journals/eccc/ECCC-TR01-057,2001
Russell Impagliazzo,journals/eccc/ECCC-TR01-057,2001
Steven Rudich,journals/eccc/ECCC-TR01-057,2001
Amit Sahai,journals/eccc/ECCC-TR01-057,2001
Salil P. Vadhan,journals/eccc/ECCC-TR01-057,2001
Klaus Weihrauch,journals/eccc/ECCC-TR02-014,2002
Omer Reingold,journals/eccc/ECCC-TR01-018,2001
Salil P. Vadhan,journals/eccc/ECCC-TR01-018,2001
Avi Wigderson,journals/eccc/ECCC-TR01-018,2001
Pavel Pudlák,journals/eccc/ECCC-TR02-007,2002
Andrew Chi-Chih Yao,journals/eccc/ECCC-TR02-074,2002
Piotr Berman,journals/eccc/ECCC-TR01-025,2001
Marek Karpinski,journals/eccc/ECCC-TR01-025,2001
Eli Ben-Sasson,journals/eccc/ECCC-TR02-003,2002
Oded Goldreich 0001,journals/eccc/ECCC-TR01-046,2001
Salil P. Vadhan,journals/eccc/ECCC-TR01-046,2001
Avi Wigderson,journals/eccc/ECCC-TR01-046,2001
Andrew Chi-Chih Yao,journals/eccc/ECCC-TR02-062,2002
Moni Naor,journals/eccc/ECCC-TR01-064,2001
Omer Reingold,journals/eccc/ECCC-TR01-064,2001
Venkatesan Guruswami,journals/eccc/ECCC-TR01-002,2001
Petr Savický,journals/eccc/ECCC-TR02-009,2002
Thomas Thierauf,journals/eccc/ECCC-TR01-028,2001
Andris Ambainis,journals/eccc/ECCC-TR01-019,2001
Harry Buhrman,journals/eccc/ECCC-TR01-019,2001
William I. Gasarch,journals/eccc/ECCC-TR01-019,2001
Bala Kalyanasundaram,journals/eccc/ECCC-TR01-019,2001
Leen Torenvliet,journals/eccc/ECCC-TR01-019,2001
Rustam Mubarakzjanov,journals/eccc/ECCC-TR01-037,2001
Bruno Codenotti,journals/eccc/ECCC-TR02-071,2002
Igor E. Shparlinski,journals/eccc/ECCC-TR02-071,2002
Vince Grolmusz,journals/eccc/ECCC-TR02-052,2002
Oded Goldreich 0001,journals/eccc/ECCC-TR02-063,2002
Luca Trevisan,journals/eccc/ECCC-TR02-069,2002
Jin-yi Cai,journals/eccc/ECCC-TR01-001,2001
Michal Parnas,journals/eccc/ECCC-TR01-063,2001
Dana Ron,journals/eccc/ECCC-TR01-063,2001
Alex Samorodnitsky,journals/eccc/ECCC-TR01-063,2001
Heribert Vollmer,journals/eccc/ECCC-TR02-056,2002
Noga Alon,journals/eccc/ECCC-TR01-100,2001
Wenceslas Fernandez de la Vega,journals/eccc/ECCC-TR01-100,2001
Ravi Kannan,journals/eccc/ECCC-TR01-100,2001
Marek Karpinski,journals/eccc/ECCC-TR01-100,2001
Peter Bro Miltersen,journals/eccc/ECCC-TR02-066,2002
V. Vinay,journals/eccc/ECCC-TR02-066,2002
Pavol Duris,journals/eccc/ECCC-TR01-066,2001
Juraj Hromkovic,journals/eccc/ECCC-TR01-066,2001
Stasys Jukna,journals/eccc/ECCC-TR01-066,2001
Martin Sauerhoff,journals/eccc/ECCC-TR01-066,2001
Georg Schnitger,journals/eccc/ECCC-TR01-066,2001
Oded Goldreich 0001,journals/eccc/ECCC-TR01-102,2001
Beate Bollig,journals/eccc/ECCC-TR01-073,2001
Stephan Waack,journals/eccc/ECCC-TR01-073,2001
Maciej Liskiewicz,journals/eccc/ECCC-TR01-090,2001
Rüdiger Reischuk,journals/eccc/ECCC-TR01-090,2001
Valentine Kabanets,journals/eccc/ECCC-TR02-008,2002
Eldar Fischer,journals/eccc/ECCC-TR01-008,2001
Stasys Jukna,journals/eccc/ECCC-TR01-058,2001
Alan L. Selman,journals/eccc/ECCC-TR02-005,2002
Wolfgang Maass 0001,journals/eccc/ECCC-TR01-069,2001
Oded Goldreich 0001,journals/eccc/ECCC-TR01-010,2001
Luca Trevisan,journals/eccc/ECCC-TR01-010,2001
Oded Goldreich 0001,journals/eccc/ECCC-TR02-050,2002
Madhu Sudan,journals/eccc/ECCC-TR02-050,2002
Noga Alon,journals/eccc/ECCC-TR02-048,2002
Oded Goldreich 0001,journals/eccc/ECCC-TR02-048,2002
Yishay Mansour,journals/eccc/ECCC-TR02-048,2002
Dalit Naor,journals/eccc/ECCC-TR02-043,2002
Moni Naor,journals/eccc/ECCC-TR02-043,2002
Pierre Péladeau,journals/eccc/ECCC-TR01-040,2001
Denis Thérien,journals/eccc/ECCC-TR01-040,2001
Cristina Bazgan,journals/eccc/ECCC-TR01-034,2001
Wenceslas Fernandez de la Vega,journals/eccc/ECCC-TR01-034,2001
Marek Karpinski,journals/eccc/ECCC-TR01-034,2001
Eli Ben-Sasson,journals/eccc/ECCC-TR01-031,2001
Nicola Galesi,journals/eccc/ECCC-TR01-031,2001
Paul G. Spirakis,journals/eccc/ECCC-TR01-099,2001
Nikolai K. Vereshchagin,journals/eccc/ECCC-TR01-083,2001
Petr Savický,journals/eccc/ECCC-TR01-017,2001
Detlef Sieling,journals/eccc/ECCC-TR01-017,2001
Henning Fernau,journals/eccc/ECCC-TR01-023,2001
Rolf Niedermeier,journals/eccc/ECCC-TR01-023,2001
Eric Allender,journals/eccc/ECCC-TR01-033,2001
David A. Mix Barrington,journals/eccc/ECCC-TR01-033,2001
Alexander A. Razborov,journals/eccc/ECCC-TR01-075,2001
Pavel Pudlák,journals/eccc/ECCC-TR01-044,2001
Piotr Berman,journals/eccc/ECCC-TR02-018,2002
Marek Karpinski,journals/eccc/ECCC-TR02-018,2002
Andrei A. Muchnik,journals/eccc/ECCC-TR01-089,2001
Nikolai K. Vereshchagin,journals/eccc/ECCC-TR01-089,2001
Eric Allender,journals/eccc/ECCC-TR01-041,2001
V. Vinay,journals/eccc/ECCC-TR01-041,2001
Chris Pollett,journals/eccc/ECCC-TR02-051,2002
Ran Raz,journals/eccc/ECCC-TR02-012,2002
Dima Grigoriev,journals/eccc/ECCC-TR02-042,2002
Daniele Micciancio,journals/eccc/ECCC-TR02-045,2002
Erez Petrank,journals/eccc/ECCC-TR02-045,2002
Amnon Ta-Shma,journals/eccc/ECCC-TR01-036,2001
David Zuckerman,journals/eccc/ECCC-TR01-036,2001
Shmuel Safra,journals/eccc/ECCC-TR01-036,2001
Cynthia Dwork,journals/eccc/ECCC-TR02-001,2002
Moni Naor,journals/eccc/ECCC-TR02-001,2002
Ran Raz,journals/eccc/ECCC-TR01-021,2001
Piotr Berman,journals/eccc/ECCC-TR01-054,2001
Amir Ben-Dor,journals/eccc/ECCC-TR01-054,2001
Itsik Pe'er,journals/eccc/ECCC-TR01-054,2001
Ron Shamir,journals/eccc/ECCC-TR01-054,2001
Wenceslas Fernandez de la Vega,journals/eccc/ECCC-TR02-070,2002
Marek Karpinski,journals/eccc/ECCC-TR02-070,2002
Wolfgang Maass 0001,journals/eccc/ECCC-TR01-071,2001
Maciej Liskiewicz,journals/eccc/ECCC-TR02-021,2002
Rüdiger Reischuk,journals/eccc/ECCC-TR02-021,2002
Piotr Berman,journals/eccc/ECCC-TR01-053,2001
Marek Karpinski,journals/eccc/ECCC-TR01-053,2001
Oded Goldreich 0001,journals/eccc/ECCC-TR02-039,2002
Avi Wigderson,journals/eccc/ECCC-TR02-039,2002
Ran Canetti,journals/eccc/ECCC-TR01-050,2001
Joe Kilian,journals/eccc/ECCC-TR01-050,2001
Erez Petrank,journals/eccc/ECCC-TR01-050,2001
Jan Johannsen,journals/eccc/ECCC-TR01-056,2001
Toniann Pitassi,journals/eccc/ECCC-TR01-056,2001
Alasdair Urquhart,journals/eccc/ECCC-TR01-056,2001
Ronald de Wolf,journals/eccc/ECCC-TR02-059,2002
Stephen A. Cook,journals/eccc/ECCC-TR01-024,2001
Lars Engebretsen,journals/eccc/ECCC-TR02-040,2002
Denis Thérien,journals/eccc/ECCC-TR01-005,2001
Michel de Rougemont,journals/eccc/ECCC-TR01-051,2001
Alan L. Selman,journals/eccc/ECCC-TR01-032,2001
Elvira Mayordomo,journals/eccc/ECCC-TR01-059,2001
