author,sum_art
Sunita Sarawagi,3
Prabhakar Raghavan,9
Kothuri Venkata Ravi Kanth,1
Michael J. Carey 0001,4
Achim Kraiss,2
Gerhard Weikum,10
S. Sudarshan 0001,1
Dimitrios Gunopulos,5
Vassilis J. Tsotras,6
Ian Horrocks,8
Gösta Grahne,1
Gonzalo Navarro,9
Ricardo A. Baeza-Yates,10
Erkki Sutinen,4
Jorma Tarhio,1
Erich J. Neuhold,1
Paul W. P. J. Grefen,5
Karl Aberer,10
Mary F. Fernandez,3
Dan Suciu,9
Wang Chiew Tan,3
Serge Abiteboul,3
Rajiv Jain,1
David Maier 0001,4
Yannis Papakonstantinou,2
Alfons Kemper,4
Norbert Fuhr,2
Boualem Benatallah,5
Zakaria Maamar,6
Stefano Ceri,7
Piero Fraternali,3
Sriram Raghavan,4
Hector Garcia-Molina,7
Chiara Francalanci,2
Barbara Pernici,3
Valeria De Antonellis,3
Christian S. Jensen,11
Jeffrey F. Naughton,2
David J. DeWitt,3
Naveen Prakash,2
Feng Tian,3
Yuan Wang,6
Markus Stolze,1
Christoph Bussler,5
Michael Ortega,1
Sharad Mehrotra,4
Leonard J. Seligman,3
Arnon Rosenthal,2
Paul E. Lehner,2
Qiming Chen,1
Meichun Hsu,2
Vassilis Christophides,3
Richard Hull 0001,1
Akhil Kumar 0001,7
Jérôme Siméon,3
Edward A. Fox,10
Paul Solomon,2
Elisabeth Davenport,8
Hazel Hall,3
Steve Sawyer,7
Herbert W. Snyder,1
Christine L. Borgman,3
Jonathan Furner,2
Blaise Cronin,13
Beate Bollig,4
Detlef Sieling,7
Wolfgang Maass 0001,11
Vladimir V. V'yugin,7
Ran Canetti,11
Palash Sarkar 0001,8
Matthias Krause 0001,3
Moti Yung,7
Maria Luisa Bonet,3
Edward A. Hirsch,5
Jin-yi Cai,2
Piotr Berman,10
Sridhar Hannenhalli,2
Marek Karpinski,22
Jörg Rothe,13
Wenceslas Fernandez de la Vega,10
Claire Kenyon,8
Yuval Rabani,4
Chandra Chekuri,3
Sanjeev Khanna,2
Bruno Durand,7
Alexander Shen,7
Nikolai K. Vereshchagin,12
Valentine Kabanets,5
Russell Impagliazzo,12
Dima Grigoriev,12
Oded Goldreich 0001,22
Marius Zimand,2
Miklós Ajtai,4
Eric Allender,7
Harry Buhrman,12
Dieter van Melkebeek,4
Michael E. Saks,9
Boris Ryabko,7
Mitsunori Ogihara,8
Seinosuke Toda,1
Günter Hotz,1
Lars Engebretsen,6
Dmitrii V. Pasechnik,4
Irit Dinur,3
Venkatesan Guruswami,8
Michele Zito,6
Toniann Pitassi,10
Vikraman Arvind,6
Luca Trevisan,8
Venkatesh Raman 0001,5
Moni Naor,14
Richard J. Lipton,3
Rüdiger Reischuk,3
Alexander A. Razborov,4
C. E. Veni Madhavan,3
Stasys Jukna,5
Georg Schnitger,6
Paul Beame,5
Ran Raz,4
Marco Cadoli,4
Francesco M. Donini,6
Paolo Liberatore,10
Marco Schaerf,5
Peter Jeavons,2
Peter Jonsson,2
Marcos A. Kiwi,3
Miklos Santha,3
Amos Beimel,3
Yuval Ishai,6
Steven Rudich,4
Amit Sahai,7
Salil P. Vadhan,11
Klaus Weihrauch,6
Omer Reingold,6
Avi Wigderson,10
Pavel Pudlák,7
Andrew Chi-Chih Yao,3
Eli Ben-Sasson,5
Petr Savický,3
Thomas Thierauf,1
Andris Ambainis,10
William I. Gasarch,14
Bala Kalyanasundaram,4
Leen Torenvliet,3
Rustam Mubarakzjanov,2
Bruno Codenotti,4
Igor E. Shparlinski,19
Vince Grolmusz,7
Michal Parnas,5
Dana Ron,8
Alex Samorodnitsky,5
Heribert Vollmer,4
Noga Alon,25
Ravi Kannan,2
Peter Bro Miltersen,4
V. Vinay,2
Pavol Duris,1
Juraj Hromkovic,10
Martin Sauerhoff,3
Stephan Waack,4
Maciej Liskiewicz,2
Eldar Fischer,3
Alan L. Selman,6
Madhu Sudan,9
Yishay Mansour,7
Dalit Naor,2
Pierre Péladeau,1
Denis Thérien,4
Cristina Bazgan,4
Nicola Galesi,5
Paul G. Spirakis,8
Henning Fernau,10
Rolf Niedermeier,7
David A. Mix Barrington,4
Andrei A. Muchnik,4
Chris Pollett,3
Daniele Micciancio,4
Erez Petrank,8
Amnon Ta-Shma,4
David Zuckerman,4
Shmuel Safra,2
Cynthia Dwork,1
Amir Ben-Dor,2
Itsik Pe'er,4
Ron Shamir,6
Joe Kilian,8
Jan Johannsen,3
Alasdair Urquhart,1
Ronald de Wolf,9
Stephen A. Cook,2
Michel de Rougemont,2
Elvira Mayordomo,3
Alexander Russell,7
Stanislav Zák,2
Gerhard J. Woeginger,30
Stephen A. Fenner,4
Michael Schmitt 0001,5
Howard J. Karloff,2
Leonard J. Schulman,3
Ronald Cramer,4
Victor Shoup,10
Farid M. Ablayev,2
Cristopher Moore,6
Michael E. Whitman,1
Catherine M. Beise,1
Richard G. Vedder,3
Carl Stephen Guynes,4
Dale Young,2
David C. Yen,19
J. Ellis Blanton,3
Rosemary H. Wild,2
Eldon Y. Li,4
Jay E. Aronson,1
Keng Siau,6
Mark I. Hwang,1
James J. Cappel,2
Clyde W. Holsapple,11
Charles A. Snyder,2
Houston H. Carr,2
William E. Spangler,2
Douglas B. Bock,2
William R. King,9
Barbara D. Klein,2
Jennifer Kreie,1
Timothy Paul Cronan,3
George Wright,2
Hsiangchu Lai,1
Randall S. Sexton,4
John W. Satzinger,2
R. Brent Gallupe,1
Sherry D. Ryan,2
Victor R. Prybutok,2
David E. Douglas,1
Louis Raymond,2
Frederick Gallegos,1
Wenhong Luo,1
Randy Ryker,2
Gwo-Hshiung Tzeng,9
Mark N. Frolick,5
Ranjit Bose,2
Cynthia K. Riemenschneider,3
Bill C. Hardgrave,3
T. M. Rajkumar,3
Jay Liebowitz,8
Mohamed Zairi,3
Chao-Ton Su,4
Richard A. Johnson,3
Antonis C. Stylianou,1
Kent A. Walstrom,2
Sajjad Zahir,4
Peter Middleton,3
Vijayan Sugumaran,4
Shailendra C. Palvia,3
Niv Ahituv,3
Seev Neumann,1
Moshe Zviran,3
Chang Liu,4
Kirk P. Arnett,2
Chinho Lin,4
Petter Gottschalk,13
Ronald Dattero,2
David C. Chou,9
Parag C. Pendharkar,8
Girish H. Subramanian,3
Arup Mukherjee,1
John T. Nosek,1
Chuangyin Dang,8
Ravindra Krovi,4
Ye-Sho Chen,3
P. Pete Chong,3
Gerald V. Post,1
Albert Kagan,4
Morgan M. Shepherd,3
Karen A. Forcht,2
Albert H. Huang,1
Minder Chen,1
Yihwa Irene Liou,1
Jaideep Motwani,4
Jay F. Nunamaker Jr.,5
Houn-Gee Chen,4
Pradip Sircar,1
Jingcheng Wang,1
Chee-Fai Yung,3
Hsin-Teng Sheu,1
George E. Antoniou,2
José Álvarez-Ramírez,2
Rodolfo Suárez,3
George Leitmann,1
Leang-San Shieh,4
York-Yih Sun,2
Eduardo D. Sontag,10
Robert E. Skelton,2
George C. Verghese,2
S. Sitharama Iyengar,11
Krishnendu Chakrabarty,21
Barry G. Sherlock,2
Michael G. Safonov,6
Christopher I. Byrnes,4
Xiaoming Hu,5
Clyde F. Martin,8
Athina P. Petropulu,4
Konstantinos I. Diamantaras,3
Chyi Hwang,9
Konrad Reif,1
Friedrich Pfeiffer,1
Saleh A. Alshebeili,3
David D. Sworder,3
John E. Boyd,3
Boualem Boashash,6
Richard J. Kozick,4
Thomas T. Hewett,1
José Rodellar,4
Josep Vehí,3
Manuel de la Sen,6
Bin Jiang,5
Jian Liang Wang,8
Bo Hu,3
Anthony N. Michel,5
Maurice F. Aburdene,1
Rabinder N. Madan,1
Vladimir Lyandres,2
Vladimir L. Kharitonov,2
Luc Knockaert,2
Gerard G. L. Meyer,2
James J. Lu,2
Neil V. Murray,1
Erik Rosenthal,1
P. P. Vaidyanathan,3
Ioannis E. Pountourakis,6
Hassan Hammouri,2
Yong-Yan Cao,5
Berkant Tacer,1
Patrick J. Loughlin,6
Morten Hertzum,3
Sandeep Purao,8
Matti Rossi,4
Sundeep Sahay,7
Geoff Walsham,3
Felix Stalder,4
John Mingers,3
Lucas D. Introna,2
Michael S. H. Heng,1
Wanda J. Orlikowski,6
Monica Divitini,2
Carla Simone,4
Daniel Robey,6
Mike Phillips,2
Stuart Mealing,1
Jonas Löwgren,2
Sue Gollifer,1
Eyas El-Qawasmeh,1
Mary C. Dyson,2
Colin Beardon,1
Tereza G. Kirner,2
Sue Cobb,2
Steve Benford,5
Gail Reynard,1
John R. Wilson,4
John McKay,1
Dirk Fox,20
Rüdiger Grimm,3
Marit Köhntopp,4
Jörn Müller-Quade,4
Rainer Steinwandt,13
Thomas Beth,8
Johann Bizer,32
Karl Rihaczek,24
Joachim Jacob,1
Thilo Weichert,6
Stefan Lucks,4
Rüdiger Weis,2
Alexander Roßnagel,6
Stefan Kelm,3
Alfred Büllesbach,1
Andreas Pfitzmann,4
Hans-Jürgen Garstka,1
Helmut Bäumler,10
Christoph Thiel,3
Andreas Bertsch,6
Friedrich von Zezschwitz,1
Helmut Heil,2
Alexander Dix,2
Volker Hammer,1
Patrick Horster,1
Marie-Theres Tinnefeld,4
Astrid Albrecht,1
Sachar Paulus,1
Ulrich Pordesch,1
Hiroyuki Matsumoto,1
Lyn Robinson,6
David Bawden,19
Tamara Eisenschitz,3
David Nicholas,15
Paul Huntington,13
Peter Williams,14
Mike Thelwall,21
John Kirriemuir,2
Timothy C. Craven,4
Michel J. Menou,1
Ralph Adam,3
Rik Van de Walle,3
Charles Oppenheim,27
Brad A. Myers,5
Richard G. McDaniel,1
Pedro A. Szekely,1
Dario A. Giuse,1
Kwang-Moo Choe,1
Jay Hoeflinger,4
David A. Padua,3
Lawrence C. Paulson,3
Dominic Duggan,7
Sandro Etalle,6
Maurizio Gabbrielli,4
Maria Chiara Meo,5
Kathryn S. McKinley,1
J. Eliot B. Moss,2
Sophia Drossopoulou,2
Mariangiola Dezani-Ciancaglini,10
Paola Giannini,4
Mark van den Brand,7
Jan Heering,2
Paul Klint,6
David B. Whalley,3
Ugo Montanari,21
Francesca Rossi,8
Frank Mueller,3
Thomas A. Henzinger,7
Gopal Gupta,5
Enrico Pontelli,7
Khayri A. M. Ali,1
Manuel V. Hermenegildo,3
Craig Chambers,2
José M. Llabería,1
K. Rustan M. Leino,3
Greg Nelson,1
Benjamin C. Pierce,6
Philip Wadler,2
Henri E. Bal,12
Thilo Kielmann,6
Ceriel J. H. Jacobs,1
Rutger F. H. Hofman,5
Shmuel Sagiv,2
Thomas W. Reps,2
Reinhard Wilhelm,1
Keith D. Cooper,4
Krishna V. Palem,2
Amir Pnueli,8
Barbara G. Ryder,3
William Landi,2
Miguel Toro,11
Rajeev Alur,7
Mihalis Yannakakis,4
PeiZong Lee,2
Zvi M. Kedem,2
G. Ramalingam,2
Matthew Hennessy,7
Kathleen Fisher,3
Frank Tip,2
Chris Laffra,1
Andrew W. Appel,1
David A. McAllester,6
Paul C. Attie,2
E. Allen Emerson,2
Christopher League,1
Zhong Shao,2
Valery Trifonov,1
Paul E. Johnson,4
Kenneth R. Koedinger,1
Daniel N. Osherson,2
P. Jonathon Phillips,2
Marc Light,4
Jason Eisner,4
Chris Eliasmith,7
Paul Thagard,1
John R. Anderson,3
Robert M. French,3
Edward W. Large,2
Philip N. Johnson-Laird,2
Richard Alterman,1
Alex Pentland,3
Gert Rickheit,1
Helge J. Ritter,10
Nick Chater,3
Todd R. Johnson,2
Josef Krems,1
Walter Kintsch,2
Ron Sun,6
Todd Peterson,1
Lee Spector,3
Mark Johnson,3
Stefan Riezler,1
Steve J. Young,2
Bernhard Plattner,3
Alois Potton,8
Sebastian Abeck,1
Martina Zitterbart,4
Dieter Wall,1
Paul J. Kühn,4
Uwe Harms,1
Christian H. Bischof,1
Torsten W. Kuhlen,1
Hans Werner Meuer,1
Ralf Steinmetz,9
Ralph Niederberger,1
Uwe Hübner,2
Wilhelm Held,1
Adam Wolisz,9
Werner Dirlewanger,1
Andreas Frommer,3
Thomas Lippert,2
Klaus Schilling,3
Walter F. Tichy,4
Claudia Linnhoff-Popien,1
Jörg Eberspächer,2
Klaus D. Heidtmann,2
Henning Schulzrinne,15
Kurt Geihs,3
Holger Karl,1
Hartmut König,2
Heinrich J. Stüttgen,2
Vladimir Makarenkov,2
Michael J. Brusco,4
David Banks,2
Michel Wedel,2
Thomas J. Smith,1
Lawrence J. Hubert,1
Phipps Arabie,2
Fionn Murtagh,6
Jean-Pierre Barthélemy,2
Carl Martin Allwood,3
Peter Van den Besselaar,2
Richard Ennals,9
Sally Fincher,5
Volker Wulf,5
Andreas Pfeifer,1
Karamjit S. Gill,1
Taieb Znati,11
A. Martin Wildberger,8
Yue Zhao,8
Manuel Alfonseca,5
Carlos Santa Cruz,1
Charles M. Macal,5
Yong Meng Teo,2
Rassul Ayani,4
John McLeod,8
Suzette McLeod,8
Pietro Camarda,3
Helen D. Karatza,11
David R. C. Hill,2
Alex Aussem,3
Hessam S. Sarjoughian,3
Reuven R. Levary,1
K. R. Subramanian,5
Demetres D. Kouvatsos,3
Miklós Telek,8
Philip A. Wilsey,7
Israel Koren,5
C. Mani Krishna,3
Agostino G. Bruzzone,8
Mohamed Kamel,5
Paul A. Fishwick,5
Andrew P. Sage,3
Jasna Kuljis,5
Ray J. Paul,9
Chaomei Chen,11
Gerald T. Mackulak,5
P. Simin Pulat,1
Mohsen Guizani,9
Sumit Ghosh,7
Wayne J. Davis,1
Jacob Scharcanski,4
Seung Ho Hong,2
Abdella Battou,2
Bilal Khan,2
Tag Gon Kim,2
S. K. Basu,1
Mohammad S. Obaidat,22
Udo W. Pooch,4
Marco Roccetti,3
Michael R. Macedonia,8
David W. Petr,2
Peter J. Smith,2
Bernard P. Zeigler,8
Sonia Fahmy,6
Raj Jain,9
Rohit Goyal,4
Bobby Vandalore,5
Mourad Kara,2
Luca Maria Gambardella,6
Andrea Emilio Rizzoli,3
Petra Funk,1
Shankar M. Venkatesan,1
Ihsan Sabuncuoglu,1
Louis G. Birta,6
Hui-Hsien Chou,2
Wei Huang,4
James A. Reggia,4
Adam Belloum,4
Louis O. Hertzberger,8
Alan D. George,7
Yinong Chen,1
Zoe Doulgeri,5
Sebastiano Pizzutilo,1
Simon J. E. Taylor,2
Srinivasan Ramaswamy,1
Azzedine Boukerche,11
Pieter J. Mosterman,2
Gautam Biswas,6
Ming-Tang Lin,1
Chungnan Lee,1
Tainchi Lu,1
Cem Ersoy,4
Francesco Potorti,3
Armin R. Mikler,2
Qing Yu,1
Doan B. Hoang,2
Granino A. Korn,2
Hussein T. Mouftah,5
Marco Ajmone Marsan,12
Andrea Bianco,5
Renato Lo Cigno,6
Maurizio M. Munafò,3
Mario Baldi,1
Georgios I. Papadimitriou,15
Andreas S. Pomportsis,15
Weiping Zhu 0001,2
Patrick Sénac,1
Michel Diaz,4
Bharat K. Bhargava,8
Pietro Marchisio,1
Francis K. H. Quek,3
Ahmed H. Tewfik,5
Cécile Roisin,3
Theodora A. Varvarigou,3
Kian-Lee Tan,8
Beng Chin Ooi,6
Ali R. Hurson,5
Mohsen Kavehrad,11
Loong Fah Cheong,3
Ahmed Karmouch,3
Jean-Luc Gauvain,5
Lori Lamel,7
Gilles Adda,3
Tat-Seng Chua,7
Abdou Youssef,2
Arbee L. P. Chen,13
Shayan Farahvash,3
Ruben Gonzalez,1
Rogério Ferreira Rodrigues,1
Luiz Fernando Gomes Soares,2
Klara Nahrstedt,18
Upkar Varshney,10
Babak Hamidzadeh,2
Tsun-Ping J. To,1
Raj Acharya,2
Ahmed K. Elmagarmid,10
Shivkumar Kalyanaraman,7
Francesca Arcelli Fontana,4
Massimo De Santo,2
Patrick Martin 0001,2
Harry W. Agius,2
Marios C. Angelides,2
Charu C. Aggarwal,13
Joel L. Wolf,6
Philip S. Yu,19
Masao Sakauchi,3
Vicente Casares Giner,7
Francisco Garcia,1
David Hutchison,4
Soon Myoung Chung,4
Carlo Colombo,2
Alberto Del Bimbo,10
Pietro Pala,4
B. Prabhakaran,2
Min-You Wu,6
Wei Shu,7
Rainer Lienhart,6
Wolfgang Effelsberg,3
Marco Conti,9
Enrico Gregori,7
A. Aydin Alatan,1
Ali N. Akansu,4
Wayne H. Wolf,13
José L. Marroquín,8
Anne H. H. Ngu,2
John Shepherd,1
Chabane Djeraba,3
Cheng Hian Goh,2
Leana Golubchik,9
John C. S. Lui,10
Robert Simon,5
Arun K. Sood,3
Tai-Sheng Chang,1
David Hung-Chang Du,4
Jenwei Hsieh,1
Yuewei Wang,1
William I. Grosky,5
Baback Moghaddam,4
Marcel Worring,5
Arnold W. M. Smeulders,9
Harald Kosch,3
Lionel Brunie,2
Songwu Lu,4
Vaduvur Bharghavan,6
Jaideep Srivastava,7
Raouf Boutaba,7
Alberto Leon-Garcia,5
Borko Furht,1
David K. Y. Yau,3
Riccardo Leonardi,2
Christos Bouras,3
Shashi Phoha,4
Jordi Vitrià,3
Sanghoon Sull,1
Samuel Moon-Ho Song,1
Rosalind W. Picard,5
Peter Triantafillou,4
A. L. Narasimha Reddy,4
Robert A. Zawacki,1
Fritz H. Grupe,4
Paul Gray,8
Dien D. Phan,3
Steven R. Gordon,2
Mitsuru Kodama,4
John van den Hoven,4
Dawna Travis Dewire,8
Hugh J. Watson,8
Charles E. Downing,2
John P. Murray,2
Janice C. Sipior,5
Burke T. Ward,1
H. Joseph Wen,6
Lei-da Chen,3
G. Roland Kaye,1
Joseph Sarkis,5
Dana Edberg,1
Merrill Warkentin,4
Ruud van Damme,2
Tim N. T. Goodman,3
Marie-Laurence Mazure,4
David L. Donoho,5
Marian Neamtu,1
Yunkang Liu,1
Gerlind Plonka,2
Franz Peherstorfer,2
Francisco Marcellán,6
Konstantin Yu. Osipenko,1
Gary D. Knott,1
Francis J. Narcowich,4
Robert Schaback,4
Joseph D. Ward,4
Horst Alzer,1
Yuan Xu,5
Bin Han 0003,2
Annie A. M. Cuyt,5
Gerd Herzog,1
Stefano Serra Capizzano,4
Peter Mathé,4
Sergei V. Pereverzev,5
Ilia Krasikov,3
Frank Deutsch,1
Rembert Reemtsen,1
Miguel López-Díaz,3
Yang Wang 0020,3
Jonathan M. Borwein,4
Karlheinz Gröchenig,2
Fuhua Cheng,5
Vladimir Maz'ya,1
Deren Li,2
Xiaodong Zhang,2
Hui Lin 0002,3
Wei Lu,2
Yukio Kosugi,2
Zhilin Li,6
Peng Gong,3
F. Benjamin Zhan,1
Wenzhong Shi,3
Friedrich W. Hesse,1
Simon Buckingham Shum,2
Tamara Sumner,4
Carol Tenopir,1
Donald W. King,5
Sally Morris,1
David Pullinger,1
Fytton Rowland,3
David Goodman,1
Andrew M. Odlyzko,3
Henry S. Rzepa,7
Peter Murray-Rust,5
David Taylor,2
John Fowler,1
Clifford A. Lynch,4
Eugene C. Freuder,3
Özalp Babaoglu,3
Jiming Liu 0001,15
Qiang Yang 0001,9
Xindong Wu 0001,3
George Hripcsak,6
William W. Stead,4
William R. Hersh,10
Samson W. Tu,4
Mark A. Musen,5
J. Marc Overhage,5
William M. Tierney,2
Clement J. McDonald,2
Steven Shea,2
Gilad J. Kuperman,1
Julie M. Fiskio,2
David W. Bates,9
Benoit M. Dawant,3
Prakash M. Nadkarni,6
Patricia Flatley Brennan,6
Edward H. Shortliffe,7
Leslie A. Lenert,2
Arthur H. M. ter Hofstede,6
Michael F. McNitt-Gray,2
Jonathan G. Goldin,2
Alfonso F. Cardenas,1
Denise R. Aberle,2
Perry L. Miller,10
Luis N. Marenco,2
Gordon M. Shepherd,2
John C. Fiala,1
Stephen T. C. Wong,3
Martin Frické,2
Suzanne Bakken,12
James J. Cimino,10
Vimla L. Patel,14
Randolph A. Miller,2
Rita D. Zielstorff,1
Daniel R. Masys,3
Charles P. Friedman,4
Judy G. Ozbolt,1
Charles H. Anderson,4
John R. Clarke,1
Bonnie L. Webber,4
Jiajie Zhang,3
Paul N. Gorman,3
Robert A. Greenes,7
R. Brian Haynes,1
Paul C. Tang,3
Lawrence M. Fagan,2
Peter J. Haug,2
James G. Anderson,4
Hinrich Schütze,2
Russ B. Altman,8
Soumitra Sengupta,1
Francesco Pinciroli,3
Cynthia Brandt,4
Kathleen R. McKeown,6
Steven K. Feiner,1
Vasileios Hatzivassiloglou,4
Christian Lovis,1
Robert H. Baud,3
Nancy Staggers,1
Betsy L. Humphreys,3
Joachim Dudeck,5
Charles Safran,4
Stephen B. Johnson,2
Carol Friedman,5
Smadar Shiffman,1
Richard N. Shiffman,1
Yan Xiao,1
Michael G. Kahn,1
Lucila Ohno-Machado,10
Jonathan M. Teich,1
Colin F. Mackenzie,1
Reed M. Gardner,1
Victor Peel,1
Yuval Shahar,1
José F. Arocha,6
David R. Kaufman,2
Peter W. Moorman,1
Johan van der Lei,2
Richard M. Satava,1
Ronald L. Arenson,2
Cornelius Rosse,2
James F. Brinkley,1
John R. Svirbely,1
Jack W. Smith,2
Dean F. Sittig,3
Parvati Dev,1
Kenneth J. Waldron,1
Donald A. B. Lindberg,1
David H. Hickam,1
Michael Cohen,1
Thomas B. Sheridan,6
Isaac S. Kohane,9
Alan L. Rector,2
Arthur W. Toga,5
Alan C. Evans,2
Karl Zilles,1
G. Bruce Pike,1
D. Louis Collins,1
Paul M. Thompson,4
Kenneth P. Smith,1
Mark A. Shifman,1
Roland Chen,1
Michel Dojat,1
Sang-goo Lee,1
Michael P. Barnett,1
William Y. Sit,1
Jan Verschelde,3
Gene Cooperman,2
Daniel Lazard,1
Joachim von zur Gathen,3
Tateaki Sasaki,1
Antonio Montes,3
Robert M. Corless,3
Bruno Buchberger,2
Ian Gladwell,1
W. John Wilbur,5
Alain Hénaut,3
Steffen Möller,3
Michael Schroeder 0001,7
Rolf Apweiler,17
Mati Karelson,11
Alessandra Larizza,1
Wojciech Makalowski,1
Graziano Pesole,4
Cecilia Saccone,3
Paul G. Mezey,1
Kiyoshi Hasegawa,2
Kimito Funatsu,2
Jan Gorodkin,4
Søren Brunak,4
David R. Westhead,2
L. T. Fan,1
Ferenc Friedler,1
René Bañares-Alcántara,3
Ruisheng Zhang,4
Mancang Liu,4
Zhide Hu,6
Bo Tao Fan,7
Tom E. Simos,8
Paul Stefan Williams,2
Dieter Britz,4
Andrzej J. Goraczko,1
Dezhao Chen,2
Sandi Klavzar,12
Aleksander Vesel,3
Ivan Gutman,7
Terry Gaasterland,2
Jean-Loup Risler,3
Lu Xu,3
Gordon G. Cash,5
Thy-Hou Lin,3
François Rechenmann,1
Bhaskar D. Kulkarni,1
Doug A. Bowman,7
David R. Gilbert,6
Janet M. Thornton,4
Andrzej K. Konopka,4
Graham J. L. Kemp,3
P. C. Chen,2
Ole Østerby,1
Jure Zupan,3
Laurence Leherte,2
Daniel P. Vercauteren,2
Jaap Heringa,3
Marcel Turcotte,2
Stephen Muggleton,6
Michael J. E. Sternberg,3
X. Chen,4
Darryn E. Bryant,12
Stephen Wilson,1
David Moncrieff,1
Anders Krogh,1
Hongqing Cao,1
Lishan Kang,4
Jun Cao,1
William Kile Glunt,2
Tom L. Hayden,2
Kurt Varmuza,1
Shushen Liu,1
Jorge A. O. Bruno,1
Alicia Batana,1
Terri K. Attwood,8
Wentian Li,2
Pedro Bernaola-Galván,1
Serge A. Hazout,3
Rajani R. Joshi,1
Mireille Régnier,1
James W. Fickett,2
Leslaw K. Bieniasz,2
Ru-Qin Yu,3
Sean B. Holden,1
J. C. Wu,1
Robert B. France,1
Bernhard Rumpe,2
Lionel C. Briand,8
Kenneth Baclawski,2
Mieczyslaw M. Kokar,3
Michael Jackson 0001,2
Grady Booch,2
Martin Gogolla,1
Ruurd Kuiper,1
Andreas L. Opdahl,7
Brian Henderson-Sellers,9
H.-S. Jacob Tsao,2
David E. Boyce,2
Randolph W. Hall,6
Jianping Wu,4
James V. Krogmeier,3
Daniel Bienstock,2
M. J. D. Powell,1
Lisa Fleischer,5
Nikolaos V. Sahinidis,4
Satoru Fujishige,5
Satoru Iwata 0001,8
Nicholas I. M. Gould,4
Annick Sartenaer,3
Philippe L. Toint,5
Lázaro Cánovas,3
Alfredo Marín,3
V. Jeyakumar,2
Dinh The Luc,3
Kaisa Miettinen,3
Marko M. Mäkelä,3
Dan Rosen,1
Hiroshi Konno,4
Pierre Chardaire,2
Denis Naddef,3
Stefan Thienel,2
Andreas Fischer 0004,2
Alexander Schrijver,4
David Avis,4
Yehuda Vardi,1
Alper Atamtürk,5
Defeng Sun,5
Robert S. Womersley,2
Houduo Qi,4
François Vanderbeck,2
Stephen J. Wright,7
Florian A. Potra,3
Martine Labbé,7
Donald Goldfarb,2
Kurt M. Anstreicher,5
Yves Pochet,3
Laurence A. Wolsey,9
Hanif D. Sherali,12
Stefan S. Dantchev,2
Adrian S. Lewis,5
Reha H. Tütüncü,2
Yinyu Ye,8
Garth P. McCormick,1
