source,target,prediction
Noga Alon,Ravi Kannan,P
Noga Alon,Marek Karpinski,P
Wenceslas Fernandez de la Vega,Ravi Kannan,P
Ravi Kannan,Marek Karpinski,P
Peter Bro Miltersen,V. Vinay,P
Pavol Duris,Stasys Jukna,P
Pavol Duris,Martin Sauerhoff,P
Juraj Hromkovic,Stasys Jukna,P
Juraj Hromkovic,Martin Sauerhoff,P
Stasys Jukna,Martin Sauerhoff,P
Martin Sauerhoff,Georg Schnitger,P
Beate Bollig,Stephan Waack,P
Oded Goldreich 0001,Luca Trevisan,P
Oded Goldreich 0001,Yishay Mansour,P
Dalit Naor,Moni Naor,P
Eli Ben-Sasson,Nicola Galesi,P
Petr Savický,Detlef Sieling,P
Henning Fernau,Rolf Niedermeier,P
Daniele Micciancio,Erez Petrank,P
Amnon Ta-Shma,Shmuel Safra,P
David Zuckerman,Shmuel Safra,P
Piotr Berman,Amir Ben-Dor,P
Piotr Berman,Itsik Pe'er,P
Piotr Berman,Ron Shamir,P
Amir Ben-Dor,Itsik Pe'er,P
Ran Canetti,Joe Kilian,P
Ran Canetti,Erez Petrank,P
Jan Johannsen,Toniann Pitassi,P
Jan Johannsen,Alasdair Urquhart,P
Lars Engebretsen,Alexander Russell,P
Oded Goldreich 0001,Howard J. Karloff,P
Oded Goldreich 0001,Leonard J. Schulman,P
Howard J. Karloff,Leonard J. Schulman,P
Howard J. Karloff,Luca Trevisan,P
Leonard J. Schulman,Luca Trevisan,P
Chris Pollett,Farid M. Ablayev,P
Chris Pollett,Cristopher Moore,P
Farid M. Ablayev,Cristopher Moore,P
Michael E. Whitman,Catherine M. Beise,P
Rosemary H. Wild,Eldon Y. Li,P
Mark I. Hwang,James J. Cappel,P
Randall S. Sexton,John W. Satzinger,P
Sherry D. Ryan,Victor R. Prybutok,P
Cynthia K. Riemenschneider,Bill C. Hardgrave,P
Parag C. Pendharkar,Girish H. Subramanian,P
Eldon Y. Li,Houn-Gee Chen,P
Chee-Fai Yung,Hsin-Teng Sheu,P
S. Sitharama Iyengar,Krishnendu Chakrabarty,P
Christopher I. Byrnes,Xiaoming Hu,P
Christopher I. Byrnes,Clyde F. Martin,P
Bin Jiang,Jian Liang Wang,P
Maurice F. Aburdene,Rabinder N. Madan,P
Sandeep Purao,Matti Rossi,P
Sue Cobb,Steve Benford,P
Sue Cobb,Gail Reynard,P
Steve Benford,John R. Wilson,P
Gail Reynard,John R. Wilson,P
Rainer Steinwandt,Thomas Beth,P
Alexander Roßnagel,Andreas Pfitzmann,P
Alexander Roßnagel,Hans-Jürgen Garstka,P
Andreas Pfitzmann,Hans-Jürgen Garstka,P
Dirk Fox,Christoph Thiel,P
Andreas Bertsch,Dirk Fox,P
Helmut Bäumler,Marie-Theres Tinnefeld,P
Johann Bizer,Rüdiger Grimm,P
Richard G. McDaniel,Pedro A. Szekely,P
Richard G. McDaniel,Dario A. Giuse,P
Sandro Etalle,Maria Chiara Meo,P
Kathryn S. McKinley,J. Eliot B. Moss,P
Sophia Drossopoulou,Mariangiola Dezani-Ciancaglini,P
Sophia Drossopoulou,Paola Giannini,P
Gopal Gupta,Khayri A. M. Ali,P
Enrico Pontelli,Khayri A. M. Ali,P
Khayri A. M. Ali,Manuel V. Hermenegildo,P
K. Rustan M. Leino,Greg Nelson,P
Benjamin C. Pierce,Philip Wadler,P
Krishna V. Palem,Amir Pnueli,P
Kathleen Fisher,Benjamin C. Pierce,P
Frank Tip,Chris Laffra,P
Andrew W. Appel,David A. McAllester,P
Christopher League,Zhong Shao,P
Christopher League,Valery Trifonov,P
Zhong Shao,Valery Trifonov,P
Chris Eliasmith,Paul Thagard,P
Gert Rickheit,Helge J. Ritter,P
Todd R. Johnson,Josef Krems,P
Christian H. Bischof,Torsten W. Kuhlen,P
Andreas Frommer,Thomas Lippert,P
Andreas Frommer,Klaus Schilling,P
Andreas Frommer,Walter F. Tichy,P
Thomas Lippert,Walter F. Tichy,P
Klaus Schilling,Walter F. Tichy,P
Adam Wolisz,Holger Karl,P
Manuel Alfonseca,Carlos Santa Cruz,P
Yong Meng Teo,Rassul Ayani,P
Jasna Kuljis,Chaomei Chen,P
Ray J. Paul,Chaomei Chen,P
Mohsen Guizani,Taieb Znati,P
Luca Maria Gambardella,Petra Funk,P
Andrea Emilio Rizzoli,Petra Funk,P
Bernard P. Zeigler,Shankar M. Venkatesan,P
Hui-Hsien Chou,Wei Huang,P
Wei Huang,James A. Reggia,P
Qing Yu,Doan B. Hoang,P
Marco Ajmone Marsan,Mario Baldi,P
Andrea Bianco,Mario Baldi,P
Renato Lo Cigno,Mario Baldi,P
Maurizio M. Munafò,Mario Baldi,P
Francesca Arcelli Fontana,Massimo De Santo,P
Patrick Martin 0001,Hussein T. Mouftah,P
A. Aydin Alatan,Wayne H. Wolf,P
Ali N. Akansu,Wayne H. Wolf,P
José L. Marroquín,Gonzalo Navarro,P
Tat-Seng Chua,Cheng Hian Goh,P
Robert Simon,Arun K. Sood,P
David K. Y. Yau,Bharat K. Bhargava,P
Ahmed Karmouch,Tat-Seng Chua,P
Dana Edberg,Fritz H. Grupe,P
Tim N. T. Goodman,Marie-Laurence Mazure,P
Francis J. Narcowich,Robert Schaback,P
Robert Schaback,Joseph D. Ward,P
Peter Mathé,Sergei V. Pereverzev,P
Xiaodong Zhang,Deren Li,P
Wei Lu,Yukio Kosugi,P
Simon Buckingham Shum,Tamara Sumner,P
Steven Shea,George Hripcsak,P
Michael F. McNitt-Gray,Alfonso F. Cardenas,P
Jonathan G. Goldin,Alfonso F. Cardenas,P
Leslie A. Lenert,Suzanne Bakken,P
J. Marc Overhage,Randolph A. Miller,P
J. Marc Overhage,Rita D. Zielstorff,P
J. Marc Overhage,William R. Hersh,P
Randolph A. Miller,Rita D. Zielstorff,P
Rita D. Zielstorff,William R. Hersh,P
Charles P. Friedman,Judy G. Ozbolt,P
Charles P. Friedman,Daniel R. Masys,P
Jiajie Zhang,Vimla L. Patel,P
Jiajie Zhang,Todd R. Johnson,P
Vimla L. Patel,Todd R. Johnson,P
Paul N. Gorman,Robert A. Greenes,P
Paul N. Gorman,R. Brian Haynes,P
Paul N. Gorman,Paul C. Tang,P
Robert A. Greenes,R. Brian Haynes,P
Robert A. Greenes,Paul C. Tang,P
R. Brian Haynes,Paul C. Tang,P
Hinrich Schütze,Russ B. Altman,P
George Hripcsak,Soumitra Sengupta,P
Soumitra Sengupta,Steven Shea,P
Kathleen R. McKeown,Steven K. Feiner,P
Steven K. Feiner,Vasileios Hatzivassiloglou,P
J. Marc Overhage,Betsy L. Humphreys,P
Richard N. Shiffman,Patricia Flatley Brennan,P
Jonathan M. Teich,Colin F. Mackenzie,P
Patricia Flatley Brennan,Charles P. Friedman,P
Patricia Flatley Brennan,Victor Peel,P
Charles P. Friedman,Victor Peel,P
Lawrence M. Fagan,Richard M. Satava,P
Stephen T. C. Wong,Ronald L. Arenson,P
Parvati Dev,Kenneth J. Waldron,P
William R. Hersh,Charles P. Friedman,P
David H. Hickam,Charles P. Friedman,P
David W. Bates,Michael Cohen,P
David W. Bates,J. Marc Overhage,P
David W. Bates,Thomas B. Sheridan,P
Michael Cohen,J. Marc Overhage,P
Michael Cohen,Thomas B. Sheridan,P
J. Marc Overhage,Thomas B. Sheridan,P
Arthur W. Toga,Alan C. Evans,P
Arthur W. Toga,Karl Zilles,P
Arthur W. Toga,G. Bruce Pike,P
Arthur W. Toga,D. Louis Collins,P
Arthur W. Toga,Kenneth P. Smith,P
Alan C. Evans,Karl Zilles,P
Alan C. Evans,Paul M. Thompson,P
Alan C. Evans,Kenneth P. Smith,P
Karl Zilles,G. Bruce Pike,P
Karl Zilles,D. Louis Collins,P
Karl Zilles,Paul M. Thompson,P
Karl Zilles,Kenneth P. Smith,P
G. Bruce Pike,D. Louis Collins,P
G. Bruce Pike,Paul M. Thompson,P
G. Bruce Pike,Kenneth P. Smith,P
D. Louis Collins,Paul M. Thompson,P
D. Louis Collins,Kenneth P. Smith,P
Paul M. Thompson,Kenneth P. Smith,P
Roland Chen,Cynthia Brandt,P
Steffen Möller,Michael Schroeder 0001,P
Michael Schroeder 0001,Rolf Apweiler,P
Ruisheng Zhang,Bo Tao Fan,P
Mancang Liu,Bo Tao Fan,P
Aleksander Vesel,Ivan Gutman,P
Jure Zupan,Laurence Leherte,P
Jure Zupan,Daniel P. Vercauteren,P
Søren Brunak,Anders Krogh,P
Wentian Li,Pedro Bernaola-Galván,P
Kenneth Baclawski,Mieczyslaw M. Kokar,P
Andreas L. Opdahl,Brian Henderson-Sellers,P
V. Jeyakumar,Dinh The Luc,P
Denis Naddef,Stefan Thienel,P
Defeng Sun,Houduo Qi,P
Robert S. Womersley,Houduo Qi,P
Sanjeev Arora,Alan M. Frieze,P
Sanjeev Arora,Haim Kaplan,P
Alan M. Frieze,Haim Kaplan,P
David Avis,Caterina De Simone,P
David Avis,Paolo Nobili,P
Caterina De Simone,Paolo Nobili,P
Giovanni Rinaldi,Gerhard J. Woeginger,P
Stan P. M. van Hoesel,Robert L. M. J. van de Leensel,P
Stan P. M. van Hoesel,Martin W. P. Savelsbergh,P
Arie M. C. A. Koster,Martin W. P. Savelsbergh,P
Robert L. M. J. van de Leensel,Martin W. P. Savelsbergh,P
Gérard Cornuéjols,Yanjun Li,P
Nelson Maculan,Claudia A. Sagastizábal,P
Stefano Lucidi,Paul Tseng,P
Christoph Helmberg,Krzysztof C. Kiwiel,P
Bingsheng He,Li-Zhi Liao,P
Li-Zhi Liao,Hai Yang,P
Levent Tunçel,Yinyu Ye,P
Andrew R. Conn,F. Bruce Shepherd,P
Ellis L. Johnson,Paolo Nobili,P
Paolo Nobili,Martin W. P. Savelsbergh,P
James V. Burke,Michael L. Overton,P
Paul Tseng,Yinyu Ye,P
Lisa Fleischer,Satoru Iwata 0001,P
Lisa Fleischer,S. Thomas McCormick,P
Oktay Günlük,Yves Pochet,P
Rachida Dssouli,Ferhat Khendek,P
I-Ling Yen,David J. Taylor,P
Farokh B. Bastani,David J. Taylor,P
Maurizio Morisio,Ioannis Stamelos,P
Mary Jean Harrold,Antonia Bertolino,P
Carl A. Gunter,Insup Lee,P
Thomas Ball,Audris Mockus,P
Khaled El Emam,Walcélio L. Melo,P
Khaled El Emam,Hakim Lounis,P
Margaret M. Burnett,Gregg Rothermel,P
Eric Y. T. Juan,Yi Zhou,P
Jeffrey J. P. Tsai,Yi Zhou,P
Wei-Ngan Chin,Joxan Jaffar,P
Sebastian G. Elbaum,Gregg Rothermel,P
Stephen Gilmore,Marina Ribaudo,P
Jane Hillston,Marina Ribaudo,P
David Harel,Orna Kupferman,P
José Carlos Maldonado,Aditya P. Mathur,P
Klaus Havelund,Michael R. Lowry,P
Steven C. Bruell,Matteo Sereno,P
Gail C. Murphy,Kevin J. Sullivan,P
Giuliano Antoniol,Gerardo Canfora,P
Giuliano Antoniol,Andrea De Lucia,P
Gerardo Canfora,Ettore Merlo,P
Andrea De Lucia,Ettore Merlo,P
Balasubramaniam Ramesh,Matthias Jarke,P
Lisa Covi,Mayuram S. Krishnan,P
Lisa Covi,Judith S. Olson,P
Mayuram S. Krishnan,Judith S. Olson,P
Walcélio L. Melo,Jürgen Wüst,P
Jeff Kramer,David Garlan,P
Jeff Kramer,David S. Rosenblum,P
David Garlan,David S. Rosenblum,P
Svend Frølund,Rachid Guerraoui,P
W. Kent Fuchs,Jen-Yao Chung,P
Mayuram S. Krishnan,Dennis Goldenson,P
Gianfranco Ciardo,Boudewijn R. Haverkort,P
Reinhard German,Boudewijn R. Haverkort,P
Mary Jean Harrold,David S. Rosenblum,P
Mary Jean Harrold,Elaine J. Weyuker,P
David S. Rosenblum,Gregg Rothermel,P
Gregg Rothermel,Elaine J. Weyuker,P
Dewayne E. Perry,Adam A. Porter,P
Gruia-Catalin Roman,George Varghese,P
Emilia Rosti,Mark S. Squillante,P
Giuseppe Serazzi,Mark S. Squillante,P
Evgenia Smirni,Mark S. Squillante,P
Martha E. Pollack,Mary Lou Soffa,P
Barbara A. Kitchenham,Khaled El Emam,P
Barbara A. Kitchenham,Jarrett Rosenberg,P
Shari Lawrence Pfleeger,Khaled El Emam,P
Shari Lawrence Pfleeger,Jarrett Rosenberg,P
Lesley Pickard,Khaled El Emam,P
Lesley Pickard,Jarrett Rosenberg,P
Khaled El Emam,Jarrett Rosenberg,P
Stuart G. Stubblebine,Rebecca N. Wright,P
Lutz Prechelt,Lawrence G. Votta,P
Walter F. Tichy,Lawrence G. Votta,P
Raymond A. DeCarlo,Aditya P. Mathur,P
George Pavlou,Nikolaos Anerousis,P
Vijay Varadharajan,Pradeep Ray,P
Yoshimasa Tokuyama,Hiroaki Chiyokura,P
Deok-Soo Kim,Tien-Chien Chang,P
Shi-Min Hu,Chiew-Lan Tai,P
Utpal Roy,Ram D. Sriram,P
Utpal Roy,Kevin W. Lyons,P
Karim Abdel-Malek,Denis Blackmore,P
Sanjeev Bedi,Stephen Mann,P
Shi-Min Hu,Youfu Li,P
Hong Qin,Arie E. Kaufman,P
Ralph R. Martin,Wenping Wang,P
Michael J. Pratt,Kevin W. Lyons,P
Michael J. Pratt,Ram D. Sriram,P
Debasish Dutta,Kevin W. Lyons,P
Debasish Dutta,Ram D. Sriram,P
Mark de Berg,Siu-Wing Cheng,P
Prosenjit Bose,Siu-Wing Cheng,P
Prosenjit Bose,Dan Halperin,P
Prosenjit Bose,Jirí Matousek 0001,P
Prosenjit Bose,Otfried Schwarzkopf,P
Siu-Wing Cheng,Dan Halperin,P
Siu-Wing Cheng,Jirí Matousek 0001,P
Siu-Wing Cheng,Otfried Schwarzkopf,P
Franca Giannini,Flavio Bonfatti,P
Franca Giannini,Paola Daniela Monari,P
Wei Sun,Colin Bradley,P
Gershon Elber,Ehud Rivlin,P
Kuo-Liang Chung,Tony C. Woo,P
Arnaud Doucet,Christian P. Robert,P
Simon J. Godsill,Christian P. Robert,P
Theodore H. Clark,David C. Croson,P
Carrie Beam,J. George Shanthikumar,P
Prabuddha De,Iris Vessey,P
Sridhar Narasimhan,Bin Ran,P
Daniel Robey,Richard J. Welke,P
Craig K. Tyran,Morgan M. Shepherd,P
Rick L. Wilson,Mark Weiser,P
Tridas Mukhopadhyay,Sandra Slaughter,P
Xiaoping Yun,Robert B. McGhee,P
Martin Buehler,John M. Hollerbach,P
Daisuke Kurabayashi,Hayato Kaetsu,P
Daisuke Kurabayashi,Isao Endo,P
Hayato Kaetsu,Tamio Arai,P
Isao Endo,Tamio Arai,P
C. S. George Lee,Junku Yuh,P
Shuichi Ino,Toshiaki Tanaka,P
Tohru Ifukube,Toshiaki Tanaka,P
Toshiaki Tanaka,Takashi Izumi,P
Kohtaro Ohba,Kazuo Tanie,P
Kohtaro Ohba,Takeshi Kaneko,P
Kazuo Tanie,Takeshi Kaneko,P
Brenan J. McCarragher,Shinichi Hirai,P
Tamaki Ura,Yoji Kuroda,P
Masakatsu G. Fujie,Takeyoshi Dohi,P
Byung-Ju Yi,Wan Kyun Chung,P
Il Hong Suh,Wan Kyun Chung,P
Sang-Rok Oh,Wan Kyun Chung,P
Rodney G. Downey,Sebastiaan Terwijn,P
Vasco Brattka,Ning Zhong 0002,P
Peter Hertling,Ning Zhong 0002,P
Arthur W. Apter,Joel David Hamkins,P
Saverio Cittadini,Carlo Toffalori,P
Marco Gori,Klaus Meer,P
Richard A. Shore,Yue Yang,P
Angela Goh,Zhonghua Yang,P
Ning Zhong 0001,Chunnian Liu,P
Chunnian Liu,Setsuo Ohsuga,P
Derek H. Sleeman,Alun D. Preece,P
Flávio S. Corrêa da Silva,David Stuart Robertson,P
Flávio S. Corrêa da Silva,Marcelo Finger,P
Flávio S. Corrêa da Silva,Jaume Agustí-Cullell,P
David Stuart Robertson,Marcelo Finger,P
Marcelo Finger,Jaume Agustí-Cullell,P
Kristian J. Hammond,Lawrence Birnbaum,P
Doug Riecken,David Benyon,P
Doug Riecken,Henry Lieberman,P
David Benyon,Henry Lieberman,P
Paul P. Maglio,Ted Selker,P
Rob Barrett,Ted Selker,P
Norbert Krüger,Gerald Sommer,P
Julia V. Ponomarenko,Tatyana I. Merkulova,P
Claus Rautenstrauch,Rudolf Kruse,P
Dionisis X. Adamopoulos,George Pavlou,P
George Pavlou,Constantine A. Papandreou,P
Arunabha Sen,Bhabani P. Sinha,P
Subir Bandyopadhyay,Bhabani P. Sinha,P
Andreas A. Veglis,Georgios I. Papadimitriou,P
Georgios I. Papadimitriou,Andreas S. Pombortsis,P
Henry L. Owen,John A. Copeland,P
Keith W. Ross,James W. Roberts,P
Jeffrey S. Chase,Amin Vahdat,P
Panagiotis Demestichas,Athanasios V. Vasilakos,P
Michael E. Theologou,Athanasios V. Vasilakos,P
Loren Schwiebert,Le Yi Wang,P
Raffaele Bolla,Nedo Celandroni,P
Raffaele Bolla,Erina Ferro,P
Nedo Celandroni,Franco Davoli,P
Nedo Celandroni,Mario Marchese,P
Franco Davoli,Erina Ferro,P
Erina Ferro,Mario Marchese,P
Chenn-Jung Huang,Wei Kuang Lai,P
Wei Kuang Lai,Chua-Chin Wang,P
Deepak Gupta,Gilles Muller,P
Deepak Gupta,Charles Consel,P
Cheng-Shang Chang,Duan-Shin Lee,P
Emilio Leonardi,Maurizio M. Munafò,P
Maurizio M. Munafò,Fabio Neri,P
Georgios I. Papadimitriou,Mohammad S. Obaidat,P
Mohammad S. Obaidat,Andreas S. Pomportsis,P
Hee Yong Youn,Sajal K. Das,P
Hyunseung Choo,Sajal K. Das,P
Zhengguo Li,Boon-Hee Soong,P
Zhengguo Li,Changyun Wen,P
Boon-Hee Soong,Changyun Wen,P
Sanjoy Paul,Zongming Fei,P
Xiaohua Jia,Ding-Zhu Du,P
Rajib Mall,Indranil Sengupta 0001,P
Amit Singhal,Raj Jain,P
Christos Douligeris,Andreas Pitsillides,P
Christos Douligeris,Daniela Panno,P
Andreas Pitsillides,Daniela Panno,P
Hee Yong Youn,Kilnam Chon,P
Andreas Pitsillides,Constantinos S. Pattichis,P
Andreas Pitsillides,Athanasios V. Vasilakos,P
Constantinos S. Pattichis,Athanasios V. Vasilakos,P
Marios D. Dikaiakos,Athena Stassopoulou,P
Wei Wayne Li,Kia Makki,P
Wei Wayne Li,Niki Pissinou,P
Kevin C. Almeroth,Jörg Nonnenmacher,P
Tee-Hiang Cheng,Sanjay K. Bose,P
Tee-Hiang Cheng,Teck Yoong Chai,P
Vincent K. N. Lau,Yu-Kwong Kwok,P
Siu Cheung Hui,Ing Yann Soon,P
Siu Cheung Hui,Bu-Sung Lee,P
Ing Yann Soon,Bu-Sung Lee,P
Ying-Dar Jason Lin,Ren-Hung Hwang,P
Tetsuo Kinoshita,Glenn Mansfield,P
Tarek F. Abdelzaher,Klara Nahrstedt,P
Dipak Ghosal,Dilip Sarkar,P
Sam H. Noh,Sang Lyul Min,P
Seppo J. Ovaska,Athanasios V. Vasilakos,P
Ilias Iliadis,Daniel Bauer,P
Sophia Tsakiridou,Luis Orozco-Barbosa,P
Alexandros Biliris,Fred Douglis,P
Alexandros Biliris,Michael Rabinovich,P
Alexandros Biliris,Oliver Spatscheck,P
Fred Douglis,Oliver Spatscheck,P
Michael Rabinovich,Oliver Spatscheck,P
Wei-Ying Ma,Bo Shen,P
Marwan Krunz,Spyros Tragoudas,P
Roy H. Campbell,Klara Nahrstedt,P
Yuh-Shyan Chen,Tzung-Shi Chen,P
Chung-Hsien Wu,Cheng-Wen Wu,P
Frank Yeong-Sung Lin,Ming-Bo Lin,P
Frank Yeong-Sung Lin,Deron Liang,P
Ming-Bo Lin,Deron Liang,P
Kuei-Ping Shih,Yu-Chee Tseng,P
Hao-Ren Ke,Zen-Chung Shih,P
William C. Chu,Yeh-Ching Chung,P
Hung-Min Sun,Chi-Sung Laih,P
David Gefen,Bay Arinze,P
Vivek Choudhury,Charles J. Kacmar,P
Antonio di Nola,Vincenzo Loia,P
Philippe Fortemps,Roman Slowinski,P
Michel Grabisch,Jacques Duchêne,P
Armando Blanco,José L. Verdegay,P
Johannes Wallner,Takis Sakkalis,P
Johannes Wallner,Takashi Maekawa,P
Takis Sakkalis,Helmut Pottmann,P
Takashi Maekawa,Helmut Pottmann,P
Isao Horiba,Noboru Sugie,P
Alberto Broggi,Petros A. Ioannou,P
Krzysztof Giaro,Konrad Piwakowski,P
Jukka Saarinen,Pauli Kuosmanen,P
Haitao Jiang,Ioannis P. Vlahavas,P
Haitao Jiang,Elias N. Houstis,P
Haitao Jiang,Walid G. Aref,P
Ioannis P. Vlahavas,Elias N. Houstis,P
Ioannis P. Vlahavas,Walid G. Aref,P
Ahmed K. Elmagarmid,Walid G. Aref,P
Elias N. Houstis,Walid G. Aref,P
Andrew P. Black,Jie Huang,P
Andrew P. Black,Calton Pu,P
Jie Huang,Jonathan Walpole,P
Jie Huang,Calton Pu,P
Lixin Gao,James F. Kurose,P
Lixin Gao,Donald F. Towsley,P
Stefano Ferrari,Vincenzo Piuri,P
N. Alberto Borghese,Vincenzo Piuri,P
Emil M. Petriu,Nicolas D. Georganas,P
Emil M. Petriu,Dorina C. Petriu,P
Nicolas D. Georganas,Dorina C. Petriu,P
Yasuhiro Nakamura,Masakazu Nakanishi,P
Héctor Laiz,Umberto Pogliano,P
Emil M. Petriu,Wen-Ben Jone,P
Wen-Ben Jone,Krishnendu Chakrabarty,P
Henri E. Bal,Frans C. A. Groen,P
Tao Zhang,Steven R. LeClair,P
Fabrizio Lombardi,Vincenzo Piuri,P
Rajeev Sharma,Rangachar Kasturi,P
Blaise Jeanneret,Charles J. Burroughs Jr.,P
Pasquale Arpaia,Domenico Grimaldi,P
Piotr S. Filipski,Manfred Klonz,P
Paolo Carbone,Giovanni Chiorboli,P
Salvatore Baglio,Giovanni Muscato,P
Adriaan van den Bos,Dirk Van Dyck,P
Wen-Ben Jone,Chingwei Yeh,P
Chingwei Yeh,Sunil R. Das,P
Lei Wang,Kenzo Watanabe,P
Gerard N. Stenbakken,Janusz A. Starzyk,P
Clark A. Hamilton,Blaise Jeanneret,P
Scott A. Mahlke,Robert Schreiber,P
Michael S. Schlansker,Robert Schreiber,P
Taewhan Kim,Sung-Mo Kang,P
C. L. Liu 0001,Sung-Mo Kang,P
Dimitris Nikolos,Spyros Tragoudas,P
André Ivanov,Michel Renovell,P
André Ivanov,Yves Bertrand,P
Jordi Cortadella,Steven M. Burns,P
Michael Kishinevsky,Steven M. Burns,P
Steven M. Burns,Alex Kondratyev,P
Steven M. Burns,Luciano Lavagno,P
Steven M. Burns,Alexander Taubin,P
Steven M. Burns,Alexandre Yakovlev,P
Alexander Taubin,Alexandre Yakovlev,P
Jinsoo Kim,Hong-Shick Min,P
Sandeep K. Gupta,Abhijit Chatterjee,P
Indradeep Ghosh,Masahiro Fujita,P
Carl Pixley,Robert K. Brayton,P
Sachin S. Sapatnekar,Keshab K. Parhi,P
Charles J. Alpert,José Luis Neves,P
Charles J. Alpert,Sachin S. Sapatnekar,P
José Luis Neves,Sachin S. Sapatnekar,P
Kurt Keutzer,Chenming Hu,P
Ramesh Karri,Israel Koren,P
Rolf Drechsler,Fabio Somenzi,P
Wolfgang Günther 0001,Fabio Somenzi,P
Kaushik Roy 0001,Cheng-Kok Koh,P
Wray L. Buntine,A. Richard Newton,P
Karem A. Sakallah,John P. Hayes,P
