source,target,prediction
Chi-Ying Tsui,John Shalf,N
Jelica Protic,Roy H. Campbell,N
Peter Che Bor Lam,Géza Tóth,N
Richard J. Nowakowski,Jothiram Vivekanandan,N
Amos Bairoch,Fabrizio Riguzzi,N
C. F. M. Vermeulen,Steven McCanne,N
Dit-Yan Yeung,Leon Cohen,N
Graeme M. Clark,Koji Yamamoto,N
Zhou-Tian Fan,Valery A. Ugrinovskii,N
Kumar N. Sivarajan,Richard B. Tan,N
David G. Wagner,Shai Ben-David,N
Vicente Ruiz de Angulo,Néstor Parga,N
Zigang Pan,Nava Pliskin,N
Bor Plestenjak,Jozef Bucko,N
David Klappholz,Christoph Pflaum,N
Diane Rowland,Luigi R. Ceci,N
Christopher D. Shaw,Richard H. Carver,N
Michel Gilloux,Germán Vidal,N
Rezaul Alam Chowdhury,Seung Ryoul Maeng,N
V. Michele Abrusci,Siegfried M. Rump,N
Evan L. Porteus,Christian Landrault,N
Da Ruan 0001,Barrett S. Caldwell,N
Ole Jakob Sørdalen,Joy Morris,N
Ming Ma,Uri Zwick,N
J. I. Estévez,Lars Kai Hansen,N
Z. Li,Arthur T. Benjamin,N
Agata Ciabattoni,Maurizio Lenzerini,N
Shigeru Tanaka,Carmen Coll,N
Branka Vucetic,Jai-Yong Lee,N
Carlos Balaguer,Giorgio Romanin-Jacur,N
H. Narayanan,Pinar Heggernes,N
Thomas Brinkhoff,David W. L. Wang,N
Gadiel Seroussi,Riccardo Zoppoli,N
Krishnaswami Alladi,Feng Ming Dong,N
Hiroshi Imai,Donald Firesmith,N
David A. Sanders,Kenichi Abe,N
Sally A. McKee,Hiroshi Ishiguro,N
Hong Zhu,Yehuda Roditty,N
George Rahonis,John Levine,N
Maria Dolores Gil Montoya,Andrew S. Patrick,N
Jack Sklansky,Joseph S. B. Mitchell,N
Luciano Lavagno,Guntram Scheithauer,N
James Glimm,José Manuel Cadenas,N
Kaisa Miettinen,Aurora Morgana,N
Francesco Lo Presti,Amir F. Atiya,N
Sajjad Zahir,Donna Crystal Llewellyn,N
Stef Tijs,Gordon Kurtenbach,N
Jason E. Robbins,François V. Louveaux,N
Rens Scheepers,T. H. Tse,N
Anna Esposito,Heidi Steendam,N
Ahmed Mehaoua,Maurice Nivat,N
Chung-Len Lee,Jon W. Mark,N
Shai Ben-David,Wolfgang Heidrich,N
Shaowei Xia,Jim Melton,N
David Wallace,Heike Faßbender,N
Takehiro Inohara,Earl Glen Whitehead Jr.,N
José Júlio Alferes,Siau-Cheng Khoo,N
Daniel J. Power,George W. Hart,N
Padma Raghavan,Kam S. Tso,N
Danai Patiyoot,Alberto Zanardo,N
Takayuki Yamada,Kung-Hau Ding,N
Enno Ohlebusch,Alain Prodon,N
Ethan V. Munson,Lawrence Chung,N
Kwang-Moo Choe,Anna Formica,N
Teresa Bernarda Ludermir,Abdelhak M. Zoubir,N
John J. Metzner,Jesús M. Carnicer,N
John C. Platt,Peter M. Higgins,N
Vladimir V. V'yugin,Nikolay A. Kolchanov,N
Nadia Nedjah,Mark Smith,N
Dexter Kozen,Heinz G. Göckler,N
José Manuel Zarzuelo,Patrik Faltstrom,N
Bennett L. Fox,Daniel P. Miranker,N
Alex Pothen,Jaakko Hintikka,N
Hiroshi Harashima,Christoph Zetzsche,N
Dale L. Schuler,Wei-Bin Lee,N
F. K. Hwang,G. F. Newell,N
Xueyin Lin,Ned Kock,N
Tamara Lakins Hummel,Petra Schubert,N
Edward M. Reingold,James V. Stone,N
George Johnson,Carlos Areces,N
Jindrich Zapletal,Athanassios Tzouvaras,N
Ted Hardie,Eva K. Lee,N
Ewa Pietka,Colm Ó'Dúnlaing,N
Mao-Chao Lin,C.-J. Richard Shi,N
Arnold Reusken,Takao Kobayashi,N
Richard Hofmann,Gregory W. Wornell,N
Michal Karonski,Laurent Hardouin,N
Johann Haller,Milind Dawande,N
Richard P. Lewis 0001,Juris Steprans,N
Guo-Can Feng,Marwan Bikdash,N
Mary Shapcott,David K. Y. Chiu,N
Per Ola Börjesson,Paul Miller,N
Nigel Ford,Lain-Chyr Hwang,N
John E. McInroy,Ronald J. Brachman,N
Shin-Ting Wu,Yuguang Fang,N
Dieter van Melkebeek,Eduardo Alonso,N
Maarten van Steen,Peter C. Y. Chen,N
Pier Luigi Bellon,Krishnan Balachandran,N
Yousong Mei,Carrie Beam,N
Neeran M. Karnik,Francesco Pinciroli,N
Atsushi Nishikawa,Andreas Hamfelt,N
Fabio Salice,Kwok-Yan Lam,N
Marco Buratti,Lee-Chae Jang,N
Quentin L. Burrell,Dick den Hertog,N
Kin Chuen Hui,William McCuaig,N
Philip A. Chou,James R. Zeidler,N
Marco Mattavelli,Satoshi Nakamura 0001,N
Sheng Yu,Jürgen Reinhold,N
Moshe Yitzhaki,Sandeep Chennakeshu,N
Ioan Tabus,Bert Jüttler,N
Anthony A. Maciejewski,Sergo Shavgulidze,N
Jean-Paul Bodeveix,Giora Slutzki,N
Robert J. Cimikowski,Robin Cohen,N
Shoji Kawahito,Timothy J. Long,N
Susanne C. Brenner,David McSherry,N
Peter Ingwersen,Daniel Cunliffe,N
K. M. M. Prabhu,Yeng Chai Soh,N
David Lee,Jan Paredaens,N
Klaus D. Müller-Glaser,Gregory E. Kersten,N
Jonas Kvarnström,Jan A. Van Mieghem,N
P. Patrick van der Smagt,Michael C. Laskowski,N
Graham D. Finlayson,Jannick P. Rolland,N
Diego Klabjan,Thambipillai Srikanthan,N
Roy T. Fielding,Willy Govaerts,N
Gérard Duchamp,Shengyuan Xu,N
Giorgio Bartolini,G. Bard Ermentrout,N
Clifford Stein,Hazem M. Abbas,N
Rino Falcone,Hassane Alla,N
Eibe Frank,Ishay Kamon,N
Serge Fdida,Jiannong Cao,N
Onur Toker,K. T. Lau,N
David J. Willshaw,José Oncina,N
Marc Stamminger,Paul H. Calamai,N
José Penadés,Jeff W. Sanders,N
Bernd Borchert,Robert Babuska,N
Mark Ainsworth,Maurice Borgeaud,N
Mark Smith,Joseph E. Flaherty,N
Theodore Johnson,Aditya Ghose,N
Keijo Ruohonen,Dimitri Leemans,N
Kurt Rothermel,Alexey L. Lastovetsky,N
Sandra J. Frawley,Jane Hillston,N
Armin R. Mikler,Lowell W. Beineke,N
Christos H. Papadimitriou,Michael L. Nelson,N
Helen Gustafson,Jing-Ho Yan,N
A. Th. Schreiber,Albert N. Badre,N
Shinsuke Hara,Maria Luisa Sapino,N
Frans Coenen,Dieter Baum,N
Nicola Mazzocca,Sarma R. Nidumolu,N
Jianqiang Yi,James P. Crutchfield,N
Richard M. Burton,Esteban Feuerstein,N
Loet Leydesdorff,Peter D. Johnson Jr.,N
Bernd Fischer 0001,Ken D. Sauer,N
Vladimir Estivill-Castro,Gene Tsudik,N
María Elena Aguilar-Jáuregui,Yazid M. Sharaiha,N
Aníbal Ollero,A. Lee Swindlehurst,N
John P. Walsh,Chinthananda Tellambura,N
Jules Desharnais,Stephen Wilson,N
Raj Jain,Sunggu Lee,N
Darren B. Ward,Asoke K. Nandi,N
Adam Belloum,Andrew Zisserman,N
Jörg Eberspächer,James F. Blowey,N
Ramesh Kolluru,Vasco Brattka,N
Miodrag J. Mihaljevic,M. Manzur Murshed,N
Heinz H. Bauschke,Masaru Ishida,N
Mila E. Majster-Cederbaum,C. H. Chen,N
Zdzislaw Skupien,Francisco Criado,N
Nils J. Nilsson,Yuan Ma,N
Chang-Su Kim,Alexander L. Fradkov,N
Giuseppe Nesti,Barbara F. La Scala,N
Tomomasa Sato,Liwu Li 0001,N
Pierpaolo Degano,Paolo Valigi,N
Roberto Bruni,Jean-Marie Laborde,N
Carlos Tomei,Fawzi Daoud,N
Jing-Ho Yan,Dov Wulich,N
Yanlin Guo,Pierre Fraigniaud,N
William I. Gasarch,Graham M. Treece,N
Raghu Ramakrishnan,Usama M. Fayyad,N
Milton Mueller,Seth M. Malitz,N
Sergei S. Ryshkov,Garng M. Huang,N
Hongzhan Huang,Robert L. Galloway,N
Yuan Taur,Jianchao Wang,N
Enid Mumford,Maria Axenovich,N
Edwin Hsing-Mean Sha,Rüdiger W. Brause,N
Roland Vollmar,T. C. Edwin Cheng,N
Toshio Mike Chin,A. Chatterjee,N
Umesh Chandra Gupta,Asat Arslanov,N
Edmondo Trentin,Mark Guzdial,N
Rabah Harbane,Gheorghe Antonoiu,N
Jaak Jurison,John Sheehan,N
Norma Zagaglia Salvi,Arnaud Fréville,N
Michael Anthony Bauer,Josep Torrellas,N
Rachelle S. Heller,B. H. Ong,N
Edmond Mesrobian,Michael Siegel,N
Joseph F. Traub,Shlomo Geva,N
Giovanni Corsini,Gaetano Pasini,N
Nick Cercone,Joel L. Wolf,N
Yehoshua Perl,Robert G. Cole,N
Richard F. Freund,Martin Buss,N
Wei-Kuan Shih,Rens Bod,N
Michel Renovell,Barbara Simons,N
Prabir Bhattacharya,Gustavo de Veciana,N
Yan Zhang 0003,Takehisa Onisawa,N
Jong-Ki Han,Jinwoo Kim,N
Maurice Pouzet,Henri E. Bal,N
Dongming Zhao 0001,Conrado Martinez,N
Pablo A. Parrilo,Jana Novovicová,N
Stephen H. Unger,Peyman Milanfar,N
Tava Lennon Olsen,Hiroshi Konno,N
Tai-Yue Wang,Robert E. Schapire,N
Charles M. Macal,Arturo R. P. Ragozini,N
David G. Larman,Michael D. Gordon,N
László Babai,Frank S. de Boer,N
Matteo Fischetti,Laurent Moccozet,N
Amr Sabry,Klaus Lux,N
Michel Charpentier,Tran van Trung,N
Mark H. Overmars,Ted Pedersen,N
Christopher D. Wickens,Dana Ron,N
Cheng Hian Goh,John A. Taylor,N
Seung Joon Lee,Mark Ryan 0001,N
Kannan Varadhan,Mohammad Zubair,N
Ahti A. Salo,Tomi Silander,N
Joy Kuri,Stephen Marsland,N
Milica Stojanovic,Ken-ichi Kanatani,N
Alan C. Evans,Michael Segal 0001,N
Ihsan Sabuncuoglu,Yoshifumi Kitamura,N
Taisuke Sato,Kunikatsu Takase,N
Tamara Munzner,Juan Humberto Sossa Azuela,N
Jörg Liebeherr,Bernd Meyer 0001,N
Robert Bergevin,Nicholas Hamilton,N
M. R. K. Krishna Rao,Virginia L. Stonick,N
Peter Auer,Edward H. Kaplan,N
Seok Joo Koh,Erik De Schutter,N
Zoran Obradovic,Shing-Tsaan Huang,N
Michael J. Magazine,Peter B. Key,N
Thierry Pun,Hoang Duong Tuan,N
Pauline van den Driessche,Ulrich Pordesch,N
Elena Marchiori,Yoshinobu Sato,N
Tamás Szirányi,Jun Ye,N
Robert de Simone,Douglas E. Appelt,N
J. Timothy Sprehe,Jaroslav Kautsky,N
Keldon Drudge,Francesco Paoli,N
Adam Fadlalla,James Ze Wang,N
Hwan-Gue Cho,Lori L. Pollock,N
Martín Matamala,Richard H. Schelp,N
Lorenzo Vicisano,William J. Long,N
Merrill Warkentin,Haidong Wu,N
Jean-Luc Gauvain,Hang Li,N
Harald Garcke,Israel Ben-Shaul,N
Odysseas G. Koufopavlou,Ashok Samal,N
Kotagiri Ramamohanarao,David Beckwith,N
Stefano Rizzi,Simona Doboli,N
Jun-Wei Hsieh,Andrzej J. Goraczko,N
Janan T. Eppig,Richard J. Wallace,N
Ali Saberi,Yong Sun,N
Zvonko G. Vranesic,Michel Rigo,N
Jeff Erickson 0001,Andrea Clematis,N
Yong Zhang,Kenichi Higuchi,N
Winfried Kalfa,Henri Lombardi,N
Dominique Attali,Carolyn R. Watters,N
Christine Eisenbeis,Lihui Chen,N
Riccardo Raheli,Yves Pochet,N
Jaksa Cvitanic,Bernd Kreuter,N
Faker Ben Belgacem,Ramjee Prasad,N
Gennaro Costagliola,Michael S. Hsiao,N
Friedrich Steimann,Eduardo Tovar,N
Jean-Paul M. G. Linnartz,Hong Yan 0001,N
Kurt Keutzer,Tat M. Lok,N
Manfred Kudlek,Ludmila Kuncheva,N
Wojciech T. Markiewicz,Hsin-Teng Sheu,N
Jerry H. Ratcliffe,Alberto Pettorossi,N
Jérôme Idier,Bamshad Mobasher,N
Noboru Sugie,Carlos Domingo,N
Kunibert G. Siebert,Rolf Apweiler,N
Kenneth H. Hunt,Venkata N. Padmanabhan,N
Robert T. Clemen,Anatolij Dvurecenskij,N
Bernhard Schölkopf,Bogomir Horvat,N
Nabil Shalaby,Robert E. Mercer,N
H. B. Mitchell,Didier Keymeulen,N
Chinho Lin,Gennaro Improta,N
Kieran Mathieson,Martien Molenaar,N
Nabil H. Farhat,Jan H. van Bemmel,N
Shui-Nee Chow,Domenico Laforenza,N
Jean Jacques Loiseau,Steven Bird,N
Michael Luby,Angelo Marcello Anile,N
Barbara S. Bertram,Denis Blackmore,N
Zhiping Yu,Alistair Moffat,N
Manfred Droste,Xiaoping Hu 0001,N
Mitchell Wand,Tijn Borghuis,N
Ulrich Oberst,Amit Manwani,N
Dan Halperin,Koji Nakamae,N
Irwin D. Kuntz,Raghu Ramakrishnan,N
Qinglin Yu,Jean-François Laslier,N
Jianxiu Hao,Yair Caro,N
Dimiter Vakarelov,José Penadés,N
M. Randall Holmes,Christoph Pflaum,N
Shivakant Mishra,Woei Lin,N
Anton A. Stoorvogel,Douglas S. Bridges,N
John C. Huber,Richard M. Burton,N
Ioannis Andreadis,Berkant Tacer,N
Paul D. Gader,Lawrence J. Henschen,N
Kuo-Chung Tai,Scott A. Moore,N
Masakazu Ejiri,Maria Fox,N
Manoel Lemos,Alan C. Lin,N
Anthony Hall,Shigeoki Hirai,N
Igor Fabrici,Yunfa Hu,N
Krzysztof J. Cios,András Gács,N
Elena Lodi,John Mitchem,N
Roberto Marcondes Cesar Junior,Hajime Ishihara,N
John F. Meyer,Mariko Hagita,N
Uwe Helmke,Jim Woodcock,N
Francis Y. L. Chin,Michael R. Hansen,N
Srinivasan Vedantham,Fang Zheng,N
Thomas Parisini,Arnold Beckmann,N
Stephan Dempe,Michael J. Ryan,N
Frede Blaabjerg,Ralph Neff,N
Jörg Eisfeld,Tugrul Dayar,N
Fulvio Babich,John C. Grundy,N
Fumiyuki Adachi,Abdelmadjid Bouabdallah,N
Keith Moore,Wlodek Zadrozny,N
Ludmila Uhlírová,George K. Knopf,N
A. Aydin Alatan,Meng Hwa Er,N
Rens Bod,M. Narasimha Murty,N
Sying-Jyan Wang,Yuri Gurevich,N
Lothar Breuer,Rogelio Lozano,N
Dariush Divsalar,Martin Berzins,N
C. L. Philip Chen,Hidetoshi Kono,N
Corrado Santoro,Hsi-Jian Lee,N
Bert Jüttler,Andreas Kuehlmann,N
Peter F. Stadler,Bijan Fazlollahi,N
Zhi-Hong Chen,H. P. Dikshit,N
Yves Bertrand,Spencer Dawkins,N
Opher Etzion,Friedemann Leibfritz,N
Raimondo Schettini,Steven T. Dougherty,N
Jon May,Antony Browne,N
Sumit Roy,Michel Kinnaert,N
Colette Rolland,Jean-Luc Marichal,N
Franco Mazzenga,Ronald N. Kostoff,N
Boaz Lerner,Frans C. A. Groen,N
Vasant G. Honavar,A. Richard Newton,N
Chris S. Wallace,Steve Jones,N
John B. Anderson,Mika Liljeberg,N
Lawrence E. Garey,Nino B. Cocchiarella,N
Andrzej Proskurowski,Mamoru Kaneko,N
Gadi Taubenfeld,Jean-Claude Vivalda,N
A. Galip Ulsoy,Jaideep Srivastava,N
Christian Scheier,H. C. Shen,N
Denis Talay,Marcos Raydan,N
Maurice Bruynooghe,Dimitrios Gunopulos,N
Stephen M. Smith,Dirk Hähnel,N
Darko Skorin-Kapov,Terence P. Speed,N
Christine Doran,R. Kent Smith,N
Warren Harrison,David Stuart Robertson,N
Wei-Yong Yan,S. Ramachandran,N
Arne Frick,Kunsoo Park,N
Edwin R. van Dam,Simon J. Thorpe,N
Ignace Lemahieu,Vladimir Yakhnis,N
Xiao-Chuan Cai,Jonathan H. Manton,N
Daniele Micciancio,Mark S. Nixon,N
Antonio Sala 0001,Aharon Ben-Tal,N
Jean-Marc Andreoli,Bud Mishra,N
Stephen A. Zahorian,Ajit V. Rao,N
J. Michael Cherry,Jiyin Liu,N
Arthur D. Gregory,Jesse S. Jin,N
Alan Gilchrist,Raffaele Giancarlo,N
Susumu Yamasaki,David J. Harper,N
Nicolas Pérez de la Blanca,Sherry Yang,N
Patrik Eklund,Nadia Nedjah,N
Miroslav Krstic,Padmanabhan Krishnan,N
Kokichi Futatsugi,Patricia M. Hill,N
Giuseppe Casalino,Sadaki Hirose,N
Fujie Chen,Robert F. H. Fischer,N
Neri Merhav,Sukho Lee,N
Ronald Fagin,Elena Pagani,N
Don R. Hush,Sheung-lun Hung,N
Hanan Samet,Dominik Henrich,N
Cezary Czaplewski,Roger Mohr,N
Filomena Ferrucci,Kathleen F. McCoy,N
Umberto Spagnolini,Barry W. Peyton,N
Vicente López 0002,Noboru Niki,N
Bart Kuijpers,Carla E. Brodley,N
Michael M. Kostreva,Rob A. Rutenbar,N
Henri Maître,O. P. Gandhi,N
Calvin Lin,Michael A. Arbib,N
Nevenko Zunic,John Kirriemuir,N
Michael L. Gibson,Ned Kock,N
Marius A. Janson,Wolfgang Emmerich,N
Jerry Fjermestad,Wim H. Hesselink,N
Philip Holmes,Sabino Liuni,N
Jayaram K. Udupa,Éric Marchand,N
Marie desJardins,Xiaobo Zhao,N
Edward M. Riseman,Suguru Arimoto,N
Manuel Silva 0002,Adrian F. Clark,N
George Kokkinakis,Leonard Kleinrock,N
Mihalis Psarakis,Charles H. Bennett,N
Vincent T. Y. Ng,Emanuele Trucco,N
Victor A. N. Barroso,Elisabetta Binaghi,N
Frank H. Young,Ondrej Sýkora,N
Khaled M. F. Elsayed,Michael F. McTear,N
Michael Q. Zhang,Michael B. Smyth,N
Hélène Barcelo,Björn D. Jawerth,N
Marc Pollefeys,Thomas Ehrhard,N
Milica Stojanovic,Didier Dubois,N
William Y. C. Chen,Deborah A. Dahl,N
Sangjae Lee,Antonio Napolitano 0001,N
John Meier,Laurent Praly,N
Piotr S. Filipski,Michio Ozeki,N
Christine M. Mitchell,Thomas A. Gregg,N
Alyn P. Rockwood,John Grant,N
Gianni Immovilli,Avishai Wool,N
Douglas B. Williams,Beno Benhabib,N
Bob J. Wielinga,Alessandro Ferrero,N
Christian Roux,Keshav Pingali,N
Lynn Wilcox,Jürgen Weese,N
J. Richard Lundgren,Irene F. Mikenberg,N
Akira Hirose,Cheong-fat Chan,N
Pierre-Olivier Amblard,K. Rajan,N
Alexander Bolshoy,Nelson Max,N
Piero Barone,Gregory H. Wakefield,N
Cristiana Larizza,Nicola Fanizzi,N
Kecheng Liu,Masatoshi Okutomi,N
Werner Purgathofer,U. Pal 0001,N
Shigenobu Kobayashi,Lucian Finta,N
George D. Magoulas,Barbara Farbey,N
Valeria Simoncini,G. H. John van Rees,N
Auke Jan Ijspeert,Dirk Roose,N
J. Chen,Jay E. Aronson,N
Fredric C. Gey,Anne H. H. Ngu,N
Gordon Clapworthy,Behzad Kamgar-Parsi,N
Alistair Knott,Wei-Yi Liu,N
Juan A. Garay,Alan C. F. Colchester,N
Sagar V. Kamarthi,Toniann Pitassi,N
Gregory Piatetsky-Shapiro,Koichiro Tamura,N
Jun Ye,Yves Bertot,N
Chafic Mokbel,Julia Novo,N
Saverio Mascolo,Fred R. McMorris,N
Hugo De Man,Jean-Claude Belfiore,N
Pei-Chi Wu,H. R. Hind,N
Shalom Lappin,Michael Sheard,N
Zen-Chung Shih,Robert Milne,N
Khosrow Moshirvaziri,Barry Joe,N
Hakan Caglar,Riccardo Scattolini,N
Howard Barringer,Vincent W. Freeh,N
Olgierd A. Palusinski,Mark Russell,N
Harry G. Mairson,Jun Rekimoto,N
Anuska Ferligoj,Deborah A. Agarwal,N
Nader Sadegh,Pinakpani Pal,N
Sanjeev Mahajan,Pei-Yin Chen,N
Ricardo G. Durán,Li-Hui Chen,N
Dolf Talman,Inderpal Singh Mumick,N
Nick Moore,Hanns-Martin Teichert,N
Xiaodong Li,Judy Kay,N
Gert Lube,Fang-Jang Kuo,N
Yu-Wei Chen,Gabriele Nebe,N
Ravi Prakash,Albert Mo Kim Cheng,N
Peter Mertens,Serafino Cicerone,N
George D'Elia,Chein-Wei Jen,N
Thomas Thierauf,Henry L. Bertoni,N
Seif Haridi,Vincenzo Auletta,N
Jaroslav Stark,Satyandra K. Gupta,N
Geert Jan Olsder,David N. C. Tse,N
S. M. Shahruz,Ralf Östermark,N
Yoshiaki Shishikui,Mohamed B. El Mashade,N
Yao Wang 0001,Michel Zitt,N
Patrick Celka,Jian-Shiang Chen,N
Harvey P. Siy,Frank Drewes,N
Hafedh Mili,Abdelmadjid Bouabdallah,N
Mark John Taylor,Alina Deutsch,N
Jan M. Rabaey,James M. Boyle,N
Daniel Barbará,Gabriel Montenegro,N
Miguel A. Andrade,MengChu Zhou,N
Csaba Szepesvári,Gerasimos G. Rigatos,N
Svante Janson,Yung-Chang Chen,N
Franz Wotawa,Zhiwei Xu,N
Dennis Tsichritzis,Cesare Svelto,N
Roger J.-B. Wets,Antoine Gautier 0002,N
Sung Soo Kim,Giuliana Ramella,N
Gianpaolo Ghiani,Tiziana D'Orazio,N
Thomas W. Ferratt,Lincoln Stein,N
Hausi A. Müller,Paul E. McKenney,N
Zbigniew Suraj,Yuan Xu,N
Stefan Fischer 0001,Mohan Tanniru,N
Onur Toker,Craig Locatis,N
Pedro A. Ramos,Chai Kiat Yeo,N
John Y. Hung,Letizia Leonardi,N
Robert Pollack,William Fornaciari,N
Charles H. Kriebel,Christian A. Ringhofer,N
Feng Gao,Howard M. Schwartz,N
Enrico O. Purisima,M. C. Stanley,N
Rhan Ha,Yan P. Yuan,N
Jan Eric Larsson,Gerard V. Kopcsay,N
A. C. Kot,Andreas Fischer 0004,N
François X. Sillion,Bruno Cernuschi-Frías,N
Alfred Taudes,Fytton Rowland,N
Sheng-Fuu Lin,Petra Schuurman,N
Eugene Fiume,Tien C. Hsia,N
Michael G. Kahn,Raphael T. Haftka,N
Yoshiaki Nemoto,Ivar Gustafsson,N
Min Young Chung,Dejan Plavsic,N
G. F. Newell,Catherine M. Burns,N
Lex Hendriks,Daniel Marcu,N
Hamid Krim,Rainer Tichatschke,N
Ferdinando A. Mussa-Ivaldi,Dirk Husmeier,N
Bob Usherwood,Chaur-Heh Hsieh,N
Tomás Recio,Hajime Ishihara,N
Plamen Y. Yalamov,Jian Li,N
Christoph Wirth,Gopal Gupta,N
Jinn-Ke Jan,Bin Li,N
Pierre Moulin,M. L. Glasser,N
Axel Pinz,Huaguang Zhang,N
Fritz B. Prinz,V. Jagadeesh Kumar,N
Rajiv Gupta 0001,Tomohide Naniwa,N
Giorgio Casinovi,Dean P. Foster,N
Ran Canetti,Sid L. Huff,N
Bernd Hamann,Pierre Poulin,N
Goran Lj. Djordjevic,Atul Prakash,N
Eric Monfroy,Florian Luca,N
Bernd Radig,Eric Mendelsohn,N
Hong Chen,Jane Hunter,N
Anna Tozzi,Henk Barendregt,N
Jae Yong Lee,Kazuhiko Iwasaki,N
Jack Sklansky,Erik Agrell,N
Zi-Xia Song,Ernst-Erich Doberkat,N
Chin Choy Chai,Pangfeng Liu,N
William R. D'Angelo,Mounir Ben Ghalia,N
Zahari Zlatev,Virginia L. Stonick,N
Bonnie L. Webber,Andreas Blass,N
Kurt S. Riedel,James P. Kelly,N
Ulf Nilsson,Peter J. Smith,N
Mario Frullone,Sándor Molnár,N
Min-Yen Kan,Marc Hassenzahl,N
Ales Drápal,Hans Ulrich Simon,N
Elisabeth André,Gerald L. Lohse,N
Rahim Tafazolli,Leonard J. Schulman,N
Ingrid Zukerman,Hiroshi Takahashi,N
William McCuaig,Rajesh K. Gupta 0001,N
William R. Taylor,Liyuan Li,N
Gabor Karsai,Xueliang Li 0001,N
Michel Gevers,Dragan Gamberger,N
Andrzej J. Goraczko,David B. Shmoys,N
C. A. Middelburg,Volker Linnemann,N
Ronald L. Rardin,Sidney A. Davis,N
Tamara Sumner,Abel J. P. Gomes,N
C. S. Sung,Werner von Seelen,N
