source,target
James J. Lu,Neil V. Murray
James J. Lu,Erik Rosenthal
Neil V. Murray,Erik Rosenthal
Berkant Tacer,Patrick J. Loughlin
Sandeep Purao,Matti Rossi
Monica Divitini,Carla Simone
Sue Cobb,Steve Benford
Sue Cobb,Gail Reynard
Sue Cobb,John R. Wilson
Steve Benford,Gail Reynard
Steve Benford,John R. Wilson
Gail Reynard,John R. Wilson
Jörn Müller-Quade,Rainer Steinwandt
Jörn Müller-Quade,Thomas Beth
Rainer Steinwandt,Thomas Beth
Stefan Lucks,Rüdiger Weis
Alexander Roßnagel,Andreas Pfitzmann
Alexander Roßnagel,Hans-Jürgen Garstka
Andreas Pfitzmann,Hans-Jürgen Garstka
Dirk Fox,Christoph Thiel
Andreas Bertsch,Dirk Fox
Helmut Bäumler,Marie-Theres Tinnefeld
Johann Bizer,Rüdiger Grimm
Ulrich Pordesch,Alexander Roßnagel
Lyn Robinson,David Bawden
Peter Williams,David Nicholas
Peter Williams,Paul Huntington
David Nicholas,Paul Huntington
Brad A. Myers,Richard G. McDaniel
Brad A. Myers,Pedro A. Szekely
Brad A. Myers,Dario A. Giuse
Richard G. McDaniel,Pedro A. Szekely
Richard G. McDaniel,Dario A. Giuse
Pedro A. Szekely,Dario A. Giuse
Jay Hoeflinger,David A. Padua
Sandro Etalle,Maurizio Gabbrielli
Sandro Etalle,Maria Chiara Meo
Maurizio Gabbrielli,Maria Chiara Meo
Kathryn S. McKinley,J. Eliot B. Moss
Sophia Drossopoulou,Mariangiola Dezani-Ciancaglini
Sophia Drossopoulou,Paola Giannini
Mariangiola Dezani-Ciancaglini,Paola Giannini
Mark van den Brand,Jan Heering
Mark van den Brand,Paul Klint
Jan Heering,Paul Klint
Ugo Montanari,Francesca Rossi
Gopal Gupta,Enrico Pontelli
Gopal Gupta,Khayri A. M. Ali
Gopal Gupta,Manuel V. Hermenegildo
Enrico Pontelli,Khayri A. M. Ali
Enrico Pontelli,Manuel V. Hermenegildo
Khayri A. M. Ali,Manuel V. Hermenegildo
K. Rustan M. Leino,Greg Nelson
Benjamin C. Pierce,Philip Wadler
Henri E. Bal,Thilo Kielmann
Henri E. Bal,Ceriel J. H. Jacobs
Henri E. Bal,Rutger F. H. Hofman
Thilo Kielmann,Ceriel J. H. Jacobs
Thilo Kielmann,Rutger F. H. Hofman
Ceriel J. H. Jacobs,Rutger F. H. Hofman
Shmuel Sagiv,Thomas W. Reps
Shmuel Sagiv,Reinhard Wilhelm
Thomas W. Reps,Reinhard Wilhelm
Krishna V. Palem,Amir Pnueli
Barbara G. Ryder,William Landi
Rajeev Alur,Mihalis Yannakakis
PeiZong Lee,Zvi M. Kedem
Kathleen Fisher,Benjamin C. Pierce
Frank Tip,Chris Laffra
Andrew W. Appel,David A. McAllester
Paul C. Attie,E. Allen Emerson
Christopher League,Zhong Shao
Christopher League,Valery Trifonov
Zhong Shao,Valery Trifonov
Chris Eliasmith,Paul Thagard
Gert Rickheit,Helge J. Ritter
Todd R. Johnson,Josef Krems
Ron Sun,Todd Peterson
Mark Johnson,Stefan Riezler
Christian H. Bischof,Torsten W. Kuhlen
Andreas Frommer,Thomas Lippert
Andreas Frommer,Klaus Schilling
Andreas Frommer,Walter F. Tichy
Thomas Lippert,Klaus Schilling
Thomas Lippert,Walter F. Tichy
Klaus Schilling,Walter F. Tichy
Adam Wolisz,Holger Karl
Lawrence J. Hubert,Phipps Arabie
Volker Wulf,Andreas Pfeifer
Manuel Alfonseca,Carlos Santa Cruz
Yong Meng Teo,Rassul Ayani
John McLeod,Suzette McLeod
David R. C. Hill,Alex Aussem
Israel Koren,C. Mani Krishna
Jasna Kuljis,Ray J. Paul
Jasna Kuljis,Chaomei Chen
Ray J. Paul,Chaomei Chen
Mohsen Guizani,Taieb Znati
Abdella Battou,Bilal Khan
Sonia Fahmy,Raj Jain
Sonia Fahmy,Rohit Goyal
Sonia Fahmy,Bobby Vandalore
Raj Jain,Rohit Goyal
Raj Jain,Bobby Vandalore
Rohit Goyal,Bobby Vandalore
Luca Maria Gambardella,Andrea Emilio Rizzoli
Luca Maria Gambardella,Petra Funk
Andrea Emilio Rizzoli,Petra Funk
Bernard P. Zeigler,Shankar M. Venkatesan
Hui-Hsien Chou,Wei Huang
Hui-Hsien Chou,James A. Reggia
Wei Huang,James A. Reggia
Adam Belloum,Louis O. Hertzberger
Pieter J. Mosterman,Gautam Biswas
Ming-Tang Lin,Chungnan Lee
Ming-Tang Lin,Tainchi Lu
Chungnan Lee,Tainchi Lu
Qing Yu,Doan B. Hoang
Marco Ajmone Marsan,Andrea Bianco
Marco Ajmone Marsan,Renato Lo Cigno
Marco Ajmone Marsan,Maurizio M. Munafò
Marco Ajmone Marsan,Mario Baldi
Andrea Bianco,Renato Lo Cigno
Andrea Bianco,Maurizio M. Munafò
Andrea Bianco,Mario Baldi
Renato Lo Cigno,Maurizio M. Munafò
Renato Lo Cigno,Mario Baldi
Maurizio M. Munafò,Mario Baldi
Georgios I. Papadimitriou,Andreas S. Pomportsis
Patrick Sénac,Michel Diaz
Kian-Lee Tan,Beng Chin Ooi
Ali R. Hurson,Mohsen Kavehrad
Jean-Luc Gauvain,Lori Lamel
Jean-Luc Gauvain,Gilles Adda
Lori Lamel,Gilles Adda
Shayan Farahvash,Mohsen Kavehrad
Rogério Ferreira Rodrigues,Luiz Fernando Gomes Soares
Babak Hamidzadeh,Tsun-Ping J. To
Francesca Arcelli Fontana,Massimo De Santo
Patrick Martin 0001,Hussein T. Mouftah
Harry W. Agius,Marios C. Angelides
Charu C. Aggarwal,Joel L. Wolf
Charu C. Aggarwal,Philip S. Yu
Joel L. Wolf,Philip S. Yu
Francisco Garcia,David Hutchison
Carlo Colombo,Alberto Del Bimbo
Carlo Colombo,Pietro Pala
Alberto Del Bimbo,Pietro Pala
Min-You Wu,Wei Shu
Rainer Lienhart,Wolfgang Effelsberg
Marco Conti,Enrico Gregori
A. Aydin Alatan,Ali N. Akansu
A. Aydin Alatan,Wayne H. Wolf
Ali N. Akansu,Wayne H. Wolf
José L. Marroquín,Gonzalo Navarro
Anne H. H. Ngu,John Shepherd
Tat-Seng Chua,Cheng Hian Goh
Tat-Seng Chua,Beng Chin Ooi
Tat-Seng Chua,Kian-Lee Tan
Cheng Hian Goh,Beng Chin Ooi
Cheng Hian Goh,Kian-Lee Tan
Leana Golubchik,John C. S. Lui
Robert Simon,Arun K. Sood
Tai-Sheng Chang,David Hung-Chang Du
Tai-Sheng Chang,Jenwei Hsieh
Tai-Sheng Chang,Yuewei Wang
David Hung-Chang Du,Jenwei Hsieh
David Hung-Chang Du,Yuewei Wang
Jenwei Hsieh,Yuewei Wang
Marcel Worring,Arnold W. M. Smeulders
Harald Kosch,Lionel Brunie
Songwu Lu,Vaduvur Bharghavan
Raouf Boutaba,Alberto Leon-Garcia
David K. Y. Yau,Bharat K. Bhargava
Christos Bouras,Paul G. Spirakis
Ahmed Karmouch,Tat-Seng Chua
Sanghoon Sull,Samuel Moon-Ho Song
Peter Triantafillou,Christos Faloutsos
Janice C. Sipior,Burke T. Ward
Lei-da Chen,Mark N. Frolick
Dana Edberg,Fritz H. Grupe
Tim N. T. Goodman,Marie-Laurence Mazure
Francis J. Narcowich,Robert Schaback
Francis J. Narcowich,Joseph D. Ward
Robert Schaback,Joseph D. Ward
Peter Mathé,Sergei V. Pereverzev
Xiaodong Zhang,Deren Li
Wei Lu,Yukio Kosugi
Simon Buckingham Shum,Tamara Sumner
Carol Tenopir,Donald W. King
Henry S. Rzepa,Peter Murray-Rust
Samson W. Tu,Mark A. Musen
J. Marc Overhage,William M. Tierney
J. Marc Overhage,Clement J. McDonald
William M. Tierney,Clement J. McDonald
Steven Shea,George Hripcsak
Gilad J. Kuperman,Julie M. Fiskio
Gilad J. Kuperman,David W. Bates
Julie M. Fiskio,David W. Bates
Michael F. McNitt-Gray,Jonathan G. Goldin
Michael F. McNitt-Gray,Alfonso F. Cardenas
Michael F. McNitt-Gray,Denise R. Aberle
Jonathan G. Goldin,Alfonso F. Cardenas
Jonathan G. Goldin,Denise R. Aberle
Alfonso F. Cardenas,Denise R. Aberle
Perry L. Miller,Prakash M. Nadkarni
Perry L. Miller,Luis N. Marenco
Perry L. Miller,Gordon M. Shepherd
Prakash M. Nadkarni,Luis N. Marenco
Prakash M. Nadkarni,Gordon M. Shepherd
Luis N. Marenco,Gordon M. Shepherd
Leslie A. Lenert,Suzanne Bakken
James J. Cimino,Vimla L. Patel
J. Marc Overhage,Randolph A. Miller
J. Marc Overhage,Rita D. Zielstorff
J. Marc Overhage,William R. Hersh
Randolph A. Miller,Rita D. Zielstorff
Randolph A. Miller,William R. Hersh
Rita D. Zielstorff,William R. Hersh
Charles P. Friedman,Judy G. Ozbolt
Charles P. Friedman,Daniel R. Masys
Judy G. Ozbolt,Daniel R. Masys
John R. Clarke,Bonnie L. Webber
Jiajie Zhang,Vimla L. Patel
Jiajie Zhang,Todd R. Johnson
Vimla L. Patel,Todd R. Johnson
Paul N. Gorman,Robert A. Greenes
Paul N. Gorman,R. Brian Haynes
Paul N. Gorman,Paul C. Tang
Robert A. Greenes,R. Brian Haynes
Robert A. Greenes,Paul C. Tang
R. Brian Haynes,Paul C. Tang
Hinrich Schütze,Russ B. Altman
George Hripcsak,Soumitra Sengupta
Soumitra Sengupta,Steven Shea
Cynthia Brandt,Prakash M. Nadkarni
Kathleen R. McKeown,Steven K. Feiner
Kathleen R. McKeown,Vasileios Hatzivassiloglou
Steven K. Feiner,Vasileios Hatzivassiloglou
Christian Lovis,Robert H. Baud
J. Marc Overhage,Betsy L. Humphreys
Stephen B. Johnson,Carol Friedman
Richard N. Shiffman,Patricia Flatley Brennan
Jonathan M. Teich,Colin F. Mackenzie
Patricia Flatley Brennan,Charles P. Friedman
Patricia Flatley Brennan,Victor Peel
Charles P. Friedman,Victor Peel
Suzanne Bakken,James J. Cimino
Yuval Shahar,Mark A. Musen
Vimla L. Patel,José F. Arocha
Vimla L. Patel,David R. Kaufman
José F. Arocha,David R. Kaufman
Peter W. Moorman,Johan van der Lei
Lawrence M. Fagan,Richard M. Satava
Stephen T. C. Wong,Ronald L. Arenson
Cornelius Rosse,James F. Brinkley
John R. Svirbely,Jack W. Smith
Parvati Dev,Kenneth J. Waldron
Donald A. B. Lindberg,Betsy L. Humphreys
William R. Hersh,David H. Hickam
William R. Hersh,Charles P. Friedman
David H. Hickam,Charles P. Friedman
David W. Bates,Michael Cohen
David W. Bates,J. Marc Overhage
David W. Bates,Thomas B. Sheridan
Michael Cohen,J. Marc Overhage
Michael Cohen,Thomas B. Sheridan
J. Marc Overhage,Thomas B. Sheridan
George Hripcsak,Carol Friedman
Arthur W. Toga,Alan C. Evans
Arthur W. Toga,Karl Zilles
Arthur W. Toga,G. Bruce Pike
Arthur W. Toga,D. Louis Collins
Arthur W. Toga,Paul M. Thompson
Arthur W. Toga,Kenneth P. Smith
Alan C. Evans,Karl Zilles
Alan C. Evans,G. Bruce Pike
Alan C. Evans,D. Louis Collins
Alan C. Evans,Paul M. Thompson
Alan C. Evans,Kenneth P. Smith
Karl Zilles,G. Bruce Pike
Karl Zilles,D. Louis Collins
Karl Zilles,Paul M. Thompson
Karl Zilles,Kenneth P. Smith
G. Bruce Pike,D. Louis Collins
G. Bruce Pike,Paul M. Thompson
G. Bruce Pike,Kenneth P. Smith
D. Louis Collins,Paul M. Thompson
D. Louis Collins,Kenneth P. Smith
Paul M. Thompson,Kenneth P. Smith
Mark A. Shifman,Perry L. Miller
Prakash M. Nadkarni,Roland Chen
Roland Chen,Cynthia Brandt
Steffen Möller,Michael Schroeder 0001
Steffen Möller,Rolf Apweiler
Michael Schroeder 0001,Rolf Apweiler
Alessandra Larizza,Wojciech Makalowski
Alessandra Larizza,Graziano Pesole
Alessandra Larizza,Cecilia Saccone
Wojciech Makalowski,Graziano Pesole
Wojciech Makalowski,Cecilia Saccone
Graziano Pesole,Cecilia Saccone
Kiyoshi Hasegawa,Kimito Funatsu
Jan Gorodkin,Søren Brunak
L. T. Fan,Ferenc Friedler
Ruisheng Zhang,Mancang Liu
Ruisheng Zhang,Zhide Hu
Ruisheng Zhang,Bo Tao Fan
Mancang Liu,Zhide Hu
Mancang Liu,Bo Tao Fan
Zhide Hu,Bo Tao Fan
Tom E. Simos,Paul Stefan Williams
Sandi Klavzar,Aleksander Vesel
Sandi Klavzar,Ivan Gutman
Aleksander Vesel,Ivan Gutman
David R. Gilbert,David R. Westhead
David R. Gilbert,Janet M. Thornton
David R. Westhead,Janet M. Thornton
Dieter Britz,Ole Østerby
Jure Zupan,Laurence Leherte
Jure Zupan,Daniel P. Vercauteren
Laurence Leherte,Daniel P. Vercauteren
Marcel Turcotte,Stephen Muggleton
Marcel Turcotte,Michael J. E. Sternberg
Stephen Muggleton,Michael J. E. Sternberg
Stephen Wilson,David Moncrieff
Søren Brunak,Anders Krogh
Hongqing Cao,Lishan Kang
William Kile Glunt,Tom L. Hayden
Jorge A. O. Bruno,Alicia Batana
Wentian Li,Pedro Bernaola-Galván
Robert B. France,Bernhard Rumpe
Kenneth Baclawski,Mieczyslaw M. Kokar
Andreas L. Opdahl,Brian Henderson-Sellers
Satoru Fujishige,Satoru Iwata 0001
Nicholas I. M. Gould,Annick Sartenaer
Nicholas I. M. Gould,Philippe L. Toint
Annick Sartenaer,Philippe L. Toint
Lázaro Cánovas,Alfredo Marín
V. Jeyakumar,Dinh The Luc
Kaisa Miettinen,Marko M. Mäkelä
Denis Naddef,Stefan Thienel
Defeng Sun,Robert S. Womersley
Defeng Sun,Houduo Qi
Robert S. Womersley,Houduo Qi
Yves Pochet,Laurence A. Wolsey
Wlodzimierz Ogryczak,Andrzej Ruszczynski
Alper Atamtürk,George L. Nemhauser
Alper Atamtürk,Martin W. P. Savelsbergh
George L. Nemhauser,Martin W. P. Savelsbergh
Sanjeev Arora,Alan M. Frieze
Sanjeev Arora,Haim Kaplan
Alan M. Frieze,Haim Kaplan
Renato D. C. Monteiro,Yin Zhang
David Avis,Caterina De Simone
David Avis,Paolo Nobili
Caterina De Simone,Paolo Nobili
Giovanni Rinaldi,Gerhard J. Woeginger
Stan P. M. van Hoesel,Arie M. C. A. Koster
Stan P. M. van Hoesel,Robert L. M. J. van de Leensel
Stan P. M. van Hoesel,Martin W. P. Savelsbergh
Arie M. C. A. Koster,Robert L. M. J. van de Leensel
Arie M. C. A. Koster,Martin W. P. Savelsbergh
Robert L. M. J. van de Leensel,Martin W. P. Savelsbergh
Gérard Cornuéjols,Yanjun Li
Alfred Auslender,Marc Teboulle
Nelson Maculan,Claudia A. Sagastizábal
Jos F. Sturm,Shuzhong Zhang
Paul Armand,Jean Charles Gilbert
Anna Galluccio,Martin Loebl
Ravindra K. Ahuja,James B. Orlin
Stefano Lucidi,Paul Tseng
Komei Fukuda,Thomas M. Liebling
Michael Jünger,Volker Kaibel
Aharon Ben-Tal,Arkadi Nemirovski
Adam N. Letchford,Richard W. Eglese
Christoph Helmberg,Krzysztof C. Kiwiel
Donald Goldfarb,Zhiying Jin
Carlo Mannino,Antonio Sassano
Satoru Iwata 0001,Kazuo Murota
Bingsheng He,Li-Zhi Liao
Bingsheng He,Hai Yang
Li-Zhi Liao,Hai Yang
Cornelis Roos,Tamás Terlaky
Shinji Mizuno,Michael J. Todd
Brigitte Jaumard,Gilles Savard
Michael J. Todd,Levent Tunçel
Michael J. Todd,Yinyu Ye
Levent Tunçel,Yinyu Ye
Graham R. Wood,Zelda B. Zabinsky
Andrew R. Conn,F. Bruce Shepherd
Ellis L. Johnson,Paolo Nobili
Ellis L. Johnson,Martin W. P. Savelsbergh
Paolo Nobili,Martin W. P. Savelsbergh
Norbert Ascheuer,Matteo Fischetti
Norbert Ascheuer,Martin Grötschel
Matteo Fischetti,Martin Grötschel
James V. Burke,Michael L. Overton
Paul Tseng,Yinyu Ye
Lisa Fleischer,Satoru Iwata 0001
Lisa Fleischer,S. Thomas McCormick
Satoru Iwata 0001,S. Thomas McCormick
Oktay Günlük,Yves Pochet
Christopher A. Healy,David B. Whalley
Rachida Dssouli,Ferhat Khendek
I-Ling Yen,Farokh B. Bastani
I-Ling Yen,David J. Taylor
Farokh B. Bastani,David J. Taylor
Maurizio Morisio,Ioannis Stamelos
Kang Zhang,Jiannong Cao
Sridhar Alagar,Subbarayan Venkatesan
Kevin L. Mills,Hassan Gomaa
Mary Jean Harrold,Antonia Bertolino
Carl A. Gunter,Insup Lee
Thomas Ball,Audris Mockus
Khaled El Emam,Walcélio L. Melo
Khaled El Emam,Hakim Lounis
Walcélio L. Melo,Hakim Lounis
Karsten Schwan,Greg Eisenhauer
Marsha Chechik,John D. Gannon
Margaret M. Burnett,Gregg Rothermel
Eric Y. T. Juan,Jeffrey J. P. Tsai
Eric Y. T. Juan,Tadao Murata
Eric Y. T. Juan,Yi Zhou
Jeffrey J. P. Tsai,Tadao Murata
Jeffrey J. P. Tsai,Yi Zhou
Tadao Murata,Yi Zhou
Özalp Babaoglu,Renzo Davoli
Wei-Ngan Chin,Joxan Jaffar
Corrado Priami,Pierpaolo Degano
Sebastian G. Elbaum,Gregg Rothermel
Stephen Gilmore,Jane Hillston
Stephen Gilmore,Marina Ribaudo
